Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.001125,0.001167,0.000983,0.000987,83,-
2017-11-23,0.001234,0.001240,0.001127,0.001127,7,-
2017-11-22,0.000974,0.001240,0.000970,0.001234,3,-
2017-11-21,0.000981,0.000981,0.000957,0.000971,1,-
2017-11-20,0.000885,0.000909,0.000874,0.000907,34,-
2017-11-19,0.001244,0.001247,0.000877,0.000885,40,-
2017-11-15,0.000926,0.001016,0.000926,0.001012,13,-
2017-11-14,0.000914,0.000941,0.000900,0.000925,13,-
2017-11-13,0.000822,0.001009,0.000822,0.000912,2,-
2017-11-12,0.000891,0.000901,0.000775,0.000821,1,-
2017-11-11,0.000986,0.000999,0.000872,0.000891,63,-
2017-11-10,0.001165,0.001209,0.000934,0.000990,23,-
2017-11-07,0.001183,0.001226,0.001183,0.001212,61,-
2017-11-06,0.001201,0.001218,0.001181,0.001185,59,-
2017-11-04,0.001147,0.001161,0.001120,0.001140,9,-
2017-11-03,0.001756,0.001867,0.001138,0.001150,9,-
2017-11-02,0.001682,0.001774,0.001104,0.001758,108,-
2017-11-01,0.001611,0.001683,0.001591,0.001680,1,-
2017-10-31,0.001593,0.001612,0.001524,0.001612,7,-
2017-10-30,0.002032,0.002132,0.001579,0.001599,23,-
2017-10-29,0.001833,0.002086,0.001828,0.002044,75,-
2017-10-28,0.001732,0.001836,0.001702,0.001835,90,-
2017-10-27,0.001766,0.001799,0.001740,0.001763,14,-
2017-10-26,0.001720,0.001795,0.001709,0.001766,14,-
2017-10-25,0.001656,0.001724,0.001635,0.001721,1,-
2017-10-24,0.001408,0.001408,0.001336,0.001356,9,-
2017-10-23,0.001674,0.001686,0.001359,0.001411,10,-
2017-10-22,0.001642,0.001692,0.001609,0.001677,7,-
2017-10-21,0.001741,0.001766,0.001729,0.001763,1,-
2017-10-20,0.001711,0.001772,0.001630,0.001745,1,-
2017-10-19,0.001620,0.002067,0.001611,0.001711,22,-
2017-10-18,0.001607,0.001627,0.001489,0.001619,12,-
2017-10-17,0.001791,0.001797,0.001716,0.001727,1,-
2017-10-16,0.001764,0.001801,0.001630,0.001791,13,-
2017-10-15,0.002191,0.002211,0.001698,0.001764,4,-
2017-10-12,0.001979,0.002206,0.001974,0.002167,1,-
2017-10-11,0.001381,0.001999,0.001370,0.001977,1,-
2017-10-10,0.002010,0.002041,0.001371,0.001381,1,-
2017-10-09,0.001889,0.002045,0.001869,0.002010,21,-
2017-10-08,0.001955,0.001964,0.001950,0.001953,1,-
2017-10-07,0.001924,0.001965,0.001265,0.001960,42,-
2017-10-06,0.001729,0.001947,0.001726,0.001924,120,-
2017-10-05,0.001724,0.001747,0.001720,0.001729,0,-
2017-10-04,0.001339,0.001348,0.001301,0.001306,1,-
2017-10-03,0.001365,0.001815,0.001317,0.001336,4,-
2017-10-02,0.001954,0.001959,0.001287,0.001365,11,-
2017-10-01,0.001868,0.001877,0.001843,0.001857,1,-
2017-09-30,0.001839,0.001874,0.001830,0.001867,1,-
2017-09-29,0.001971,0.001992,0.001903,0.001967,7,-
2017-09-28,0.001683,0.002009,0.001171,0.001973,140,-
2017-09-27,0.001205,0.001943,0.001205,0.001935,525,-
2017-09-26,0.001613,0.001689,0.001182,0.001209,197,-
2017-09-25,0.000955,0.001661,0.000954,0.001613,887,-
2017-09-24,0.001061,0.001179,0.000840,0.000956,351,-
2017-09-23,0.001010,0.001061,0.001000,0.001061,45,-
2017-09-22,0.001014,0.001053,0.000990,0.001013,0,-
2017-09-21,0.001047,0.001093,0.001004,0.001015,35,-
2017-09-20,0.001057,0.001093,0.001038,0.001053,3,-
2017-09-19,0.000903,0.001093,0.000850,0.001058,20,-
2017-09-18,0.000998,0.001101,0.000872,0.000900,0,-
2017-09-17,0.001003,0.001026,0.000942,0.001000,1,-
2017-09-16,0.001039,0.001087,0.000732,0.001004,36,-
2017-09-15,0.000973,0.001073,0.000897,0.001041,24,-
2017-09-14,0.000892,0.001065,0.000694,0.000966,855,-
2017-09-13,0.000917,0.000919,0.000864,0.000892,1,-
2017-09-12,0.000927,0.000963,0.000903,0.000917,27,-
2017-09-11,0.000850,0.000930,0.000747,0.000926,226,-
2017-09-10,0.000866,0.000866,0.000810,0.000851,2,-
2017-09-09,0.000909,0.000968,0.000856,0.000868,38,-
2017-09-08,0.000973,0.000987,0.000870,0.000907,1,-
2017-09-07,0.000923,0.000977,0.000900,0.000973,59,-
2017-09-06,0.000840,0.000927,0.000839,0.000925,8,-
2017-09-05,0.000861,0.000877,0.000811,0.000839,2,-
2017-09-04,0.000924,0.000924,0.000747,0.000857,51,-
2017-09-03,0.000830,0.000945,0.000830,0.000923,13,-
2017-09-02,0.000837,0.001046,0.000817,0.000829,20,-
2017-09-01,0.000948,0.000955,0.000827,0.000836,116,-
2017-08-31,0.000972,0.000973,0.000921,0.000947,3,-
2017-08-30,0.000873,0.000884,0.000854,0.000872,571,-
2017-08-29,0.000878,0.001114,0.000863,0.000874,582,-
2017-08-28,0.000912,0.000915,0.000868,0.000876,4,-
2017-08-27,0.000956,0.001002,0.000912,0.000913,47,-
2017-08-26,0.000961,0.000963,0.000939,0.000956,6,-
2017-08-25,0.001125,0.001194,0.000946,0.000961,121,-
2017-08-24,0.001119,0.001138,0.001082,0.001127,6,-
2017-08-23,0.001103,0.001149,0.001099,0.001118,2,-
2017-08-22,0.001040,0.001105,0.000942,0.001105,56,-
2017-08-21,0.000974,0.001060,0.000974,0.001038,30,-
2017-08-20,0.000995,0.001068,0.000972,0.000977,23,-
2017-08-19,0.000904,0.001025,0.000873,0.001000,3,-
2017-08-18,0.001198,0.001205,0.000798,0.000905,25,-
2017-08-17,0.001317,0.001431,0.001098,0.001202,209,-
2017-08-16,0.001038,0.001318,0.001038,0.001318,37,-
2017-08-15,0.001125,0.001131,0.000966,0.001037,1,-
2017-08-14,0.001219,0.001295,0.001098,0.001122,33,-
2017-08-13,0.001122,0.001237,0.001119,0.001218,11,-
2017-08-12,0.001059,0.001138,0.001009,0.001123,6,-
2017-08-11,0.000717,0.001074,0.000704,0.001059,388,-
2017-08-10,0.000669,0.000722,0.000664,0.000717,19,-
2017-08-09,0.000581,0.000674,0.000570,0.000669,1,-
2017-08-08,0.000746,0.000766,0.000581,0.000582,34,-
2017-08-07,0.000773,0.000885,0.000733,0.000745,6,-
2017-08-06,0.000749,0.000883,0.000726,0.000775,62,-
2017-08-05,0.000714,0.000805,0.000713,0.000748,133,-
2017-08-04,0.000641,0.000718,0.000567,0.000714,42,-
2017-08-03,0.000514,0.000644,0.000513,0.000641,0,-
2017-08-02,0.000602,0.000606,0.000509,0.000513,124,-
2017-07-31,0.000767,0.000785,0.000757,0.000773,0,-
2017-07-30,0.000842,0.000844,0.000531,0.000767,27,-
2017-07-29,0.000862,0.000865,0.000828,0.000843,3,-
2017-07-28,0.000610,0.000869,0.000610,0.000866,178,-
2017-07-27,0.000682,0.000696,0.000582,0.000611,1,-
2017-07-26,0.000717,0.000730,0.000537,0.000680,66,-
2017-07-25,0.000717,0.000776,0.000686,0.000717,0,-
2017-07-24,0.000853,0.000867,0.000689,0.000717,75,-
2017-07-23,0.000651,0.000872,0.000630,0.000854,2,-
2017-07-22,0.000667,0.000907,0.000647,0.000651,7,-
2017-07-21,0.000708,0.000880,0.000654,0.000667,1,-
2017-07-20,0.000789,0.000973,0.000673,0.000703,63,-
2017-07-19,0.000714,0.000794,0.000629,0.000792,344,-
2017-07-18,0.000578,0.000727,0.000562,0.000713,335,-
2017-07-17,0.000538,0.000585,0.000531,0.000576,14,-
2017-07-16,0.000516,0.000548,0.000496,0.000539,21,-
2017-07-15,0.000555,0.000588,0.000518,0.000518,22,-
2017-07-14,0.000562,0.000593,0.000485,0.000556,312,-
2017-07-13,0.000477,0.000565,0.000472,0.000562,40,-
2017-07-12,0.000461,0.000481,0.000449,0.000477,0,-
2017-07-11,0.000515,0.000521,0.000406,0.000464,22,-
2017-07-10,0.000526,0.000531,0.000500,0.000516,13,-
2017-07-09,0.000561,0.000563,0.000456,0.000525,3,-
2017-07-08,0.000550,0.000561,0.000544,0.000560,0,-
2017-07-07,0.000442,0.000556,0.000438,0.000550,40,-
2017-07-06,0.000520,0.000520,0.000437,0.000441,0,-
2017-07-05,0.000414,0.000523,0.000404,0.000520,1,-
2017-07-04,0.000482,0.000516,0.000407,0.000415,37,-
2017-07-03,0.000488,0.000489,0.000483,0.000483,0,-
