Date,Open,High,Low,Close,Volume,Market_cap
2017-11-07,0.000278,0.000289,0.000278,0.000283,3738,24743
2017-11-06,0.000444,0.000734,0.000278,0.000279,3681,39431
2017-11-05,0.000443,0.000981,0.000302,0.000443,424,39343
2017-11-04,0.000215,0.000453,0.000210,0.000443,92,19112
2017-11-03,0.000211,0.000363,0.000141,0.000216,120,18729
2017-11-02,0.000942,0.000967,0.000070,0.000211,753,83734
2017-11-01,0.000387,0.001134,0.000382,0.000941,243,34368
2017-10-31,0.000306,0.000432,0.000306,0.000387,55,27235
2017-10-30,0.000308,0.000311,0.000302,0.000307,37,27364
2017-10-29,0.000344,0.000526,0.000291,0.000310,252,30549
2017-10-28,0.000346,0.000577,0.000229,0.000344,183,30738
2017-10-27,0.000353,0.000360,0.000342,0.000345,6,31396
2017-10-26,0.000401,0.000419,0.000348,0.000353,78,35681
2017-10-25,0.000386,0.000776,0.000330,0.000401,127,34336
2017-10-24,0.000763,0.000763,0.000386,0.000386,685,67780
2017-10-23,0.000837,0.000843,0.000685,0.000764,38,74409
2017-10-22,0.000842,0.001209,0.000698,0.000838,81,74837
2017-10-21,0.001441,0.001476,0.000826,0.000842,71,128110
2017-10-20,0.000628,0.001467,0.000628,0.001444,111,55778
2017-10-19,0.000670,0.000918,0.000627,0.000627,333,59597
2017-10-18,0.000728,0.000887,0.000525,0.000670,73,64720
2017-10-17,0.002104,0.002132,0.000612,0.000728,677,187046
2017-10-16,0.002157,0.002195,0.002068,0.002104,25965,191706
2017-10-15,0.002219,0.002226,0.002074,0.002156,24598,197213
2017-10-14,0.001956,0.002351,0.001153,0.002215,25318,173902
2017-10-13,0.001917,0.002691,0.001669,0.001956,20715,170434
2017-10-12,0.002124,0.002716,0.001518,0.001911,46412,188759
2017-10-11,0.002097,0.002929,0.001923,0.002122,41303,186420
2017-10-10,0.002343,0.002655,0.001940,0.002097,23373,208282
2017-10-09,0.003313,0.003313,0.002155,0.002296,46732,294446
2017-10-08,0.004044,0.004152,0.003108,0.003312,76110,359424
2017-10-07,0.004418,0.004420,0.003879,0.004054,80785,392671
2017-10-06,0.004411,0.004591,0.003846,0.004372,80861,392064
2017-10-05,0.004310,0.005986,0.003532,0.004411,197687,383142
2017-10-04,0.005062,0.005224,0.003781,0.004306,313323,449954
2017-10-03,0.013208,0.013301,0.004597,0.005050,518089,1174090
2017-10-02,0.013534,0.013610,0.012488,0.013208,16879,1203000
2017-10-01,0.013295,0.013649,0.013035,0.013540,15413,1181810
2017-09-30,0.012860,0.013751,0.012860,0.013288,25461,1143080
2017-09-29,0.013210,0.013579,0.012344,0.012858,24503,1174210
2017-09-28,0.014144,0.014703,0.012965,0.013220,37600,1257270
2017-09-27,0.012653,0.014285,0.012653,0.014144,50126,1124720
2017-09-26,0.012626,0.013084,0.012059,0.012611,30112,1122300
2017-09-25,0.011604,0.013171,0.011331,0.012470,43648,1031460
2017-09-24,0.012035,0.012230,0.011349,0.011616,21346,1069750
2017-09-23,0.010922,0.012362,0.010823,0.012333,19256,970882
2017-09-22,0.010863,0.013790,0.010249,0.010953,117297,965564
2017-09-21,0.012144,0.014479,0.010693,0.010875,136581,1079500
2017-09-20,0.011509,0.016917,0.011047,0.012243,325440,1023060
2017-09-19,0.012089,0.012245,0.011006,0.011525,24002,1074560
2017-09-18,0.010977,0.012540,0.010894,0.012060,35491,975732
2017-09-17,0.010020,0.011657,0.009433,0.010999,44946,890669
2017-09-16,0.010406,0.011200,0.009744,0.010023,21543,924946
2017-09-15,0.009409,0.010915,0.008217,0.010433,37767,836392
2017-09-14,0.011068,0.011574,0.009337,0.009337,20620,983844
2017-09-13,0.011916,0.012280,0.010422,0.011069,48535,1059200
2017-09-12,0.011955,0.012809,0.011723,0.011961,13854,1062700
2017-09-11,0.011941,0.012599,0.011777,0.011944,6412,1061430
2017-09-10,0.012735,0.013022,0.011425,0.011961,21191,1132020
2017-09-09,0.012704,0.012799,0.011732,0.012768,12650,1129240
2017-09-08,0.013434,0.014210,0.012047,0.012679,17804,1194120
2017-09-07,0.013730,0.014395,0.012837,0.013431,27427,1220450
2017-09-06,0.013200,0.014854,0.013200,0.013756,20327,1173320
2017-09-05,0.013085,0.013598,0.011842,0.013185,21740,1163060
2017-09-04,0.014442,0.014620,0.012086,0.013017,26667,1283700
2017-09-03,0.015510,0.015738,0.013931,0.014437,29767,1378630
2017-09-02,0.016904,0.017358,0.014885,0.015500,36814,1502600
2017-09-01,0.016196,0.017660,0.015745,0.016931,45833,1439600
2017-08-31,0.014654,0.017635,0.014652,0.016193,65477,1302600
2017-08-30,0.015017,0.016067,0.014239,0.015230,42452,1334860
2017-08-29,0.015844,0.016151,0.014716,0.014762,57648,1408320
2017-08-28,0.013897,0.016398,0.013149,0.015773,107661,1235320
2017-08-27,0.014020,0.014324,0.013434,0.013912,21422,1246270
2017-08-26,0.014008,0.014082,0.013098,0.013720,28072,1245110
2017-08-25,0.014312,0.015163,0.013192,0.013981,78407,1272160
2017-08-24,0.014046,0.014936,0.013379,0.014698,44408,1248500
2017-08-23,0.014709,0.014808,0.013356,0.014040,40087,1307500
2017-08-22,0.015124,0.015124,0.012933,0.014740,71928,1344370
2017-08-21,0.017690,0.021384,0.014782,0.014810,118241,1572440
2017-08-20,0.017769,0.019595,0.015151,0.018002,191782,1579460
2017-08-19,0.016430,0.023507,0.016201,0.017852,495444,1460410
2017-08-18,0.013731,0.021852,0.013188,0.016567,450364,1220570
2017-08-17,0.014267,0.015884,0.013045,0.013773,56736,1268210
2017-08-16,0.012745,0.015023,0.012184,0.014281,44075,1132930
2017-08-15,0.012764,0.016205,0.012062,0.012773,181637,1134560
2017-08-14,0.010926,0.013387,0.010335,0.012816,65585,971221
2017-08-13,0.010519,0.013055,0.010041,0.011041,78958,934992
2017-08-12,0.010953,0.011252,0.009630,0.010528,59648,973581
2017-08-11,0.010248,0.011589,0.009254,0.010961,57357,910963
2017-08-10,0.012370,0.012955,0.010386,0.010386,159288,1099540
2017-08-09,0.010220,0.017039,0.009679,0.012369,403411,908470
2017-08-08,0.010441,0.010729,0.009801,0.010227,9523,928107
2017-08-07,0.010497,0.011253,0.009765,0.010431,31630,933079
2017-08-06,0.010155,0.013106,0.009569,0.010521,45535,902708
2017-08-05,0.009028,0.010463,0.008957,0.010153,13901,802514
2017-08-04,0.008445,0.009353,0.008445,0.009032,7237,750632
2017-08-03,0.008055,0.009370,0.007420,0.008447,30726,715961
2017-08-02,0.008207,0.008731,0.007060,0.008040,21119,729536
2017-08-01,0.007929,0.008579,0.006148,0.008209,21823,704763
2017-07-31,0.008341,0.008405,0.007635,0.007925,7979,741463
2017-07-30,0.008025,0.008412,0.007796,0.008333,4502,713320
2017-07-29,0.008064,0.008596,0.007508,0.008026,11499,716839
2017-07-28,0.008596,0.008778,0.007794,0.008095,20867,764063
2017-07-27,0.008640,0.009149,0.008276,0.008570,10813,768003
2017-07-26,0.008706,0.009022,0.007949,0.008616,9168,773862
2017-07-25,0.011455,0.011501,0.008148,0.008702,32954,1018240
2017-07-24,0.011436,0.011697,0.010937,0.011440,6859,1016520
2017-07-23,0.012252,0.012339,0.010721,0.011449,8243,1089080
2017-07-22,0.010950,0.012334,0.010684,0.012252,20543,973307
2017-07-21,0.010848,0.011776,0.009875,0.010733,11237,964258
2017-07-20,0.009396,0.011749,0.008797,0.010768,61493,835200
2017-07-19,0.008945,0.011715,0.008085,0.009424,97864,795150
2017-07-18,0.007157,0.008702,0.006912,0.008702,19865,636220
2017-07-17,0.005999,0.007439,0.005938,0.007139,19396,533272
2017-07-16,0.006450,0.006789,0.005523,0.006006,15150,573323
2017-07-15,0.007190,0.008540,0.006284,0.006469,39441,639122
2017-07-14,0.007399,0.007835,0.006868,0.007447,21670,657663
2017-07-13,0.008168,0.008360,0.007231,0.007404,23985,726027
2017-07-12,0.007196,0.008252,0.006779,0.008161,28535,639652
2017-07-11,0.007419,0.008978,0.006967,0.006989,69975,659438
2017-07-10,0.014984,0.015082,0.006975,0.007364,211923,1331950
2017-07-09,0.012105,1.57,0.012105,0.014931,710350,1075980
2017-07-08,0.010738,0.012094,0.009235,0.012094,37485,954461
2017-07-07,0.099651,0.099651,0.010455,0.010717,64245,8857880
2017-07-06,0.013831,0.179527,0.010914,0.114036,111157,1229410
2017-07-05,0.010154,0.015183,0.010072,0.013746,193300,902598
2017-07-04,0.010070,0.010922,0.009764,0.010186,19560,895114
2017-07-03,0.009809,0.010211,0.008381,0.010042,16983,871872
2017-07-02,0.009219,0.010128,0.008712,0.009845,12842,819454
2017-07-01,0.010273,0.010762,0.008691,0.009220,20977,913150
2017-06-30,0.011116,0.011417,0.010157,0.010277,11582,988086
2017-06-29,0.011486,0.011810,0.010741,0.011094,16960,1021020
2017-06-28,0.010679,0.011761,0.010185,0.011548,20232,949282
2017-06-27,0.009476,0.011776,0.008734,0.010534,94304,842333
2017-06-26,0.010979,0.011150,0.008568,0.009476,19751,975947
2017-06-25,0.011262,0.012025,0.010305,0.010607,15201,1001090
2017-06-24,0.012634,0.012738,0.010726,0.011288,24485,1123060
2017-06-23,0.011535,0.013239,0.010594,0.012636,31663,1025360
2017-06-22,0.013992,0.014714,0.010567,0.011337,54724,1243750
2017-06-21,0.008822,0.014475,0.008625,0.013992,166422,784219
2017-06-20,0.009542,0.012363,0.008008,0.008822,141516,848172
2017-06-19,0.006670,0.010316,0.006071,0.009542,90551,592875
2017-06-18,0.007269,0.007444,0.006271,0.006670,9537,646165
2017-06-17,0.007419,0.007994,0.007269,0.007269,10940,659468
2017-06-16,0.008114,0.008290,0.007344,0.007394,18181,721219
2017-06-15,0.008211,0.008575,0.007261,0.008120,12071,729827
2017-06-14,0.008743,0.010824,0.007756,0.008211,40072,777196
2017-06-13,0.007819,0.008907,0.007564,0.008559,24392,695020
