Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.168918,0.175384,0.165776,0.173132,2292,2297360
2017-11-23,0.176699,0.177578,0.169110,0.169110,14352,2403180
2017-11-22,0.164491,0.198570,0.159020,0.176910,2716,2237140
2017-11-21,0.173247,0.184778,0.161070,0.163580,1055,2356230
2017-11-20,0.131534,0.253483,0.130697,0.173237,14481,1788910
2017-11-19,0.148955,0.181313,0.126751,0.131656,3199,2025840
2017-11-18,0.136025,0.157934,0.132308,0.149171,381,1850000
2017-11-17,0.139178,0.142566,0.132216,0.136344,302,1892880
2017-11-16,0.174843,0.179926,0.137496,0.139585,4006,2377930
2017-11-15,0.120784,0.178395,0.120784,0.174295,5285,1642710
2017-11-14,0.081217,0.143957,0.066280,0.120702,16421,1104580
2017-11-13,0.065334,0.081965,0.062600,0.081150,1382,888561
2017-11-12,0.064668,0.080079,0.063705,0.065201,248,879505
2017-11-11,0.086862,0.091510,0.064103,0.064679,1983,1181360
2017-11-10,0.102080,0.104595,0.085815,0.086962,672,1388320
2017-11-09,0.096181,0.116696,0.093726,0.100941,3052,1308100
2017-11-08,0.085413,0.109695,0.080001,0.096417,471,1161650
2017-11-07,0.084641,0.101665,0.080411,0.096940,2204,1151140
2017-11-06,0.093495,0.093865,0.084331,0.084728,1879,1271570
2017-11-05,0.091466,0.101779,0.089491,0.093361,503,1243970
2017-11-04,0.106911,0.113772,0.088632,0.091662,2,1454030
2017-11-03,0.103088,0.115256,0.086641,0.107262,1799,1402030
2017-11-02,0.101073,0.108009,0.098226,0.102845,4152,1374630
2017-11-01,0.096808,0.103462,0.094535,0.102138,5564,1316630
2017-10-31,0.091002,0.108502,0.090489,0.096850,2944,1237660
2017-10-30,0.096921,0.100108,0.089748,0.092355,1695,1318160
2017-10-29,0.099694,0.125007,0.094180,0.097408,1882,1355880
2017-10-28,0.112994,0.114618,0.092145,0.099980,1273,1536760
2017-10-27,0.118261,0.121623,0.112736,0.112764,388,1608390
2017-10-26,0.122295,0.124306,0.114949,0.118519,781,1663270
2017-10-25,0.081397,0.123302,0.078900,0.123284,5421,1107030
2017-10-24,0.102560,0.107620,0.080944,0.081271,1991,1394860
2017-10-23,0.104363,0.104700,0.082144,0.102425,2852,1419380
2017-10-22,0.094429,0.109160,0.093674,0.104525,767,1284280
2017-10-21,0.089924,0.099841,0.085478,0.094420,2766,1223010
2017-10-20,0.098977,0.099914,0.090060,0.090295,3017,1346130
2017-10-19,0.082830,0.114060,0.080265,0.098997,3649,1126520
2017-10-18,0.086325,0.108876,0.074302,0.082874,5700,1174050
2017-10-17,0.156737,0.157186,0.086275,0.086308,5617,2131690
2017-10-16,0.154807,0.157535,0.151399,0.156715,1004130,2105440
2017-10-15,0.159154,0.159668,0.148294,0.154786,984214,2164550
2017-10-14,0.105336,0.195040,0.095328,0.158870,1007520,1432610
2017-10-13,0.103474,0.301416,0.075099,0.104010,718850,1407290
2017-10-12,0.099662,0.334347,0.091289,0.099687,571971,1355440
2017-10-11,0.096010,0.162173,0.092474,0.100540,40886,1305770
2017-10-10,0.111087,0.124638,0.084105,0.096166,35848,1510830
2017-10-09,0.104144,0.133831,0.103801,0.111095,45444,1416400
2017-10-08,0.139096,0.146175,0.104279,0.107420,53927,1891750
2017-10-07,0.140611,0.152600,0.134303,0.139468,34067,1912370
2017-10-06,0.138184,0.161178,0.131697,0.140566,66045,1882590
2017-10-05,0.144750,0.150104,0.125108,0.138185,81832,1972040
2017-10-04,0.152486,0.161217,0.128493,0.143776,281546,2077430
2017-10-03,0.345315,0.352133,0.155023,0.159890,1326660,4704490
2017-10-02,0.336105,0.409605,0.331834,0.350453,558471,4579020
2017-10-01,0.333379,0.354578,0.321293,0.336253,123493,4541870
2017-09-30,0.342897,0.360573,0.332499,0.333068,145981,4671550
2017-09-29,0.378013,0.384038,0.327992,0.343688,235891,5149950
2017-09-28,0.350232,0.410794,0.345647,0.378724,466051,4771470
2017-09-27,0.353396,0.363488,0.334841,0.350219,185954,4814590
2017-09-26,0.363048,0.367137,0.348639,0.354385,91173,4946080
2017-09-25,0.357432,0.373122,0.341058,0.362927,101901,4869560
2017-09-24,0.382185,0.382185,0.340460,0.344009,149446,5206790
2017-09-23,0.381613,0.390647,0.347280,0.382217,153661,5199000
2017-09-22,0.362521,0.396745,0.329253,0.383452,227388,4938900
2017-09-21,0.474725,0.476470,0.338883,0.345536,448134,6467540
2017-09-20,0.684095,0.705691,0.461434,0.473129,2077950,9319950
2017-09-19,0.682301,0.792224,0.575922,0.685087,2127830,9295500
2017-09-18,0.671331,0.748282,0.613548,0.653843,1961770,9146050
2017-09-17,0.492570,0.904411,0.469826,0.674004,6862020,6710660
2017-09-16,0.600944,0.668439,0.432480,0.488186,1174610,8187120
2017-09-15,0.645680,0.712133,0.443081,0.610547,5209290,8796590
2017-09-14,0.367240,0.716705,0.339467,0.611711,2660300,5003190
2017-09-13,0.364957,0.425702,0.277799,0.368344,394799,4972080
2017-09-12,0.356557,0.392271,0.328205,0.355762,93521,4857650
2017-09-11,0.301084,0.380036,0.296777,0.345355,121690,4101900
2017-09-10,0.321251,0.370169,0.291599,0.300276,116501,4376650
2017-09-09,0.319986,0.330914,0.303989,0.322079,13436,4359420
2017-09-08,0.343134,0.351017,0.300687,0.319367,27601,4674770
2017-09-07,0.363163,0.371949,0.326276,0.343065,29884,4947650
2017-09-06,0.335391,0.384260,0.335391,0.357108,16118,4569280
2017-09-05,0.326876,0.341325,0.286398,0.335009,25233,4453280
2017-09-04,0.398111,0.399416,0.296414,0.325188,38907,5423770
2017-09-03,0.403793,0.420922,0.387164,0.397978,54795,5501180
2017-09-02,0.416660,0.440863,0.376602,0.403533,111197,5676480
2017-09-01,0.378343,0.436150,0.374786,0.416139,48042,5154450
2017-08-31,0.390033,0.398302,0.368663,0.378274,65639,5313720
2017-08-30,0.373496,0.394036,0.355000,0.390715,36747,5088420
2017-08-29,0.355496,0.482510,0.347138,0.373995,383428,4843200
2017-08-28,0.327916,0.359815,0.320414,0.354893,52275,4467450
2017-08-27,0.347433,0.351601,0.328011,0.332695,16141,4733350
2017-08-26,0.337382,0.348299,0.318995,0.340179,39595,4596410
2017-08-25,0.340456,0.365941,0.312527,0.336735,45158,4638290
2017-08-24,0.333715,0.359307,0.314185,0.340993,34793,4546460
2017-08-23,0.355079,0.369582,0.328278,0.333571,46627,4837520
2017-08-22,0.301670,0.359850,0.268874,0.355764,92493,4109880
2017-08-21,0.336720,0.338632,0.276232,0.300973,30244,4587400
2017-08-20,0.333118,0.348296,0.292801,0.333931,41579,4538320
2017-08-19,0.326012,0.352112,0.293731,0.334680,21999,4441510
2017-08-18,0.330273,0.344881,0.304289,0.326209,47110,4499560
2017-08-17,0.359490,0.379203,0.302019,0.331286,60434,4897610
2017-08-16,0.317386,0.423652,0.280660,0.362458,164079,4323990
2017-08-15,0.347375,0.357547,0.278570,0.317037,211651,4732550
2017-08-14,0.353351,0.361777,0.275798,0.346443,30038,4813970
2017-08-13,0.344268,0.379158,0.319962,0.353126,36611,4690230
2017-08-12,0.295751,0.349579,0.295751,0.344588,27591,4029240
2017-08-11,0.343354,0.368748,0.286972,0.297772,50443,4677770
2017-08-10,0.379395,0.419000,0.340995,0.343374,128163,5168790
2017-08-09,0.378967,0.423874,0.359262,0.379359,47471,5162960
2017-08-08,0.373157,0.430916,0.330856,0.387298,92829,5083800
2017-08-07,0.373859,0.609113,0.373592,0.377625,669337,5093370
2017-08-06,0.332053,0.441793,0.304657,0.374697,54540,4523800
2017-08-05,0.327763,0.353550,0.314625,0.331972,26314,4465370
2017-08-04,0.362282,0.367938,0.283878,0.329137,55066,4935640
2017-08-03,0.243440,0.385748,0.243440,0.368673,183615,3316560
2017-08-02,0.201888,0.270729,0.193944,0.243005,40764,2750480
2017-08-01,0.168905,0.241083,0.158932,0.201927,17755,2301120
2017-07-31,0.172656,0.176270,0.149250,0.168823,22057,2352230
2017-07-30,0.171053,0.220458,0.122217,0.181706,102327,2330380
2017-07-29,0.189134,0.189651,0.165925,0.171077,12568,2576710
2017-07-28,0.190423,0.213033,0.180462,0.189854,23280,2594280
2017-07-27,0.208423,0.220535,0.190609,0.207914,88443,2839510
2017-07-26,0.232600,0.235138,0.199037,0.207833,8221,3168890
2017-07-25,0.272281,0.272684,0.217968,0.232494,23216,3709490
2017-07-24,0.252664,0.310662,0.241137,0.278682,21446,3442230
2017-07-23,0.254826,0.263989,0.243297,0.252958,4471,3471690
2017-07-22,0.240134,0.271389,0.238985,0.254826,11910,3271530
2017-07-21,0.251984,0.262262,0.232438,0.240183,10671,3432970
2017-07-20,0.229243,0.306630,0.214197,0.250129,52376,3123150
2017-07-19,0.220024,0.295489,0.201396,0.229934,45512,2997550
2017-07-18,0.200592,0.234153,0.193322,0.219674,10236,2732820
2017-07-17,0.160718,0.203843,0.158203,0.200076,13349,2189580
2017-07-16,0.169949,0.171710,0.153977,0.160896,13187,2315350
2017-07-15,0.191975,0.204009,0.170419,0.170462,6941,2615420
2017-07-14,0.227617,0.228666,0.176693,0.192305,12005,3101000
2017-07-13,0.246907,0.247424,0.219655,0.227784,7297,3363810
2017-07-12,0.204726,0.255898,0.203709,0.246723,21744,2789140
2017-07-11,0.208267,0.219693,0.184098,0.205030,12809,2837380
2017-07-10,0.293887,0.301391,0.190746,0.208711,38662,4003840
2017-07-09,0.311150,0.317041,0.292420,0.293316,7112,4239040
2017-07-08,0.289265,0.322040,0.287802,0.310872,5916,3940880
2017-07-07,0.422517,0.438350,0.264143,0.289022,62259,5756270
2017-07-06,0.382998,0.437470,0.358009,0.422206,20244,5217870
2017-07-05,0.414415,0.440193,0.382808,0.382808,22935,5645900
2017-07-04,0.400620,0.442217,0.400620,0.414639,18453,5457950
2017-07-03,0.359805,0.441533,0.353367,0.401533,36912,4901900
2017-07-02,0.341435,0.385956,0.334105,0.365607,21111,4651630
2017-07-01,0.375097,0.384749,0.338648,0.341476,25770,5110230
2017-06-30,0.405147,0.427277,0.373735,0.375241,26732,5519630
2017-06-29,0.431413,0.440269,0.382624,0.404342,37123,5877460
2017-06-28,0.434494,0.457497,0.383279,0.431813,48901,5919440
2017-06-27,0.400755,0.444501,0.367412,0.431680,45726,5459790
2017-06-26,0.452295,0.459457,0.381210,0.391511,39335,6161960
2017-06-25,0.448976,0.481526,0.429637,0.452531,13227,6116740
2017-06-24,0.484129,0.547108,0.443845,0.450008,92856,6595650
2017-06-23,0.447118,0.490644,0.425910,0.484184,36669,6091430
2017-06-22,0.428708,0.448392,0.398432,0.447118,52964,5840610
2017-06-21,0.429625,0.448392,0.400955,0.428708,68911,5853110
2017-06-20,0.445751,0.469592,0.424636,0.429625,48185,6072810
2017-06-19,0.462481,0.487061,0.425894,0.445751,95881,6300730
2017-06-18,0.423479,0.485862,0.423477,0.462481,32934,5769380
2017-06-17,0.461737,0.461779,0.399773,0.423479,46525,6290600
2017-06-16,0.404348,0.479731,0.389182,0.461723,34969,5508740
2017-06-15,0.447398,0.447398,0.352562,0.401396,56651,6095240
2017-06-14,0.504074,0.508483,0.402754,0.447418,53610,6867380
2017-06-13,0.496344,0.518927,0.459072,0.504367,36182,6762070
2017-06-12,0.539355,0.563176,0.431844,0.500675,52320,7348040
2017-06-11,0.533439,0.548382,0.502819,0.540072,37539,7267450
2017-06-10,0.543103,0.551773,0.503316,0.533746,27706,7399110
2017-06-09,0.483897,0.557920,0.483897,0.542289,28679,6592500
2017-06-08,0.509937,0.551267,0.455983,0.484663,42604,6947260
2017-06-07,0.603356,0.616917,0.486687,0.507387,75143,8219980
2017-06-06,0.590819,0.604180,0.512204,0.603202,78808,8049180
2017-06-05,0.513341,0.589035,0.497462,0.589035,72613,6993640
2017-06-04,0.492651,0.557132,0.470194,0.513275,44617,6711760
2017-06-03,0.402492,0.561693,0.402492,0.493985,99891,5483460
2017-06-02,0.334969,0.462657,0.306267,0.409776,43036,4563540
2017-06-01,0.286769,0.335564,0.279245,0.334818,23869,3906870
2017-05-31,0.284893,0.319849,0.243739,0.286515,27123,3881310
2017-05-30,0.304916,0.322248,0.264672,0.283780,15402,4154100
2017-05-29,0.295169,0.316445,0.269370,0.304562,21509,4021310
2017-05-28,0.218279,0.298369,0.218279,0.295768,14938,2973780
2017-05-27,0.279633,0.288011,0.211996,0.216983,13305,3809650
2017-05-26,0.309009,0.342622,0.263690,0.278707,15020,4209860
2017-05-25,0.312558,0.368873,0.239693,0.311294,27187,4258220
2017-05-24,0.334732,0.366965,0.309054,0.313147,38921,4560310
2017-05-23,0.254426,0.336192,0.235212,0.334329,24659,3466240
2017-05-22,0.266652,0.312178,0.225803,0.242092,41497,3632800
2017-05-21,0.315072,0.332889,0.275500,0.279820,35573,4292470
2017-05-20,0.329540,0.336397,0.281849,0.315185,23286,4489580
2017-05-19,0.283051,0.330269,0.273502,0.329898,25188,3856220
2017-05-18,0.291347,0.307017,0.261951,0.282887,35240,3969240
2017-05-17,0.288333,0.315624,0.280987,0.291503,28797,3928180
2017-05-16,0.317993,0.323166,0.272919,0.303385,27249,4332260
2017-05-15,0.339318,0.339834,0.289571,0.318464,41087,4622790
2017-05-14,0.341668,0.361120,0.300630,0.339088,18058,4654800
2017-05-13,0.313352,0.354530,0.293827,0.340577,54601,4269030
2017-05-12,0.304622,0.328162,0.284978,0.314001,21604,4150100
2017-05-11,0.289665,0.324187,0.275623,0.304321,21485,3946330
2017-05-10,0.325834,0.348870,0.243576,0.289146,56740,4439080
2017-05-09,0.326298,0.431825,0.278917,0.343173,85810,4445410
2017-05-08,0.344234,0.365572,0.304610,0.326196,56749,4689760
2017-05-07,0.401453,0.403162,0.298836,0.344189,83514,5471260
2017-05-06,0.335493,0.401283,0.326704,0.401283,73948,4572320
2017-05-05,0.322766,0.426977,0.276675,0.349152,113622,4398870
2017-05-04,0.286607,0.374476,0.277004,0.322096,66065,3906070
2017-05-03,0.262512,0.319463,0.240754,0.286486,47058,3577690
2017-05-02,0.259366,0.272703,0.238333,0.262342,11235,3534810
2017-05-01,0.249452,0.278445,0.234736,0.262300,33381,3399700
2017-04-30,0.250607,0.256618,0.229360,0.249377,20956,3415440
2017-04-29,0.262846,0.264522,0.235321,0.250597,14520,3582240
2017-04-28,0.240502,0.262713,0.217273,0.262603,23508,3277720
2017-04-27,0.228367,0.243448,0.198968,0.240501,15947,3112340
2017-04-26,0.198429,0.231668,0.168353,0.228224,23327,2704320
2017-04-25,0.224181,0.224409,0.198091,0.198350,16781,3055290
2017-04-24,0.241938,0.242620,0.189560,0.224139,47652,3297290
2017-04-23,0.255839,0.271680,0.223567,0.254975,24623,3486740
2017-04-22,0.187898,0.295937,0.180453,0.256176,84076,2560800
2017-04-21,0.167751,0.187796,0.149381,0.187796,24617,2286220
2017-04-20,0.174795,0.180976,0.135995,0.167707,26951,2382220
2017-04-19,0.128013,0.179955,0.114718,0.174681,24251,1744640
2017-04-18,0.138847,0.151164,0.117248,0.127964,9784,1892300
2017-04-17,0.138217,0.156643,0.127342,0.138864,33267,1883710
2017-04-16,0.118455,0.147614,0.118455,0.134117,25178,1614380
2017-04-15,0.113206,0.149159,0.113049,0.118446,49439,1542850
2017-04-14,0.097071,0.117274,0.091762,0.113229,23290,1322940
2017-04-13,0.099276,0.100577,0.082734,0.095847,17413,1353000
2017-04-12,0.080778,0.099223,0.078073,0.099223,7386,1100900
2017-04-11,0.074160,0.082801,0.072121,0.080791,3410,1010710
2017-04-10,0.071315,0.075416,0.071061,0.074140,6775,971932
2017-04-09,0.069249,0.073034,0.069249,0.071348,863,943771
2017-04-08,0.073780,0.073780,0.067904,0.069213,6313,1005530
2017-04-07,0.069552,0.074342,0.068635,0.074047,2386,947902
2017-04-06,0.065556,0.074927,0.065556,0.069773,12478,893436
2017-04-05,0.067390,0.070399,0.065036,0.065496,8342,918434
2017-04-04,0.062305,0.071653,0.062305,0.067335,8481,849131
2017-04-03,0.058456,0.072179,0.057655,0.066913,5633,796682
2017-04-02,0.065167,0.069535,0.051530,0.056762,17904,888136
2017-04-01,0.069651,0.069744,0.059320,0.065160,19850,949245
2017-03-31,0.063138,0.069731,0.060369,0.069656,13449,860492
2017-03-30,0.061574,0.066857,0.057571,0.063125,10486,839168
2017-03-29,0.061405,0.062622,0.055725,0.061441,3763,836865
2017-03-28,0.057452,0.063674,0.051765,0.061468,7248,782995
2017-03-27,0.058414,0.062108,0.049879,0.057382,31764,796103
2017-03-26,0.072276,0.077670,0.054797,0.058094,31348,985030
2017-03-25,0.065405,0.073787,0.059090,0.072175,10882,891384
2017-03-24,0.062307,0.066453,0.057985,0.065474,11126,849163
2017-03-23,0.052545,0.062898,0.047859,0.062316,15614,716111
2017-03-22,0.067788,0.076127,0.037203,0.052499,43009,923861
2017-03-21,0.046966,0.082796,0.046966,0.059265,64709,640085
2017-03-20,0.045846,0.047316,0.040707,0.046916,10353,624819
2017-03-19,0.035104,0.047346,0.032770,0.045824,9296,478416
2017-03-18,0.041469,0.042313,0.032990,0.034999,7839,565171
2017-03-17,0.045934,0.046922,0.032875,0.041490,18220,626013
2017-03-16,0.044952,0.046650,0.039597,0.046232,9256,612638
2017-03-15,0.035915,0.044890,0.033610,0.044890,16284,489473
2017-03-14,0.032677,0.036025,0.032460,0.035910,5338,445342
2017-03-13,0.031840,0.034607,0.028220,0.032670,5694,433931
2017-03-12,0.032357,0.033777,0.029445,0.031829,3346,440982
2017-03-11,0.031257,0.033391,0.031257,0.032335,2295,425991
2017-03-10,0.032273,0.033680,0.024805,0.031268,4382,439835
2017-03-09,0.030704,0.032691,0.030460,0.032251,144,418449
2017-03-08,0.032024,0.032952,0.029898,0.030694,2318,436447
2017-03-07,0.037274,0.037274,0.030340,0.032032,1545,507989
2017-03-06,0.045276,0.049018,0.031357,0.037262,11584,617047
2017-03-05,0.038798,0.045669,0.038683,0.045669,697,528766
2017-03-04,0.041236,0.041299,0.036967,0.038830,3737,561984
2017-03-03,0.044938,0.045426,0.031868,0.041157,14577,612444
2017-03-02,0.043706,0.047481,0.031496,0.044949,11100,595655
2017-03-01,0.044257,0.047192,0.039483,0.043632,4022,603170
2017-02-28,0.040897,0.045681,0.040897,0.044256,1354,557377
2017-02-27,0.042210,0.045799,0.040600,0.040869,1912,575270
2017-02-26,0.043517,0.045518,0.037252,0.042262,10440,593073
2017-02-25,0.041120,0.043572,0.037742,0.043500,3183,560405
2017-02-24,0.042527,0.044689,0.040176,0.041235,2475,579579
2017-02-23,0.041781,0.045768,0.039760,0.042310,7862,569419
2017-02-22,0.044380,0.046527,0.039720,0.041564,12517,604842
2017-02-21,0.045794,0.048495,0.044256,0.046296,7787,624108
2017-02-20,0.047191,0.047620,0.044536,0.045824,452,643148
2017-02-19,0.043530,0.047216,0.042555,0.047154,4903,593254
2017-02-18,0.045001,0.047205,0.042322,0.042704,2981,613298
2017-02-17,0.041496,0.044986,0.041477,0.044872,1292,565539
2017-02-16,0.040306,0.044208,0.040164,0.041550,468,549317
2017-02-15,0.040128,0.044076,0.039062,0.040299,2192,546887
2017-02-14,0.040592,0.043955,0.038427,0.040061,630,553210
2017-02-13,0.037668,0.041046,0.037616,0.040547,359,513364
2017-02-12,0.039910,0.047543,0.037075,0.037679,6410,543920
2017-02-11,0.036867,0.042742,0.036861,0.039947,1550,502448
2017-02-10,0.039275,0.041084,0.035495,0.040344,6766,535271
2017-02-09,0.042300,0.044507,0.037291,0.039226,2576,576499
2017-02-08,0.045531,0.048521,0.040512,0.042236,3669,620526
2017-02-07,0.046099,0.050199,0.039609,0.047729,5951,628267
2017-02-06,0.039860,0.046251,0.037142,0.046011,6254,543237
2017-02-05,0.041439,0.042467,0.036778,0.039819,3501,564761
2017-02-04,0.044751,0.045436,0.037618,0.041415,11367,609895
2017-02-03,0.043665,0.046883,0.042626,0.044690,4172,595095
2017-02-02,0.050985,0.051208,0.042548,0.043680,4616,694858
2017-02-01,0.045780,0.051008,0.045780,0.050939,2522,623918
2017-01-31,0.042945,0.048408,0.042830,0.045754,2482,585288
2017-01-30,0.041592,0.045239,0.040091,0.042919,4175,566839
2017-01-29,0.045391,0.045604,0.040778,0.041564,5471,618612
2017-01-28,0.043741,0.045466,0.041578,0.045367,2810,596130
2017-01-27,0.047284,0.047685,0.037753,0.043738,10056,644421
2017-01-26,0.048981,0.050613,0.041290,0.047245,9420,667541
2017-01-25,0.047267,0.051422,0.045103,0.048934,4286,644182
2017-01-24,0.050589,0.050589,0.045331,0.047308,3836,689453
2017-01-23,0.047260,0.056256,0.046424,0.051163,4933,644094
2017-01-22,0.049061,0.055292,0.039380,0.047218,26675,668638
2017-01-21,0.052803,0.055480,0.048945,0.049040,14687,719631
2017-01-20,0.054796,0.056613,0.051955,0.052803,17551,746797
2017-01-19,0.053477,0.058451,0.052713,0.054851,10678,728825
2017-01-18,0.060872,0.063814,0.048974,0.053374,33456,829606
2017-01-17,0.058094,0.073377,0.046774,0.060776,74829,791738
2017-01-16,0.037226,0.076354,0.033743,0.058135,85670,507344
2017-01-15,0.030202,0.037240,0.025787,0.037227,15924,411618
2017-01-14,0.022864,0.034728,0.021944,0.025991,40005,-
2017-01-13,0.020974,0.024078,0.019956,0.022833,6038,-
2017-01-12,0.019274,0.022707,0.018514,0.021003,6268,-
