Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.012056,0.012508,0.011826,0.012286,6,19289
2017-11-23,0.012044,0.012308,0.011829,0.012072,7,19270
2017-11-21,0.012362,0.012371,0.012329,0.012361,164,19780
2017-11-20,0.011743,0.012427,0.011713,0.012360,203,18789
2017-11-19,0.011211,0.011843,0.011183,0.011749,7,17937
2017-11-18,0.009301,0.009301,0.009017,0.009017,33,14882
2017-11-17,0.012473,0.012767,0.009156,0.009337,34,19957
2017-11-16,0.009421,0.012724,0.009212,0.012493,5,15074
2017-11-15,0.008938,0.009448,0.008887,0.009372,4,14300
2017-11-14,0.008425,0.008670,0.008290,0.008542,3,13480
2017-11-13,0.010392,0.010438,0.008092,0.008407,4,16627
2017-11-11,0.008482,0.008785,0.008214,0.008247,2,13571
2017-11-10,0.009339,0.009608,0.008323,0.008512,7,14942
2017-11-09,0.010989,0.011073,0.009291,0.009311,14,17582
2017-11-07,0.009116,0.009451,0.009116,0.009204,42,14586
2017-11-06,0.009685,0.010988,0.009098,0.009131,55,15497
2017-11-05,0.010113,0.010113,0.009557,0.009664,182,16180
2017-11-04,0.010750,0.010889,0.010504,0.010788,9,17201
2017-11-03,0.011010,0.011122,0.009518,0.010778,608,17616
2017-11-02,0.010631,0.011552,0.010631,0.011190,4,17010
2017-11-01,0.007475,0.022531,0.007384,0.010619,201,11960
2017-10-31,0.015448,0.015638,0.007457,0.007480,74,24717
2017-10-30,0.023581,0.023810,0.023116,0.023328,25,37730
2017-10-29,0.021170,0.024215,0.021139,0.023719,54,33872
2017-10-26,0.021275,0.021480,0.021136,0.021411,16,34039
2017-10-25,0.019700,0.021315,0.019213,0.021277,16,31521
2017-10-24,0.019004,0.020508,0.018031,0.019692,11,30407
2017-10-23,0.019135,0.019422,0.018352,0.019046,165,30616
2017-10-22,0.019484,0.019656,0.019484,0.019590,548,31175
2017-10-21,0.019677,0.020064,0.019124,0.019478,545,31483
2017-10-20,0.018711,0.019868,0.018435,0.019735,3,29938
2017-10-19,0.018103,0.018827,0.017937,0.018706,122,28964
2017-10-18,0.018146,0.018180,0.016636,0.018093,43,29034
2017-10-17,0.005837,0.018284,0.005662,0.018145,38,9339
2017-10-16,0.016563,0.016904,0.005708,0.005836,155,26502
2017-10-15,0.016969,0.017024,0.015821,0.016561,4,27150
2017-10-14,0.029240,0.029240,0.016507,0.016938,83,46784
2017-10-13,0.025898,0.029945,0.025732,0.029232,184,41436
2017-10-12,0.023456,0.025818,0.015800,0.025818,11,37529
2017-10-11,0.017241,0.023462,0.017104,0.023436,1,27586
2017-10-10,0.019001,0.019296,0.017118,0.017244,16,30402
2017-10-09,0.019060,0.019062,0.019002,0.019002,1,30497
2017-10-08,0.022129,0.022233,0.022054,0.022116,9,35407
2017-10-07,0.017539,0.022241,0.017491,0.022188,9,28063
2017-10-06,0.017591,0.017743,0.017366,0.017533,25,28146
2017-10-03,0.017567,0.017667,0.016947,0.017134,3,28108
2017-10-02,0.017093,0.022092,0.017045,0.017567,4,27349
2017-10-01,0.018509,0.021788,0.016369,0.017101,264,29614
2017-09-30,0.017689,0.018565,0.017673,0.018499,0,28303
2017-09-29,0.017193,0.017966,0.017167,0.017687,2,27509
2017-09-28,0.017840,0.018123,0.017550,0.017714,1,28544
2017-09-27,0.016425,0.017912,0.016419,0.017839,24,26281
2017-09-21,0.015556,0.015661,0.014385,0.014755,81,24890
2017-09-20,0.023090,0.023879,0.015596,0.015633,85,36944
2017-09-19,0.023054,0.023269,0.022910,0.023121,39,36886
2017-09-12,0.026967,0.028018,0.026256,0.026756,4,43148
2017-09-11,0.027116,0.027919,0.026391,0.026941,4,43386
2017-09-10,0.026198,0.027607,0.026116,0.027162,2,41917
2017-09-09,0.027704,0.027704,0.027539,0.027539,171,44327
2017-09-08,0.029629,0.030066,0.026526,0.027651,172,47406
2017-09-07,0.016709,0.016712,0.016289,0.016299,14,26734
2017-09-06,0.017331,0.017456,0.016408,0.016741,15,27730
2017-09-05,0.015631,0.015631,0.014727,0.015585,9,25010
2017-09-04,0.020139,0.020153,0.015074,0.015550,9,32222
2017-09-03,0.020104,0.020611,0.019324,0.020132,5,32167
2017-09-02,0.017043,0.020173,0.016345,0.020091,19,27270
2017-09-01,0.019900,0.020420,0.019707,0.020307,117,31841
2017-08-31,0.020006,0.020006,0.019837,0.019897,115,32010
2017-08-29,0.018402,0.019501,0.018268,0.019326,400,29443
2017-08-28,0.018459,0.018944,0.017840,0.018405,384,29534
2017-08-27,0.018462,0.018707,0.018201,0.018478,3,29540
2017-08-26,0.018344,0.018507,0.017990,0.018467,2,29350
2017-08-25,0.018181,0.018743,0.018056,0.018338,13,29089
2017-08-24,0.017193,0.018342,0.017055,0.018209,1,27509
2017-08-23,0.026952,0.027113,0.016939,0.017186,156,43123
2017-08-22,0.025606,0.025606,0.023186,0.025295,5,40970
2017-08-21,0.025953,0.026097,0.025494,0.025547,28,41525
2017-08-20,0.023960,0.023960,0.023407,0.023633,0,38336
2017-08-19,0.026541,0.027031,0.022924,0.024072,0,42466
2017-08-18,0.025679,0.027052,0.017097,0.026564,13,41086
2017-08-17,0.028396,0.028500,0.025168,0.025758,3,45433
2017-08-16,0.022181,0.028427,0.021295,0.028422,37,35489
2017-08-15,0.027996,0.028643,0.015528,0.022156,3,44794
2017-08-14,0.025794,0.027938,0.016305,0.027921,97,41270
2017-08-13,0.015084,0.026181,0.015050,0.025777,90,24135
2017-08-12,0.015019,0.015125,0.015019,0.015098,1,24030
2017-08-11,0.013015,0.013526,0.012958,0.013511,2,20825
