Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.013347,0.014253,0.012562,0.012747,2483,370960
2017-11-23,0.014053,0.014151,0.013125,0.013373,1119,390592
2017-11-22,0.013793,0.014455,0.013750,0.014078,693,383354
2017-11-21,0.014434,0.014434,0.013308,0.013760,590,401169
2017-11-20,0.013862,0.014459,0.013434,0.014431,538,385277
2017-11-19,0.014025,0.015142,0.013655,0.013890,1025,389817
2017-11-18,0.013077,0.014084,0.012625,0.014016,478,363465
2017-11-17,0.013579,0.013866,0.012894,0.013126,515,377398
2017-11-16,0.012829,0.014671,0.012164,0.013601,554,356560
2017-11-15,0.011900,0.013303,0.011900,0.012762,1228,330750
2017-11-14,0.012240,0.012885,0.011100,0.011892,1213,340198
2017-11-13,0.009784,0.014351,0.009673,0.012214,2484,271941
2017-11-12,0.011577,0.012024,0.009702,0.009770,647,321778
2017-11-11,0.011000,0.012144,0.010292,0.011586,1000,305739
2017-11-10,0.012599,0.013038,0.010997,0.011040,801,350180
2017-11-09,0.012737,0.014326,0.012127,0.012567,1261,353995
2017-11-08,0.012847,0.013376,0.012258,0.012750,365,357051
2017-11-07,0.012072,0.012975,0.011832,0.012887,709,335511
2017-11-06,0.013657,0.013669,0.011665,0.012092,560,379563
2017-11-05,0.013516,0.015176,0.013037,0.013634,505,375667
2017-11-04,0.014898,0.017795,0.012229,0.013467,372,414071
2017-11-03,0.011565,0.019944,0.010807,0.014912,3922,321442
2017-11-02,0.009667,0.019706,0.009459,0.011580,5512,268671
2017-11-01,0.009806,0.009811,0.009242,0.009653,978,272534
2017-10-31,0.008911,0.012652,0.008647,0.009813,5419,247676
2017-10-30,0.009119,0.009568,0.008811,0.008958,844,253455
2017-10-29,0.009699,0.009949,0.009020,0.009210,373,269565
2017-10-28,0.009595,0.009800,0.008924,0.009712,2494,266678
2017-10-27,0.010265,0.010635,0.009570,0.009570,561,285297
2017-10-26,0.009695,0.010547,0.009409,0.010274,295,269444
2017-10-25,0.009214,0.010775,0.009071,0.009696,325,256085
2017-10-24,0.009662,0.010367,0.009025,0.009199,385,268546
2017-10-23,0.010435,0.010557,0.008845,0.009690,1573,290032
2017-10-22,0.009998,0.011184,0.009667,0.010448,1081,277876
2017-10-21,0.013258,0.014428,0.009815,0.009995,1130,368499
2017-10-20,0.011574,0.015918,0.011198,0.013286,1922,321673
2017-10-19,0.011246,0.012517,0.011146,0.011572,651,312568
2017-10-18,0.012285,0.012288,0.010711,0.011248,987,341443
2017-10-17,0.012732,0.013873,0.012124,0.012291,4921,353864
2017-10-16,0.012665,0.012796,0.012138,0.012730,769,351998
2017-10-15,0.013196,0.014616,0.012114,0.012661,1366,366751
2017-10-14,0.014142,0.014244,0.013000,0.013172,258,393055
2017-10-13,0.013236,0.014136,0.012411,0.014136,1939,367867
2017-10-12,0.012964,0.013336,0.011837,0.013194,845,360321
2017-10-11,0.013501,0.015814,0.012293,0.012938,990,375252
2017-10-10,0.012259,0.023405,0.011862,0.015775,4851,340733
2017-10-09,0.012949,0.014336,0.012259,0.012259,963,359886
2017-10-08,0.011358,0.021842,0.011293,0.012946,3876,315682
2017-10-07,0.011273,0.012227,0.011000,0.011384,1985,313304
2017-10-06,0.010938,0.012159,0.010769,0.011269,593,303997
2017-10-05,0.011472,0.012189,0.010743,0.010939,904,318855
2017-10-04,0.010869,0.014023,0.010710,0.011464,1604,302087
2017-10-03,0.010984,0.011212,0.010503,0.010844,379,305289
2017-10-02,0.010977,0.012382,0.010538,0.010984,485,305078
2017-10-01,0.010771,0.012481,0.010081,0.010980,1555,299372
2017-09-30,0.011371,0.013130,0.010541,0.010766,2520,316041
2017-09-29,0.009794,0.011382,0.009275,0.011370,293,272210
2017-09-28,0.009757,0.010620,0.009177,0.009801,520,271190
2017-09-27,0.008934,0.010366,0.008914,0.009758,512,248316
2017-09-26,0.009252,0.010487,0.008367,0.008954,858,257143
2017-09-25,0.008359,0.010845,0.008328,0.009253,1482,232320
2017-09-24,0.008429,0.008624,0.008218,0.008367,54,234269
2017-09-23,0.008166,0.008778,0.008112,0.008430,96,226966
2017-09-22,0.008009,0.008700,0.007583,0.008192,1359,222593
2017-09-21,0.008492,0.009106,0.007648,0.008018,459,236035
2017-09-20,0.008754,0.009523,0.008379,0.008534,511,243295
2017-09-19,0.009263,0.009581,0.008652,0.008765,697,257442
2017-09-18,0.009229,0.010171,0.008873,0.009240,1304,256503
2017-09-17,0.008791,0.009334,0.008028,0.009247,232,244343
