Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.000080,0.000083,0.000079,0.000082,69,41054
2017-11-23,0.000082,0.000164,0.000080,0.000080,166,42015
2017-11-22,0.000081,0.000083,0.000081,0.000082,448,41447
2017-11-21,0.000082,0.000164,0.000078,0.000081,107,42098
2017-11-20,0.000161,0.000161,0.000080,0.000082,8,82172
2017-11-19,0.000156,0.000162,0.000077,0.000161,25,79552
2017-11-18,0.000077,0.000157,0.000075,0.000156,44,39264
2017-11-17,0.000157,0.000161,0.000076,0.000077,39,80142
2017-11-16,0.000146,0.000160,0.000071,0.000157,29,74608
2017-11-15,0.000066,0.000146,0.000066,0.000145,301,33772
2017-11-14,0.000065,0.000067,0.000064,0.000066,56,33360
2017-11-13,0.000059,0.000133,0.000058,0.000065,126,29988
2017-11-12,0.000064,0.000124,0.000055,0.000059,3,32493
2017-11-11,0.000131,0.000136,0.000062,0.000064,119,67169
2017-11-10,0.000143,0.000220,0.000129,0.000132,2429,72829
2017-11-09,0.000149,0.000224,0.000142,0.000142,2604,76288
2017-11-08,0.000071,0.000157,0.000071,0.000150,6128,36349
2017-11-07,0.000139,0.000144,0.000070,0.000071,270,71093
2017-11-06,0.000074,0.000148,0.000071,0.000139,49,37766
2017-11-05,0.000074,0.000076,0.000073,0.000074,1393,37681
2017-11-04,0.000143,0.000145,0.000071,0.000074,19,73218
2017-11-03,0.000140,0.000149,0.000071,0.000144,811,71750
2017-11-02,0.000067,0.000142,0.000067,0.000141,77,34370
2017-11-01,0.000129,0.000132,0.000064,0.000067,153,65832
2017-10-31,0.000123,0.000129,0.000061,0.000129,67,62602
2017-10-30,0.000123,0.000123,0.000060,0.000123,72,62900
2017-10-29,0.000115,0.000126,0.000058,0.000124,143,58517
2017-10-28,0.000058,0.000116,0.000057,0.000115,967,29440
2017-10-27,0.000058,0.000058,0.000057,0.000057,3,29400
2017-10-26,0.000057,0.000060,0.000057,0.000059,3,29291
2017-10-25,0.000055,0.000057,0.000054,0.000057,14,28188
2017-10-24,0.000117,0.000117,0.000055,0.000055,13,59923
2017-10-23,0.000060,0.000120,0.000057,0.000118,26,30542
2017-10-22,0.000060,0.000119,0.000058,0.000060,116,30718
2017-10-21,0.000120,0.000123,0.000059,0.000060,252,61349
2017-10-20,0.000114,0.000122,0.000056,0.000120,41,58278
2017-10-19,0.000112,0.000115,0.000111,0.000114,24,57080
2017-10-18,0.000112,0.000112,0.000103,0.000112,690,57217
2017-10-17,0.000058,0.000114,0.000056,0.000056,963,29520
2017-10-16,0.000114,0.000115,0.000057,0.000058,171,58149
2017-10-15,0.000117,0.000117,0.000109,0.000114,135,59777
2017-10-14,0.000057,0.000173,0.000056,0.000117,1006,28889
2017-10-13,0.000054,0.000117,0.000054,0.000057,137,27791
2017-10-12,0.000097,0.000105,0.000052,0.000054,58,49305
2017-10-11,0.000048,0.000098,0.000047,0.000096,396,24328
2017-10-10,0.000096,0.000148,0.000047,0.000048,707,48896
2017-10-09,0.000046,0.000140,0.000046,0.000096,3034,23511
2017-10-08,0.000089,0.000091,0.000045,0.000046,93,45396
2017-10-07,0.000087,0.000089,0.000087,0.000089,551,44683
2017-10-06,0.000086,0.000088,0.000044,0.000087,559,44171
2017-10-05,0.000084,0.000087,0.000042,0.000086,1718,43126
2017-10-04,0.000086,0.000127,0.000042,0.000084,1414,44130
2017-10-03,0.000088,0.000089,0.000085,0.000086,304,44980
2017-10-02,0.000088,0.000134,0.000088,0.000088,291,44890
2017-10-01,0.000130,0.000173,0.000085,0.000088,112,66581
2017-09-30,0.000125,0.000131,0.000085,0.000130,185,63932
2017-09-29,0.000126,0.000212,0.000125,0.000125,740,64263
2017-09-28,0.000168,0.000214,0.000125,0.000126,1841,85968
2017-09-27,0.000117,0.000169,0.000039,0.000168,1488,59589
2017-09-26,0.000118,0.000119,0.000078,0.000117,422,60275
2017-09-25,0.000073,0.000119,0.000073,0.000118,345,37517
2017-09-24,0.000076,0.000076,0.000073,0.000074,99,38704
2017-09-23,0.000036,0.000076,0.000036,0.000076,13,18426
2017-09-22,0.000036,0.000036,0.000036,0.000036,1,18563
2017-09-21,0.000039,0.000039,0.000036,0.000036,1,19816
2017-09-20,0.000040,0.000040,0.000039,0.000039,1,20398
2017-09-19,0.000041,0.000041,0.000039,0.000040,2,20959
2017-09-18,0.000040,0.000041,0.000040,0.000041,2,20286
2017-09-16,0.000074,0.000078,0.000074,0.000077,0,37894
2017-09-15,0.000032,0.000076,0.000032,0.000074,0,16574
2017-09-14,0.000078,0.000079,0.000032,0.000032,188,39609
2017-09-13,0.000040,0.000079,0.000038,0.000078,12,20448
2017-09-12,0.000042,0.000044,0.000041,0.000042,4,21523
2017-09-11,0.000043,0.000084,0.000042,0.000042,29,21710
2017-09-10,0.000042,0.000043,0.000040,0.000043,21,21624
2017-09-09,0.000087,0.000088,0.000084,0.000087,1,44224
2017-09-08,0.000046,0.000088,0.000043,0.000086,9,23670
2017-09-07,0.000046,0.000093,0.000045,0.000046,35,23577
2017-09-06,0.000088,0.000096,0.000046,0.000046,3,45155
2017-09-05,0.000043,0.000090,0.000041,0.000088,73,21996
2017-09-04,0.000046,0.000046,0.000043,0.000043,0,23594
2017-09-03,0.000046,0.000047,0.000044,0.000046,2,23554
2017-09-02,0.000098,0.000099,0.000045,0.000046,387,50303
2017-09-01,0.000047,0.000098,0.000047,0.000098,34,24203
2017-08-31,0.000139,0.000140,0.000047,0.000047,167,70840
2017-08-30,0.000092,0.000093,0.000090,0.000092,13,46933
2017-08-29,0.000088,0.000093,0.000087,0.000092,46,44837
2017-08-28,0.000087,0.000088,0.000084,0.000088,5,44371
2017-08-27,0.000087,0.000131,0.000086,0.000087,234,44380
2017-08-26,0.000087,0.000088,0.000085,0.000087,44,44606
2017-08-25,0.000130,0.000132,0.000086,0.000087,114,66334
2017-08-24,0.000083,0.000131,0.000083,0.000130,45,42325
2017-08-23,0.000041,0.000083,0.000041,0.000083,406,20872
2017-08-22,0.000040,0.000041,0.000040,0.000041,2,20512
2017-08-21,0.000041,0.000041,0.000040,0.000040,1,20723
2017-08-20,0.000083,0.000083,0.000041,0.000041,328,42349
2017-08-19,0.000082,0.000083,0.000079,0.000083,44,42029
2017-08-18,0.000043,0.000044,0.000040,0.000040,14,21861
2017-08-17,0.000088,0.000089,0.000042,0.000043,51,44837
2017-08-16,0.000083,0.000088,0.000079,0.000088,9,42435
2017-08-15,0.000087,0.000089,0.000039,0.000083,140,44205
2017-08-14,0.000041,0.000086,0.000040,0.000086,320,20749
2017-08-13,0.000077,0.000084,0.000040,0.000041,361,39513
2017-08-12,0.000073,0.000079,0.000072,0.000077,39,37292
2017-08-11,0.000068,0.000074,0.000068,0.000073,7,34899
2017-08-10,0.000067,0.000069,0.000066,0.000068,28,34152
2017-08-09,0.000034,0.000067,0.000032,0.000067,48,17463
2017-08-08,0.000068,0.000070,0.000034,0.000034,352,34650
2017-08-07,0.000064,0.000068,0.000064,0.000068,1,32897
2017-08-06,0.000065,0.000066,0.000063,0.000065,1,33254
2017-08-05,0.000086,0.000097,0.000064,0.000065,126,43744
2017-08-04,0.000056,0.000086,0.000055,0.000086,187,28472
2017-08-03,0.000027,0.000056,0.000027,0.000056,65,13812
2017-08-02,0.000082,0.000083,0.000027,0.000027,9,41824
2017-08-01,0.000086,0.000087,0.000080,0.000082,0,43862
2017-07-31,0.000082,0.000086,0.000081,0.000086,75,41997
2017-07-30,0.000082,0.000082,0.000027,0.000082,449,41646
2017-07-29,0.000080,0.000082,0.000080,0.000082,71,41022
2017-07-28,0.000106,0.000109,0.000106,0.000107,4,54371
2017-07-27,0.000103,0.000107,0.000101,0.000106,4,52559
2017-07-26,0.000102,0.000104,0.000096,0.000099,0,52312
2017-07-25,0.000138,0.000139,0.000050,0.000102,871,70443
2017-07-24,0.000109,0.000140,0.000109,0.000138,94,55619
2017-07-23,0.000113,0.000114,0.000106,0.000111,1,57832
2017-07-22,0.000140,0.000144,0.000111,0.000113,2,71390
2017-07-21,0.000170,0.000170,0.000157,0.000159,0,86793
2017-07-20,0.000135,0.000174,0.000093,0.000169,69,69118
2017-07-19,0.000092,0.000143,0.000090,0.000136,48,47049
2017-07-18,0.000111,0.000116,0.000065,0.000092,13,56773
2017-07-17,0.000077,0.000131,0.000077,0.000111,99,39289
2017-07-16,0.000060,0.000115,0.000059,0.000077,208,30421
2017-07-15,0.000133,0.000147,0.000020,0.000060,2374,67996
2017-07-14,0.000164,0.000165,0.000088,0.000133,61,83706
2017-07-13,0.000167,0.000169,0.000162,0.000164,0,85324
2017-07-12,0.000116,0.000168,0.000095,0.000167,71,59196
2017-07-11,0.000164,0.000166,0.000115,0.000116,35,83682
2017-07-10,0.000125,0.000201,0.000125,0.000164,5,63984
2017-07-09,0.000178,0.000179,0.000125,0.000125,63,91156
2017-07-08,0.000150,0.000178,0.000124,0.000178,22,76671
2017-07-07,0.000234,0.000234,0.000125,0.000150,137,119459
2017-07-06,0.000130,0.000234,0.000129,0.000234,628,66398
2017-07-05,0.000130,0.000182,0.000127,0.000130,84,66151
2017-07-04,0.000178,0.000209,0.000104,0.000130,313,90697
2017-07-03,0.000100,0.000180,0.000099,0.000178,426,50865
2017-07-02,0.000120,0.000123,0.000098,0.000100,284,61476
2017-07-01,0.000172,0.000175,0.000119,0.000120,20,87666
2017-06-30,0.000203,0.000203,0.000098,0.000172,2082,103473
2017-06-29,0.000153,0.000205,0.000127,0.000202,206,78231
2017-06-28,0.000153,0.000202,0.000147,0.000153,175,78102
2017-06-27,0.000171,0.000196,0.000138,0.000152,873,87104
2017-06-26,0.000227,0.000251,0.000150,0.000167,147,115768
2017-06-25,0.000205,0.000230,0.000147,0.000227,520,104834
2017-06-24,0.000215,0.000218,0.000157,0.000206,64,109939
2017-06-23,0.000225,0.000326,0.000136,0.000215,637,114839
2017-06-22,0.000300,0.000300,0.000200,0.000225,71,153119
2017-06-21,0.000175,0.000300,0.000175,0.000300,84,89319
2017-06-20,0.000175,0.000225,0.000175,0.000175,338,89319
2017-06-19,0.000350,0.000400,0.000175,0.000175,595,178639
2017-06-18,0.000450,0.000475,0.000325,0.000350,1358,229678
2017-06-17,0.000325,0.000475,0.000300,0.000450,12059,165879
2017-06-16,0.000072,0.000625,0.000070,0.000325,21954,36989
2017-06-15,0.000123,0.000123,0.000064,0.000072,22,62762
2017-06-14,0.000135,0.000138,0.000101,0.000123,46,69162
2017-06-13,0.000106,0.000137,0.000106,0.000135,44,53969
2017-06-12,0.000149,0.000149,0.000101,0.000106,463,75968
2017-06-11,0.000145,0.000149,0.000115,0.000149,218,73843
2017-06-10,0.000169,0.000202,0.000141,0.000145,61,86133
2017-06-09,0.000168,0.000225,0.000140,0.000168,799,85855
2017-06-08,0.000215,0.000215,0.000136,0.000168,297,109952
2017-06-07,0.000172,0.000224,0.000141,0.000214,229,87858
2017-06-06,0.000135,0.000173,0.000108,0.000172,43,68826
2017-06-05,0.000176,0.000181,0.000131,0.000134,177,89991
2017-06-04,0.000228,0.000228,0.000150,0.000176,254,116497
2017-06-03,0.000247,0.000248,0.000073,0.000229,1067,126419
2017-06-02,0.000168,0.000248,0.000166,0.000248,180,85803
