Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.000431,0.000682,0.000406,0.000507,85,612440
2017-11-23,0.000649,0.000706,0.000430,0.000433,633,922385
2017-11-22,0.000527,0.000767,0.000525,0.000653,834,749382
2017-11-21,0.000678,0.000679,0.000496,0.000532,1775,963499
2017-11-20,0.000576,0.000682,0.000501,0.000678,2499,817954
2017-11-19,0.000623,0.000701,0.000548,0.000576,381,885240
2017-11-18,0.000540,0.000775,0.000523,0.000624,1627,766942
2017-11-17,0.000698,0.000714,0.000534,0.000542,72,991371
2017-11-16,0.000518,0.000711,0.000507,0.000699,72,736676
2017-11-15,0.000530,0.000565,0.000478,0.000516,320,753642
2017-11-14,0.000563,0.000667,0.000525,0.000530,111,799487
2017-11-13,0.000452,0.000599,0.000450,0.000596,331,642081
2017-11-12,0.000577,0.000600,0.000414,0.000451,2078,819242
2017-11-11,0.000627,0.000690,0.000453,0.000577,447,890366
2017-11-10,0.000664,0.000762,0.000541,0.000629,300,943378
2017-11-09,0.000590,0.000753,0.000507,0.000662,648,838566
2017-11-08,0.000646,0.000710,0.000569,0.000591,1294,917719
2017-11-07,0.000699,0.000730,0.000503,0.000648,2177,993622
2017-11-06,0.000707,0.000731,0.000594,0.000701,914,1004810
2017-11-05,0.000660,0.000780,0.000600,0.000706,768,938470
2017-11-04,0.000674,0.000821,0.000555,0.000662,2869,957233
2017-11-03,0.000620,0.000684,0.000520,0.000675,280,881521
2017-11-02,0.000481,0.000696,0.000481,0.000621,275,684046
2017-11-01,0.000588,0.000676,0.000477,0.000484,577,836044
2017-10-31,0.000579,0.000666,0.000572,0.000590,159,822335
2017-10-30,0.000621,0.000725,0.000577,0.000581,121,881688
2017-10-29,0.000599,0.000662,0.000522,0.000624,174,851544
2017-10-28,0.000628,0.000639,0.000531,0.000605,327,892382
2017-10-27,0.000693,0.000767,0.000515,0.000626,44,984877
2017-10-26,0.000600,0.000696,0.000537,0.000694,300,852896
2017-10-25,0.000598,0.000681,0.000499,0.000600,168,849387
2017-10-24,0.000579,0.000649,0.000409,0.000598,918,821629
2017-10-23,0.000615,0.000637,0.000520,0.000582,23,873236
2017-10-22,0.000666,0.000672,0.000493,0.000616,773,945290
2017-10-21,0.000602,0.000742,0.000492,0.000666,2247,855212
2017-10-20,0.000685,0.000732,0.000373,0.000604,10282,972134
2017-10-19,0.000763,0.000775,0.000685,0.000685,2682,1083120
2017-10-18,0.000672,0.000768,0.000572,0.000765,1321,953616
2017-10-17,0.000636,0.000680,0.000609,0.000672,1736,901985
2017-10-16,0.000569,0.000685,0.000448,0.000636,6269,807096
2017-10-15,0.000533,0.000575,0.000493,0.000569,347,756226
2017-10-14,0.000509,0.000533,0.000453,0.000532,71,721709
2017-10-13,0.000574,0.000631,0.000421,0.000509,1762,814608
