Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,6.2e-08,7.4e-08,5.3e-08,7.4e-08,84,6173
2017-11-23,6.4e-08,7e-08,5.6e-08,6.2e-08,410,6434
2017-11-22,6.9e-08,8.2e-08,6.1e-08,6.4e-08,1870,6925
2017-11-21,4.9e-08,1.2e-07,4.9e-08,6.4e-08,444,4909
2017-11-20,8.1e-08,8.2e-08,4.1e-08,4.9e-08,241,8108
2017-11-19,8e-08,8.4e-08,4e-08,4.7e-08,713,7956
2017-11-18,3.8e-08,7.9e-08,3.6e-08,7e-08,53,3777
2017-11-17,4e-08,4e-08,3.6e-08,3.7e-08,1,3986
2017-11-16,1e-07,1e-07,3.5e-08,3.5e-08,397,10310
2017-11-15,1.1e-07,1.2e-07,5.9e-08,6.5e-08,61,11488
2017-11-14,1.3e-07,1.3e-07,7.8e-08,8.2e-08,25,12685
2017-11-13,1.2e-07,1.2e-07,3.3e-08,6.2e-08,642,12098
2017-11-12,1.1e-07,1.6e-07,3.2e-08,4.3e-08,46,10971
2017-11-11,4.4e-08,1e-07,3.6e-08,5.8e-08,222,4428
2017-11-10,1.4e-07,1.5e-07,4.3e-08,4.5e-08,48,14311
2017-11-09,1.6e-07,1.7e-07,5.1e-08,5.2e-08,80,16122
2017-11-08,3.4e-08,1.2e-07,3.4e-08,3.9e-08,243,3418
2017-11-07,3.4e-08,6e-08,3.4e-08,6e-08,1070,3359
2017-11-06,1.7e-07,1.7e-07,4.9e-08,5e-08,159,17128
2017-11-05,3.3e-08,1.6e-07,2.8e-08,1.5e-07,155,3339
2017-11-04,3.4e-08,5.5e-08,3.2e-08,4.9e-08,248,3382
2017-11-03,5.1e-08,5.9e-08,4.7e-08,4.8e-08,182,5093
2017-11-02,4.6e-08,5.7e-08,4.5e-08,5.4e-08,344,4657
2017-11-01,6.8e-08,8.1e-08,5e-08,5.1e-08,392,6761
2017-10-31,9.1e-08,9.1e-08,6.4e-08,6.4e-08,768,9078
2017-10-30,8.9e-08,9.1e-08,5.7e-08,5.8e-08,1787,8901
2017-10-29,8.7e-08,9e-08,5.3e-08,8.9e-08,1772,8745
2017-10-28,8.3e-08,1.1e-07,6.7e-08,9.3e-08,728,8285
2017-10-27,9e-08,9.2e-08,7.8e-08,7.9e-08,114,9010
2017-10-26,9.1e-08,1.1e-07,8.9e-08,1.1e-07,77,9113
2017-10-25,6.7e-07,7.8e-07,6.3e-07,7.8e-07,321,67149
2017-10-24,7.7e-08,4.3e-07,7.1e-08,4.3e-07,453,7659
2017-10-23,2.7e-07,2.8e-07,1.3e-07,1.4e-07,134,26756
2017-10-22,2.7e-07,2.8e-07,2.4e-07,2.5e-07,52,27252
2017-10-21,2e-07,2e-07,8e-08,1.1e-07,892,19651
2017-10-20,2e-07,2.5e-07,6.7e-08,2.4e-07,1046,20203
2017-10-19,8.7e-08,1.3e-07,6e-08,1.3e-07,499,8726
2017-10-18,8.7e-08,1.1e-07,6.3e-08,1.1e-07,329,8718
2017-10-17,8.7e-08,1.2e-07,8.4e-08,1.1e-07,130,8666
2017-10-16,8.1e-08,1e-07,7.7e-08,1e-07,44,8099
2017-10-15,8.2e-08,1.3e-07,8.2e-08,1.2e-07,964,8243
2017-10-14,7e-08,1.1e-07,6.3e-08,1e-07,1275,6997
2017-10-13,1.2e-07,1.2e-07,7e-08,7.2e-08,113,12106
2017-10-12,1.2e-07,1.6e-07,7.7e-08,1.5e-07,2298,12434
2017-10-11,1.2e-07,1.5e-07,1.2e-07,1.3e-07,548,11717
2017-10-10,1.3e-07,1.8e-07,1.1e-07,1.3e-07,44,12523
2017-10-09,1.4e-07,1.8e-07,1.2e-07,1.6e-07,358,13743
2017-10-08,1.6e-07,1.7e-07,1.4e-07,1.4e-07,143,16019
2017-10-07,2.3e-07,2.5e-07,1.3e-07,1.4e-07,171,22674
2017-10-06,9.6e-08,2.2e-07,9.6e-08,1.5e-07,818,9561
2017-10-05,9.9e-08,1.7e-07,9.4e-08,1.5e-07,643,9917
2017-10-04,2.3e-07,2.3e-07,9.6e-08,9.7e-08,359,22729
2017-10-03,1e-07,2.2e-07,1e-07,2.2e-07,281,10364
2017-10-02,1.2e-07,1.7e-07,1.2e-07,1.6e-07,206,11716
2017-10-01,1.2e-07,2.4e-07,1.2e-07,1.9e-07,240,11905
2017-09-30,1.5e-07,2.6e-07,1.5e-07,2e-07,202,15201
2017-09-29,1.5e-07,2e-07,1.4e-07,2e-07,196,15208
2017-09-28,2.7e-07,2.9e-07,2e-07,2.2e-07,182,27498
2017-09-27,2.5e-07,2.6e-07,2.4e-07,2.5e-07,49,24674
2017-09-26,1.3e-07,2.5e-07,1.3e-07,2.2e-07,113,13362
2017-09-25,9.2e-08,1.6e-07,9.2e-08,1.6e-07,33,9239
2017-09-24,8e-08,1.4e-07,7.9e-08,1.4e-07,117,8014
2017-09-23,2.2e-07,2.4e-07,1.2e-07,1.3e-07,133,22025
2017-09-22,7.2e-08,2.2e-07,7.2e-08,2.2e-07,240,7209
2017-09-21,8.2e-08,2.9e-07,8.1e-08,1.2e-07,87,8210
2017-09-20,3e-07,3.1e-07,2.4e-07,2.4e-07,28,30474
2017-09-19,2.3e-07,3.2e-07,2.3e-07,3e-07,183,22878
2017-09-18,2.5e-07,3.4e-07,2.5e-07,2.9e-07,205,25148
2017-09-17,2.4e-07,2.7e-07,2e-07,2.6e-07,168,24004
2017-09-16,2.5e-07,2.6e-07,2.2e-07,2.3e-07,421,25123
2017-09-15,1.2e-07,2.5e-07,1.2e-07,2.4e-07,713,12390
2017-09-14,2.8e-07,2.9e-07,1.7e-07,1.7e-07,402,27821
2017-09-13,3.1e-07,3.1e-07,2.3e-07,2.4e-07,150,30878
2017-09-12,3e-07,3.4e-07,2.9e-07,3e-07,84,29884
2017-09-11,3.3e-07,3.3e-07,2.5e-07,3e-07,371,32576
2017-09-10,3.6e-07,3.6e-07,2.3e-07,3.1e-07,946,35721
2017-09-09,4.4e-07,4.5e-07,2.6e-07,2.8e-07,817,44451
2017-09-08,5e-07,5.5e-07,3.6e-07,3.8e-07,118,49907
2017-09-07,7.3e-07,7.5e-07,4.5e-07,4.5e-07,108,73439
2017-09-06,6.4e-07,6.5e-07,3.4e-07,4.1e-07,482,64351
2017-09-05,7.1e-07,7.1e-07,2.9e-07,4e-07,338,70753
2017-09-04,8.3e-07,8.5e-07,3.2e-07,4.6e-07,121,82904
2017-09-03,8.3e-07,8.5e-07,3.7e-07,3.8e-07,36,83066
2017-09-02,0.000001,0.000001,3.7e-07,3.9e-07,52,119994
2017-09-01,0.000001,0.000001,4.7e-07,5.3e-07,581,124785
