Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.000479,0.000496,0.000394,0.000494,65,-
2017-11-23,0.000437,0.000535,0.000382,0.000480,26,-
2017-11-22,0.000405,0.000627,0.000404,0.000444,25,-
2017-11-21,0.000415,0.000494,0.000393,0.000404,27,-
2017-11-20,0.000398,0.000480,0.000394,0.000415,84,-
2017-11-19,0.000540,0.000543,0.000392,0.000404,8,-
2017-11-18,0.000384,0.000617,0.000372,0.000541,151,-
2017-11-17,0.000407,0.000627,0.000376,0.000386,59,-
2017-11-16,0.000366,0.000423,0.000358,0.000408,6,-
2017-11-15,0.000331,0.000432,0.000331,0.000363,5,-
2017-11-14,0.000327,0.000336,0.000321,0.000330,9,-
2017-11-13,0.000348,0.000502,0.000323,0.000326,22,-
2017-11-12,0.000504,0.000504,0.000330,0.000348,17,-
2017-11-11,0.000578,0.000599,0.000349,0.000504,5,-
2017-11-10,0.000641,0.000659,0.000577,0.000581,0,-
2017-11-09,0.000448,0.000645,0.000419,0.000639,28,-
2017-11-08,0.000428,0.000471,0.000425,0.000449,10,-
2017-11-07,0.000348,0.000434,0.000348,0.000429,3,-
2017-11-06,0.000367,0.000371,0.000347,0.000348,2,-
2017-11-05,0.000441,0.000457,0.000362,0.000366,14,-
2017-11-04,0.000430,0.000452,0.000355,0.000442,22,-
2017-11-03,0.000421,0.000448,0.000361,0.000431,18,-
2017-11-02,0.000338,0.000439,0.000338,0.000422,13,-
2017-11-01,0.000456,0.000470,0.000324,0.000337,192,-
2017-10-31,0.000432,0.000477,0.000432,0.000465,3,-
2017-10-30,0.000440,0.000611,0.000427,0.000433,5,-
2017-10-29,0.000562,0.000577,0.000407,0.000446,1,-
2017-10-28,0.000405,0.000582,0.000403,0.000563,9,-
2017-10-27,0.000671,0.000683,0.000401,0.000404,8,-
2017-10-26,0.000592,0.000680,0.000513,0.000680,13,-
2017-10-25,0.000552,0.000597,0.000527,0.000592,9,-
2017-10-24,0.000501,0.000580,0.000467,0.000552,14,-
2017-10-23,0.000418,0.000504,0.000415,0.000503,9,-
2017-10-22,0.000618,0.000733,0.000406,0.000420,29,-
2017-10-21,0.000420,0.000626,0.000417,0.000618,34,-
2017-10-20,0.000471,0.000518,0.000403,0.000421,20,-
2017-10-19,0.000393,0.000561,0.000391,0.000472,32,-
2017-10-18,0.000423,0.000424,0.000341,0.000395,3,-
2017-10-17,0.000618,0.000620,0.000422,0.000423,3,-
2017-10-16,0.000568,0.000625,0.000512,0.000618,35,-
2017-10-15,0.000351,0.000574,0.000330,0.000568,440,-
2017-10-14,0.000509,0.000509,0.000341,0.000350,8,-
2017-10-13,0.000435,0.000513,0.000334,0.000509,66,-
2017-10-12,0.000434,0.000472,0.000415,0.000434,47,-
2017-10-11,0.000429,0.000439,0.000333,0.000434,48,-
2017-10-10,0.000383,0.000444,0.000382,0.000429,70,-
2017-10-09,0.000460,0.000487,0.000381,0.000383,167,-
2017-10-08,0.000270,0.000461,0.000266,0.000460,5,-
2017-10-07,0.000394,0.000395,0.000269,0.000270,0,-
2017-10-06,0.000432,0.000437,0.000389,0.000394,28,-
2017-10-05,0.000422,0.000437,0.000415,0.000432,42,-
2017-10-04,0.000389,0.000426,0.000382,0.000422,7,-
2017-10-03,0.000396,0.000530,0.000382,0.000388,6,-
2017-10-02,0.000527,0.000536,0.000394,0.000396,48,-
2017-10-01,0.000479,0.000528,0.000469,0.000528,15,-
2017-09-30,0.000493,0.000526,0.000457,0.000479,66,-
2017-09-29,0.000294,0.000498,0.000280,0.000493,303,-
2017-09-28,0.000337,0.000469,0.000290,0.000294,94,-
2017-09-27,0.000318,0.000419,0.000317,0.000337,79,-
2017-09-26,0.000394,0.000437,0.000189,0.000318,264,-
2017-09-25,0.000435,0.000443,0.000369,0.000393,5,-
2017-09-24,0.000497,0.000510,0.000377,0.000436,55,-
2017-09-23,0.000471,0.000511,0.000429,0.000494,6,-
2017-09-22,0.000398,0.000898,0.000398,0.000475,167,-
2017-09-21,0.000504,0.000508,0.000395,0.000399,14,-
2017-09-20,0.000522,0.000557,0.000506,0.000507,50,-
2017-09-19,0.000533,0.000536,0.000503,0.000523,15,-
2017-09-18,0.000481,0.000574,0.000481,0.000532,78,-
2017-09-17,0.000483,0.000493,0.000391,0.000482,24,-
2017-09-16,0.000519,0.000543,0.000454,0.000482,34,-
2017-09-15,0.000422,0.000534,0.000389,0.000521,28,-
2017-09-14,0.000534,0.000541,0.000419,0.000419,58,-
2017-09-13,0.000713,0.000729,0.000531,0.000531,24,-
2017-09-12,0.000506,0.000724,0.000506,0.000711,5,-
2017-09-11,0.000509,0.000524,0.000495,0.000505,5,-
2017-09-10,0.000520,0.000583,0.000486,0.000510,7,-
2017-09-09,0.000621,0.000623,0.000514,0.000521,18,-
2017-09-08,0.000649,0.000677,0.000598,0.000621,10,-
2017-09-07,0.000600,0.000656,0.000588,0.000649,7,-
2017-09-06,0.000619,0.000675,0.000594,0.000601,14,-
2017-09-05,0.000560,0.000661,0.000519,0.000618,26,-
2017-09-04,0.000690,0.000690,0.000540,0.000558,109,-
2017-09-03,0.000951,0.000964,0.000629,0.000689,15,-
2017-09-02,0.000842,0.001110,0.000663,0.000951,159,-
2017-09-01,0.000712,0.000842,0.000675,0.000842,149,-
2017-08-31,0.000550,0.000714,0.000461,0.000713,295,-
2017-08-30,0.000551,0.000554,0.000459,0.000550,157,-
2017-08-29,0.000614,0.000614,0.000436,0.000552,193,-
2017-08-28,0.000521,0.000659,0.000430,0.000613,38,-
2017-08-27,0.000565,0.000572,0.000435,0.000522,459,-
2017-08-26,0.000611,0.000613,0.000556,0.000565,43,-
2017-08-25,0.000515,0.000613,0.000475,0.000611,325,-
2017-08-24,0.000576,0.000586,0.000488,0.000515,14,-
2017-08-23,0.000654,0.000664,0.000460,0.000576,45,-
2017-08-22,0.000520,0.000657,0.000465,0.000655,20,-
2017-08-21,0.000568,0.000654,0.000518,0.000519,11,-
2017-08-20,0.000580,0.000581,0.000450,0.000570,107,-
2017-08-19,0.000573,0.000656,0.000555,0.000625,204,-
2017-08-18,0.000598,0.000689,0.000554,0.000573,42,-
2017-08-17,0.000617,0.000744,0.000599,0.000600,158,-
2017-08-16,0.000625,0.000700,0.000553,0.000617,106,-
2017-08-15,0.000952,0.001018,0.000567,0.000624,86,-
