Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.007814,0.008147,0.007510,0.007783,59475,2082140
2017-11-23,0.007858,0.008245,0.007251,0.007825,136602,2091510
2017-11-22,0.007630,0.008167,0.006372,0.008024,74953,2030380
2017-11-21,0.006793,0.007938,0.006713,0.007612,21813,1805850
2017-11-20,0.007507,0.007816,0.006676,0.006791,14725,1994010
2017-11-19,0.006894,0.008031,0.006133,0.007511,49324,1829540
2017-11-18,0.006749,0.007510,0.006416,0.006906,62710,1789310
2017-11-17,0.006858,0.007151,0.006677,0.006775,15634,1816320
2017-11-16,0.006199,0.006909,0.005722,0.006871,20755,1640630
2017-11-15,0.005510,0.006414,0.005444,0.005660,61514,1456990
2017-11-14,0.005176,0.005856,0.004845,0.005572,37054,1367370
2017-11-13,0.004430,0.005318,0.004194,0.005100,97268,1169370
2017-11-12,0.005027,0.005093,0.004354,0.004539,27911,1325730
2017-11-11,0.005301,0.005594,0.004793,0.005031,58289,1396730
2017-11-10,0.005508,0.006183,0.005012,0.005320,60170,1449960
2017-11-09,0.005936,0.006359,0.005049,0.005491,36112,1561290
2017-11-08,0.005735,0.006779,0.005075,0.005943,86925,1506960
2017-11-07,0.006335,0.006857,0.004963,0.005753,130335,1663180
2017-11-06,0.007353,0.007416,0.006064,0.006299,40261,1928680
2017-11-05,0.007595,0.007757,0.007222,0.007338,15231,1990340
2017-11-04,0.007048,0.008171,0.006920,0.007607,67476,1845190
2017-11-03,0.006755,0.007522,0.006671,0.007065,35009,1766910
2017-11-02,0.006423,0.007254,0.006387,0.006764,71887,1678480
2017-11-01,0.006903,0.006993,0.006011,0.006414,29488,1802480
2017-10-31,0.006325,0.007006,0.006110,0.006910,93029,1650000
2017-10-30,0.005830,0.006347,0.005573,0.006347,22617,1519430
2017-10-29,0.006124,0.006144,0.005222,0.005866,18484,1594520
2017-10-28,0.005852,0.006366,0.005763,0.006129,42835,1522230
2017-10-27,0.005964,0.006358,0.005777,0.005908,13327,1550040
2017-10-26,0.005513,0.006826,0.005375,0.005963,48246,1431430
2017-10-25,0.005283,0.005928,0.005184,0.005514,15273,1370400
2017-10-24,0.005607,0.005684,0.005211,0.005284,48866,1453320
2017-10-23,0.005504,0.005871,0.005113,0.005620,39084,1425100
2017-10-22,0.005905,0.006061,0.005302,0.005512,28018,1527820
2017-10-21,0.005527,0.006871,0.005489,0.005904,39126,1428630
2017-10-20,0.005911,0.006224,0.005539,0.005539,42557,1526310
2017-10-19,0.005428,0.005951,0.005379,0.005911,34789,1400220
2017-10-18,0.005283,0.005451,0.004785,0.005425,3747,1361520
2017-10-17,0.006116,0.006234,0.005151,0.005282,8925,1574810
2017-10-16,0.005139,0.006175,0.004691,0.006173,85937,1322080
2017-10-15,0.005181,0.005546,0.004887,0.005138,8853,1331580
2017-10-14,0.004948,0.006029,0.004775,0.005172,49904,1270570
2017-10-13,0.004495,0.005015,0.004010,0.004791,20188,1153150
2017-10-12,0.003974,0.004564,0.003851,0.004481,9774,1018600
2017-10-11,0.003985,0.004310,0.003897,0.003971,1971,1020520
2017-10-10,0.004746,0.004756,0.003872,0.003985,16083,1214180
2017-10-09,0.004080,0.004806,0.003966,0.004744,29518,1042820
2017-10-08,0.004080,0.004137,0.003775,0.004079,25325,1041890
2017-10-07,0.004284,0.004333,0.003906,0.004091,38678,1093000
2017-10-06,0.004575,0.004632,0.004210,0.004283,40024,1166070
2017-10-05,0.004716,0.004949,0.004420,0.004489,40149,1200770
2017-10-04,0.004777,0.004923,0.004359,0.004795,74017,1215350
2017-10-03,0.004789,0.005006,0.004714,0.004766,12099,1217080
2017-10-02,0.004465,0.005411,0.004114,0.004789,57746,1133640
2017-10-01,0.004470,0.004609,0.004337,0.004467,5624,1133950
2017-09-30,0.004377,0.004532,0.004287,0.004468,4895,1109350
2017-09-29,0.004358,0.004612,0.003847,0.004377,39941,1103350
2017-09-28,0.003826,0.004600,0.003765,0.004361,70763,967605
2017-09-27,0.003567,0.003968,0.003162,0.003825,96099,901330
2017-09-26,0.003500,0.003755,0.003414,0.003687,11660,883634
