Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.825591,0.857172,0.818907,0.839182,92043,1815950
2017-11-23,0.842816,0.859633,0.814702,0.826553,317962,1853830
2017-11-22,0.810837,0.847589,0.809676,0.843437,64499,1783480
2017-11-21,0.837284,0.891611,0.785737,0.810032,399550,1841640
2017-11-20,0.831155,0.845598,0.807013,0.837213,151037,1828140
2017-11-19,0.802186,0.848943,0.778812,0.831433,385114,1764410
2017-11-18,0.716923,0.804578,0.703411,0.803667,460646,1576860
2017-11-17,0.734280,0.760435,0.708642,0.716288,120270,1615000
2017-11-16,0.682024,0.743904,0.662613,0.733833,149655,1500060
2017-11-15,0.587875,0.679685,0.587875,0.678470,300144,1292970
2017-11-14,0.572385,0.618098,0.571194,0.587473,156246,1258880
2017-11-13,0.501952,0.585771,0.496587,0.571241,126546,1053770
2017-11-12,0.578879,0.579959,0.487512,0.501223,189129,1215250
2017-11-11,0.579646,0.609421,0.560844,0.580514,220352,1216850
2017-11-10,0.612386,0.635797,0.563408,0.578507,270464,1224340
2017-11-09,0.622782,0.643501,0.591455,0.609437,123100,1245120
2017-11-08,0.581351,0.645062,0.578664,0.621930,132869,1162280
2017-11-07,0.563678,0.597301,0.563678,0.583181,43321,1126940
2017-11-06,0.596748,0.609212,0.562532,0.564582,125768,1193050
2017-11-05,0.564289,0.626569,0.558748,0.595430,190657,1128140
2017-11-04,0.543254,0.580235,0.533069,0.565357,136481,1086080
2017-11-03,0.519842,0.557676,0.514078,0.544670,81792,1039260
2017-11-02,0.541592,0.611708,0.495294,0.520520,122045,1082730
2017-11-01,0.454290,0.555286,0.449075,0.540989,52823,885460
2017-10-31,0.444258,0.461636,0.441439,0.454622,42726,865897
2017-10-30,0.474189,0.510532,0.440381,0.445770,98062,924221
2017-10-29,0.432566,0.510230,0.432468,0.476966,333076,843085
2017-10-28,0.482660,0.491613,0.403907,0.430295,427250,916573
2017-10-27,0.502833,0.514662,0.477367,0.481351,120931,954865
2017-10-26,0.481148,0.508683,0.481148,0.502716,258548,913686
2017-10-25,0.488884,0.491311,0.457718,0.480633,128940,928373
2017-10-24,0.479260,0.497053,0.462040,0.488687,506489,910095
2017-10-23,0.479846,0.487804,0.455797,0.480314,137841,911207
2017-10-22,0.470894,0.484601,0.455955,0.483614,137986,894207
2017-10-21,0.463620,0.485645,0.452084,0.470752,78144,880391
2017-10-20,0.423566,0.468701,0.421177,0.464596,113767,804319
2017-10-19,0.407869,0.428911,0.393638,0.423448,99807,774501
2017-10-18,0.408335,0.409007,0.368411,0.407657,44671,775353
2017-10-17,0.404247,0.408956,0.384849,0.408307,92771,767533
2017-10-16,0.375491,0.404255,0.371507,0.403888,87357,671619
2017-10-15,0.351077,0.376259,0.343689,0.375329,20595,627938
2017-10-14,0.328029,0.357465,0.324959,0.350450,1946,586702
2017-10-13,0.308825,0.334375,0.306859,0.327941,1313,552334
2017-10-12,0.260587,0.307880,0.259985,0.307880,1110,466053
2017-10-11,0.256455,0.270710,0.256455,0.260377,565,458657
2017-10-10,0.257844,0.265019,0.251971,0.256512,666,461138
2017-10-09,0.227861,0.259334,0.226271,0.257864,4552,407506
2017-10-08,0.228826,0.233817,0.222651,0.227827,4929,409226
2017-10-07,0.231813,0.233733,0.206536,0.229425,7949,412240
2017-10-06,0.229327,0.234682,0.221080,0.231739,126,407811
2017-10-05,0.218500,0.231595,0.212401,0.229328,571,388548
2017-10-04,0.247518,0.247674,0.217201,0.218303,947,440138
2017-10-03,0.252855,0.254288,0.233440,0.246946,695,449619
2017-10-02,0.248267,0.253969,0.244605,0.252846,345,441449
2017-10-01,0.238966,0.248376,0.234550,0.248376,435,424885
2017-09-30,0.222869,0.242008,0.215543,0.238837,532,392795
2017-09-29,0.263737,0.264623,0.212830,0.222840,106,464832
2017-09-28,0.254806,0.266842,0.251043,0.263940,2142,449064
2017-09-27,0.252059,0.270425,0.234616,0.254754,528,444192
2017-09-26,0.239738,0.255820,0.235582,0.252764,4609,422442
2017-09-25,0.220526,0.241970,0.220445,0.239761,2449,388575
2017-09-24,0.230796,0.230796,0.220749,0.220749,5,406664
2017-09-23,0.218456,0.230820,0.188268,0.230816,340,384904
2017-09-22,0.219388,0.227968,0.214336,0.219074,1070,386522
2017-09-21,0.236179,0.237766,0.180009,0.219639,65,416049
2017-09-20,0.250431,0.254438,0.197306,0.237344,1605,441109
2017-09-19,0.250288,0.252375,0.227602,0.250765,40,440831
2017-09-18,0.237412,0.264270,0.237412,0.249683,69,418114
2017-09-17,0.237686,0.243684,0.214580,0.237886,14789,418560
2017-09-16,0.215622,0.239690,0.206298,0.237886,9450,374871
2017-09-15,0.188707,0.222354,0.178543,0.216185,394,328069
2017-09-14,0.232522,0.235610,0.187248,0.187248,230,404255
2017-09-13,0.249187,0.250094,0.226662,0.232510,591,-
2017-09-12,0.290572,0.299921,0.246194,0.250138,589,-
2017-09-11,0.297514,0.306320,0.251059,0.290293,1766,-
2017-09-10,0.259790,0.302900,0.242747,0.298020,762,-
2017-09-09,0.346046,0.350074,0.252306,0.260460,219,-
2017-09-08,0.278492,0.375539,0.276073,0.345376,2,-
2017-09-07,0.360024,0.360084,0.278436,0.278436,1,-
2017-09-06,0.265422,0.376134,0.265422,0.360715,23,-
2017-09-05,0.258538,0.340196,0.243577,0.265120,19,-
2017-09-04,0.369704,0.369972,0.249332,0.257203,17,-
2017-09-03,0.307375,0.378376,0.307375,0.369580,0,-
2017-09-02,0.328375,0.332271,0.299499,0.307177,37,-
2017-09-01,0.318854,0.405635,0.314048,0.327964,29,-
2017-08-31,0.305588,0.309237,0.305535,0.307548,2,-
2017-08-30,0.306607,0.310394,0.299787,0.306122,2,-
2017-08-29,0.293398,0.309884,0.292218,0.307016,3,-
2017-08-28,0.289999,0.290592,0.279980,0.289336,1,-
2017-08-27,0.289579,0.393003,0.287967,0.289709,6,-
2017-08-26,0.291187,0.291850,0.284657,0.289644,6,-
2017-08-25,0.288598,0.297528,0.286618,0.291099,10,-
2017-08-24,0.384384,0.391074,0.279236,0.289053,12,-
2017-08-23,0.393574,0.394809,0.378705,0.384217,3,-
2017-08-22,0.266702,0.276264,0.241491,0.272903,121,-
2017-08-21,0.271811,0.273896,0.265584,0.266086,136,-
2017-08-20,0.277736,0.278240,0.271324,0.272846,11,-
2017-08-19,0.275272,0.308385,0.265731,0.279039,41,-
2017-08-18,0.299587,0.522064,0.265016,0.275507,40,-
2017-08-17,0.307219,0.544662,0.296881,0.300505,127,-
2017-08-16,0.294914,0.307557,0.280994,0.307503,82,-
2017-08-15,0.562342,0.567513,0.274746,0.294590,207,-
2017-08-14,0.406197,0.569870,0.281862,0.560834,206,-
2017-08-13,0.431718,0.812842,0.319496,0.405939,3015,-
2017-08-12,1.03,2.39,0.378889,0.432119,111061,-
2017-08-10,0.250724,0.258244,0.248887,0.257102,7,-
2017-08-09,0.173296,0.251427,0.164607,0.250700,7,-
2017-08-08,0.274492,0.281786,0.169803,0.173413,0,-
2017-08-07,0.273260,0.275289,0.269646,0.274215,18,-
2017-08-05,0.143529,0.160404,0.143422,0.156783,2,-
2017-08-04,0.225580,0.226365,0.139900,0.143592,2,-
2017-08-03,0.218356,0.225636,0.218356,0.225636,6,-
2017-08-01,0.143545,0.143545,0.141678,0.142606,3,-
2017-07-31,0.137200,0.144185,0.135539,0.143475,119,-
2017-07-28,0.165516,0.175320,0.165469,0.171202,8,-
2017-07-27,0.201606,0.206924,0.158539,0.165016,7,-
2017-07-26,0.199726,0.203287,0.190471,0.201035,13,-
2017-07-25,0.190602,0.199974,0.174603,0.199636,49,-
2017-07-21,0.168789,0.170317,0.161827,0.168215,14,-
2015-12-10,0.096137,0.096487,0.094656,0.095584,56,20560
2015-12-09,0.096529,0.097318,0.093447,0.096039,56,20644
2015-12-04,0.083094,0.083296,0.081828,0.082892,2,17771
2015-12-03,0.083015,0.083718,0.082208,0.083044,2,17754
2015-12-01,0.086809,0.087079,0.086574,0.086876,4,-
2015-11-30,0.098211,0.098211,0.085192,0.086788,4,-
2015-11-27,0.091477,0.094526,0.090439,0.093785,3,-
