Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.023307,0.024784,0.022863,0.024598,131,57095
2017-11-23,0.024511,0.024631,0.023339,0.023339,1,60043
2017-11-22,0.023531,0.024521,0.023432,0.024519,3,57642
2017-11-21,0.017389,0.024273,0.016450,0.023474,18,42598
2017-11-20,0.023326,0.023379,0.016916,0.017386,2,57140
2017-11-19,0.023161,0.023524,0.023054,0.023337,1,56736
2017-11-16,0.021836,0.023356,0.021347,0.023166,391,53490
2017-11-15,0.024397,0.026591,0.021551,0.021722,366,59763
2017-11-14,0.024099,0.026509,0.023991,0.024380,50,59033
2017-11-13,0.021805,0.024819,0.021494,0.024048,1,53415
2017-11-12,0.025445,0.025742,0.022148,0.024394,2,62330
2017-11-11,0.025905,0.026849,0.024769,0.025464,191,63458
2017-11-10,0.027874,0.028818,0.025419,0.025997,3,68281
2017-11-09,0.038831,0.038831,0.027566,0.027791,15,95121
2017-11-08,0.037787,0.040782,0.037245,0.038871,28,92563
2017-11-07,0.036187,0.037906,0.036187,0.037906,64,88644
2017-11-06,0.038667,0.038831,0.036113,0.036245,70,94721
2017-11-05,0.038359,0.039808,0.037979,0.038582,5,93966
2017-11-04,0.037268,0.039258,0.036413,0.038432,20,91293
2017-11-03,0.065949,0.066156,0.032200,0.037365,1921,161550
2017-11-02,0.061500,0.070009,0.025379,0.066809,1380,150651
2017-11-01,0.032349,0.078693,0.032166,0.061431,1992,79242
2017-10-31,0.022918,0.111212,0.022797,0.032372,67310,56141
2017-10-30,0.027706,0.027780,0.022573,0.022996,6,67870
2017-10-29,0.028353,0.029745,0.026850,0.027868,2,69453
2017-10-28,0.026281,0.028669,0.025870,0.028392,1,64378
2017-10-27,0.026118,0.026352,0.025989,0.026210,0,63978
2017-10-26,0.026149,0.027289,0.025978,0.027079,1,64053
2017-10-25,0.027647,0.028204,0.025088,0.026152,1,67723
2017-10-24,0.031440,0.031440,0.025787,0.027636,16,77013
2017-10-23,0.026976,0.032130,0.025843,0.031509,122,66079
2017-10-21,0.030026,0.030964,0.029817,0.030780,530,73550
2017-10-20,0.033885,0.036101,0.029781,0.030089,528,83004
2017-10-19,0.032406,0.034231,0.032109,0.033876,20,79381
2017-10-18,0.041501,0.092329,0.030086,0.032389,2151,101661
2017-10-17,0.042823,0.042945,0.032770,0.041499,80,104897
2017-10-16,0.042177,0.043040,0.041250,0.042816,12,103315
2017-10-15,0.034605,0.042599,0.032569,0.042171,63,84767
2017-10-13,0.031610,0.034145,0.031408,0.033348,12,77432
2017-10-12,0.030719,0.031513,0.030493,0.031513,11,75248
2017-10-11,0.027672,0.028213,0.027452,0.028213,1,67784
2017-10-10,0.027808,0.028633,0.027474,0.027676,4,68117
2017-10-09,0.026764,0.028295,0.026481,0.027810,12,65560
2017-10-04,0.025054,0.025213,0.024350,0.024421,0,61372
2017-10-03,0.024864,0.025025,0.024635,0.024996,0,60907
2017-10-02,0.016917,0.017144,0.016905,0.017130,3,41440
2017-10-01,0.016564,0.016925,0.016418,0.016925,3,40575
2017-09-30,0.024198,0.024964,0.024175,0.024896,0,59274
2017-09-29,0.015558,0.024576,0.015019,0.024195,0,38111
2017-09-28,0.015431,0.015622,0.015413,0.015570,1,37798
2017-09-27,0.014193,0.014428,0.014193,0.014428,14,34768
2017-09-26,0.014315,0.014531,0.014108,0.014233,14,35066
2017-09-21,0.023238,0.023394,0.021488,0.021954,0,56921
2017-09-20,0.013060,0.023849,0.013060,0.023352,3,31991
2017-09-19,0.024577,0.024708,0.023154,0.023676,10,60202
2017-09-18,0.011445,0.024734,0.011333,0.024518,46,28034
2017-09-17,0.033430,0.033430,0.032338,0.032566,1,81886
2017-09-16,0.033384,0.034928,0.021782,0.033453,11,81771
2017-09-15,0.027005,0.033555,0.027005,0.033471,19,66146
2017-09-12,0.029411,0.030557,0.028636,0.029114,4,72040
2017-09-11,0.029709,0.030304,0.024819,0.029383,6,72770
2017-09-10,0.029858,0.030056,0.029666,0.029759,1,73135
2017-09-08,0.032390,0.032390,0.032109,0.032236,0,79336
2017-09-07,0.027694,0.032742,0.027107,0.032384,1,67834
2017-09-06,0.010962,0.028933,0.010962,0.027747,31,26849
2017-09-05,0.019556,0.042083,0.010949,0.010949,131,47900
2017-09-04,0.045220,0.045253,0.042170,0.042170,3,110759
2017-09-03,0.045863,0.045944,0.043390,0.045205,4,112334
2017-08-30,0.045022,0.045578,0.044027,0.044995,4,110273
2017-08-29,0.044641,0.045486,0.044641,0.045082,4,109341
2017-08-27,0.042790,0.043356,0.042551,0.042668,1,104803
2017-08-26,0.042977,0.043075,0.042056,0.042799,1,105260
2017-08-25,0.042741,0.043913,0.042303,0.042964,3,104680
2017-08-24,0.040767,0.041856,0.040439,0.041425,7,99840
2017-08-23,0.026596,0.041173,0.026305,0.040749,10,65134
2017-08-19,0.039689,0.040421,0.039422,0.039422,4,97183
2017-08-18,0.041300,0.042061,0.038399,0.039722,4,101129
2017-08-17,0.042154,0.043256,0.026049,0.041427,10,103221
2017-08-15,0.041756,0.042722,0.037274,0.039928,1,102245
2017-08-14,0.039239,0.041644,0.025189,0.041644,2,96081
2017-08-13,0.038924,0.039829,0.038253,0.039214,0,95310
2017-08-10,0.020593,0.020665,0.020442,0.020604,6,50415
2017-08-09,0.020800,0.021005,0.020004,0.020591,6,50920
2017-08-08,0.021232,0.021796,0.021057,0.021523,1,51973
