Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.001720,0.001741,0.001714,0.001728,1,-
2017-11-23,0.001645,0.001653,0.001620,0.001641,5,-
2017-11-22,0.001658,0.001658,0.001621,0.001646,5,-
2017-11-20,0.001609,0.001653,0.001589,0.001640,1,-
2017-11-19,0.001557,0.001785,0.001539,0.001609,2,-
2017-11-18,0.001540,0.001572,0.001531,0.001560,2,-
2017-11-14,0.001306,0.001344,0.001285,0.001315,10,-
2017-11-13,0.001292,0.001345,0.001251,0.001303,11,-
2017-11-12,0.001354,0.001416,0.001218,0.001290,1,-
2017-11-11,0.001315,0.001362,0.001313,0.001339,4,-
2017-11-10,0.001453,0.001682,0.001290,0.001320,12,-
2017-11-03,0.001334,0.001381,0.001320,0.001370,1,-
2017-11-02,0.001211,0.001389,0.001211,0.001336,38,-
2017-11-01,0.001160,0.001245,0.001147,0.001210,27,-
2017-10-31,0.001042,0.001161,0.001042,0.001161,12,-
2017-10-30,0.001601,0.001616,0.001035,0.001045,63,-
2017-10-29,0.001391,0.001644,0.001391,0.001610,3,-
2017-10-26,0.001147,0.001197,0.001139,0.001190,4,-
2017-10-25,0.001214,0.001239,0.001100,0.001147,4,-
2017-10-24,0.001232,0.001264,0.001169,0.001214,1,-
2017-10-23,0.001435,0.001456,0.001189,0.001234,5,-
2017-10-22,0.001443,0.001456,0.001379,0.001437,5,-
2017-10-21,0.001501,0.001537,0.001417,0.001443,1,-
2017-10-20,0.001369,0.001528,0.001349,0.001504,1,-
2017-10-19,0.001360,0.001378,0.001349,0.001369,1,-
2017-10-16,0.001423,0.001430,0.001392,0.001409,6,-
2017-10-15,0.001388,0.001437,0.001364,0.001423,6,-
2017-10-14,0.001414,0.001448,0.001398,0.001427,1,-
2017-10-13,0.001395,0.001469,0.001377,0.001414,2,-
2017-10-11,0.001238,0.001243,0.001228,0.001234,5,-
2017-10-10,0.001254,0.001281,0.001229,0.001239,5,-
2017-10-09,0.001243,0.001260,0.001231,0.001256,3,-
2017-10-08,0.001244,0.001251,0.001204,0.001242,6,-
2017-10-07,0.001181,0.001250,0.001179,0.001248,3,-
2017-10-06,0.001181,0.001189,0.001169,0.001181,1,-
2017-10-03,0.001101,0.001107,0.001069,0.001069,1,-
2017-10-02,0.001290,0.001295,0.001092,0.001101,3,-
2017-10-01,0.001260,0.001266,0.001237,0.001252,1,-
2017-09-30,0.001126,0.001264,0.001125,0.001259,1,-
2017-09-29,0.001216,0.001229,0.001125,0.001126,4,-
2017-09-28,0.001149,0.001221,0.001118,0.001217,5,-
2017-09-27,0.001128,0.001138,0.001128,0.001136,3,-
2017-09-26,0.001141,0.001155,0.001121,0.001131,3,-
2017-09-25,0.001101,0.001151,0.001092,0.001141,2,-
2017-09-24,0.001023,0.001023,0.000982,0.000991,4,-
2017-09-23,0.000974,0.001098,0.000965,0.001023,24,-
2017-09-22,0.000905,0.000984,0.000904,0.000977,37,-
2017-09-21,0.000959,0.000976,0.000897,0.000906,1,-
2017-09-20,0.000978,0.001012,0.000961,0.000990,2,-
2017-09-19,0.000976,0.000986,0.000971,0.000980,2,-
2017-09-17,0.000929,0.000950,0.000872,0.000940,1,-
2017-09-16,0.000927,0.000970,0.000889,0.000929,1,-
2017-09-15,0.000930,0.000956,0.000917,0.000930,1,-
