Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.008018,0.008160,0.007364,0.007672,676237,7105640
2017-11-23,0.008227,0.008272,0.006275,0.008012,636135,7290600
2017-11-22,0.008134,0.008563,0.006643,0.008233,679205,7208700
2017-11-21,0.007902,0.008477,0.007031,0.008127,599385,7002750
2017-11-20,0.008567,0.008687,0.007346,0.007948,752716,7592050
2017-11-19,0.008895,0.009181,0.007797,0.008568,771305,7883010
2017-11-18,0.008582,0.011654,0.007883,0.008895,716146,7605890
2017-11-17,0.008246,0.009422,0.007730,0.008585,667390,7307540
2017-11-16,0.008548,0.008623,0.007687,0.008245,717920,7575600
2017-11-15,0.008499,0.008980,0.008054,0.008553,689012,7531850
2017-11-14,0.009215,0.009349,0.008139,0.008474,663611,8166520
2017-11-13,0.009802,0.010339,0.007854,0.009204,718731,8686400
2017-11-12,0.009190,0.009788,0.007029,0.009773,685025,8144430
2017-11-11,0.008540,0.009446,0.007471,0.009136,685484,7568010
2017-11-10,0.008811,0.009120,0.006818,0.008598,661950,7808030
2017-11-09,0.008143,0.010060,0.007369,0.008811,704686,7216840
2017-11-08,0.008639,0.009340,0.008002,0.008183,663344,7656140
2017-11-07,0.008340,0.008842,0.007700,0.008646,660566,7390960
2017-11-06,0.008663,0.008856,0.008151,0.008367,629667,7677500
2017-11-05,0.009456,0.009658,0.007934,0.008629,642479,8380190
2017-11-04,0.009840,0.009872,0.007648,0.009456,655246,8720460
2017-11-03,0.009744,0.010056,0.008069,0.009882,629484,8635470
2017-11-02,0.010279,0.010555,0.008518,0.009761,651803,9109530
2017-11-01,0.009771,0.011013,0.009365,0.010297,663325,8659040
2017-10-31,0.009933,0.011181,0.008988,0.009775,662809,8803150
2017-10-30,0.009167,0.009988,0.008631,0.009894,702069,8123520
2017-10-29,0.009771,0.009895,0.008574,0.009166,660217,8659180
2017-10-28,0.009191,0.009805,0.008353,0.009772,608963,8144780
2017-10-27,0.009652,0.009892,0.008492,0.009189,623942,8553440
2017-10-26,0.010141,0.010141,0.008293,0.009664,661197,8987420
2017-10-25,0.009813,0.010144,0.008966,0.010134,688824,8696690
2017-10-24,0.009005,0.010495,0.008432,0.009816,568940,7980540
2017-10-23,0.009735,0.009816,0.007857,0.009014,1058270,8627410
2017-10-22,0.009617,0.009953,0.008577,0.009737,572444,8523020
2017-10-21,0.009654,0.010372,0.008748,0.009619,675056,8555090
2017-10-20,0.008154,0.010221,0.006761,0.009663,666093,7226260
2017-10-19,0.009272,0.009856,0.006284,0.008154,3859770,8217380
2017-10-18,0.009367,0.009875,0.008201,0.009587,659976,8301410
2017-10-17,0.009503,0.009925,0.008426,0.009382,668282,8422100
2017-10-16,0.010101,0.011202,0.008608,0.009542,653839,8951400
2017-10-15,0.010273,0.010459,0.009333,0.010080,627890,9104280
2017-10-14,0.010438,0.010955,0.009079,0.010196,679602,9250570
2017-10-13,0.010413,0.010809,0.009858,0.010465,638425,9228290
2017-10-12,0.008990,0.010615,0.008823,0.010460,734927,7967050
2017-10-11,0.009037,0.009884,0.008712,0.008985,679534,8008470
2017-10-10,0.009117,0.009298,0.008166,0.009038,661875,8079250
2017-10-09,0.008791,0.009429,0.008415,0.009120,653947,7790510
2017-10-08,0.009041,0.009518,0.008333,0.008790,678578,8011940
2017-10-07,0.008886,0.009667,0.008544,0.009046,620867,7874650
2017-10-06,0.010642,0.010679,0.008577,0.008912,548120,9431040
2017-10-05,0.011394,0.011394,0.010670,0.010670,405349,10097600
2017-10-04,0.010054,0.011528,0.009665,0.011385,434106,8910180
2017-10-03,0.009831,0.010038,0.008910,0.010038,622482,8711990
2017-10-02,0.009565,0.010179,0.009328,0.009849,700559,8476240
2017-10-01,0.010266,0.010360,0.009320,0.009559,754293,9098280
2017-09-30,0.010477,0.010962,0.009812,0.010251,774770,9285130
2017-09-29,0.010412,0.010685,0.009255,0.010189,690438,9227480
2017-09-28,0.010822,0.011004,0.009728,0.010423,687560,9590440
2017-09-27,0.010920,0.011244,0.009368,0.010840,722792,9677590
2017-09-26,0.011032,0.011301,0.010322,0.010975,706112,9776620
2017-09-25,0.011164,0.011264,0.010544,0.010997,726952,9893620
2017-09-24,0.011052,0.011647,0.010474,0.011165,761046,9793930
2017-09-23,0.010823,0.011621,0.010805,0.011067,850455,9591110
2017-09-22,0.011679,0.012082,0.010755,0.010813,843201,10349800
2017-09-21,0.011901,0.012504,0.011168,0.011669,832414,10546900
2017-09-20,0.011605,0.012149,0.011056,0.011915,938278,10284300
2017-09-19,0.011574,0.011695,0.010701,0.011607,991761,10256700
