Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.035986,0.159641,0.035528,0.044895,5324,-
2017-11-23,0.040190,0.043810,0.031865,0.036398,1509,-
2017-11-22,0.040096,0.051657,0.037434,0.040252,402,-
2017-11-21,0.052895,0.053017,0.036268,0.039999,166,-
2017-11-20,0.037559,0.053173,0.036880,0.052886,124,-
2017-11-19,0.039996,0.040054,0.035263,0.037631,45,-
2017-11-18,0.039930,0.041502,0.038711,0.040004,20,-
2017-11-17,0.044056,0.054314,0.039188,0.040082,20,-
2017-11-16,0.035257,0.044927,0.034468,0.044177,44,-
2017-11-15,0.033101,0.039668,0.033101,0.035074,36,-
2017-11-14,0.031496,0.033205,0.030662,0.033078,16,-
2017-11-13,0.030476,0.033566,0.029064,0.031429,56,-
2017-11-12,0.035598,0.035778,0.026419,0.030413,59,-
2017-11-11,0.039965,0.040827,0.032083,0.035623,62,-
2017-11-10,0.038257,0.044680,0.034007,0.040110,41,-
2017-11-09,0.037203,0.041592,0.035264,0.038144,11,-
2017-11-08,0.045965,0.047762,0.033512,0.037241,92,-
2017-11-07,0.040135,0.049376,0.040135,0.046110,12,-
2017-11-06,0.032301,0.043022,0.031070,0.040200,78,-
2017-11-05,0.050190,0.051581,0.031873,0.032230,30,-
2017-11-04,0.037471,0.051430,0.032328,0.050285,279,-
2017-11-03,0.029687,0.037737,0.029157,0.037569,60,-
2017-11-02,0.038612,0.039764,0.028900,0.029726,521,-
2017-11-01,0.048342,0.048358,0.037605,0.038569,930,-
2017-10-31,0.043101,0.048378,0.037188,0.048378,159,-
2017-10-30,0.058190,0.061186,0.028240,0.043248,12,-
2017-10-29,0.042770,0.059163,0.035602,0.058530,81,-
2017-10-28,0.034801,0.043089,0.034801,0.042829,45,-
2017-10-27,0.061954,0.063402,0.033593,0.034706,91,-
2017-10-26,0.038822,0.063126,0.038603,0.063126,1,-
2017-10-25,0.037808,0.038971,0.034228,0.038826,12,-
2017-10-24,0.030638,0.039148,0.029833,0.037789,286,-
2017-10-23,0.037060,0.037072,0.029851,0.030707,97,-
2017-10-22,0.037010,0.037333,0.027147,0.037122,142,-
2017-10-21,0.038729,0.039293,0.030165,0.036999,39,-
2017-10-20,0.046441,0.046588,0.035039,0.038811,81,-
2017-10-19,0.035632,0.046729,0.030606,0.046428,47,-
2017-10-18,0.035127,0.047207,0.028686,0.035614,188,-
2017-10-17,0.028856,0.035205,0.028727,0.035125,183,-
2017-10-16,0.036500,0.037359,0.028239,0.028852,41,-
2017-10-15,0.035166,0.036865,0.032787,0.036495,6,-
2017-10-14,0.034573,0.035799,0.034209,0.035103,20,-
2017-10-13,0.036963,0.039928,0.020562,0.034563,434,-
2017-10-12,0.034338,0.040687,0.033081,0.036850,73,-
2017-10-11,0.032148,0.045580,0.031892,0.034309,37,-
2017-10-10,0.032891,0.047919,0.031898,0.032153,398,-
2017-10-09,0.042842,0.048212,0.032740,0.032893,529,-
2017-10-08,0.037060,0.043380,0.032057,0.042831,143,-
2017-10-07,0.023210,0.037247,0.022584,0.037159,256,-
2017-10-06,0.038904,0.040878,0.022160,0.023202,7,-
2017-10-05,0.039587,0.039969,0.029990,0.038904,29,-
2017-10-04,0.044492,0.044686,0.035549,0.039552,675,-
2017-10-03,0.026465,0.044425,0.025881,0.044390,1146,-
2017-10-02,0.066752,0.127285,0.024515,0.026464,42,-
2017-10-01,0.034729,0.073947,0.026252,0.066685,156,-
2017-09-30,0.102018,0.102078,0.033807,0.034710,369,-
2017-09-29,0.017225,0.104073,0.012063,0.102207,40926,-
2017-09-28,0.018207,0.020103,0.015447,0.017234,17,-
2017-09-27,0.013429,0.018332,0.013429,0.018274,3,-
2017-09-26,0.018900,0.018933,0.013435,0.013439,573,-
2017-09-25,0.014331,0.018988,0.013413,0.018878,57,-
2017-09-24,0.007886,0.016350,0.007882,0.014353,262,-
2017-09-23,0.014904,0.016335,0.007103,0.007884,1309,-
2017-09-22,0.008501,0.016408,0.008499,0.014946,11,-
2017-09-21,0.014087,0.016593,0.008316,0.008506,123,-
2017-09-20,0.009187,0.014111,0.008336,0.014111,368,-
2017-09-19,0.017115,0.017128,0.009192,0.009192,928,-
2017-09-18,0.020679,0.022312,0.016913,0.017094,103,-
2017-09-17,0.021062,0.027788,0.020445,0.020708,189,-
2017-09-16,0.008770,0.021199,0.007729,0.021078,157,-
2017-09-15,0.014601,0.017676,0.008606,0.008788,1099,-
2017-09-14,0.017281,0.020214,0.013010,0.014490,395,-
