Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.000136,0.000385,0.000132,0.000209,8827,-
2017-11-23,0.000093,0.000143,0.000093,0.000137,342198,-
2017-11-22,0.000144,0.000145,0.000093,0.000093,6564,-
2017-11-21,0.000207,0.000207,0.000126,0.000144,3050,-
2017-11-20,0.000143,0.000211,0.000127,0.000207,15125,-
2017-11-19,0.000140,0.000143,0.000106,0.000142,161656,-
2017-11-18,0.000121,0.000188,0.000120,0.000140,22547,-
2017-11-17,0.000136,0.000140,0.000065,0.000121,345937,-
2017-11-16,0.000136,0.000148,0.000118,0.000137,9085,-
2017-11-15,0.000150,0.000173,0.000121,0.000136,114682,-
2017-11-14,0.000143,0.000172,0.000132,0.000150,14379,-
2017-11-13,0.000132,0.000164,0.000114,0.000143,429497,-
2017-11-12,0.000297,0.000297,0.000102,0.000132,35252,-
2017-11-11,0.000275,0.000416,0.000275,0.000297,542446,-
2017-11-10,0.000040,0.000362,0.000040,0.000276,497187,-
