Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.004872,0.005305,0.003285,0.003902,356,49483
2017-11-23,0.004261,0.005068,0.003035,0.004896,601,43280
2017-11-22,0.004329,0.004381,0.002913,0.004251,279,43974
2017-11-21,0.003676,0.004998,0.002846,0.004324,544,37339
2017-11-20,0.005141,0.005262,0.002871,0.003682,169,52225
2017-11-19,0.005527,0.006132,0.002834,0.005147,1783,56145
2017-11-18,0.003512,0.005793,0.003294,0.005542,990,35669
2017-11-17,0.006057,0.028526,0.002535,0.003517,1927,61520
2017-11-16,0.002157,0.006061,0.002153,0.006061,2446,21907
2017-11-15,0.002680,0.002978,0.001456,0.002158,1025,27223
2017-11-14,0.002111,0.003304,0.001250,0.002679,1647,21447
2017-11-13,0.001868,0.002710,0.001868,0.002112,735,18972
2017-11-12,0.001949,0.002735,0.001841,0.001865,87,19801
2017-11-11,0.002230,0.002698,0.001925,0.001949,1052,22654
2017-11-10,0.004226,0.004226,0.002230,0.002237,4263,42927
2017-11-09,0.004314,0.006834,0.002413,0.004224,15212,43821
2017-11-08,0.001724,0.007141,0.001717,0.004337,8748,17515
2017-11-07,0.001429,0.002077,0.001373,0.001726,575,14511
2017-11-06,0.000656,0.002857,0.000650,0.001427,965,-
2017-11-05,0.001168,0.002067,0.000593,0.000656,1373,-
2017-11-04,0.002290,0.002470,0.001042,0.001166,2552,-
2017-11-03,0.003519,0.003692,0.001952,0.002289,4570,-
2017-11-02,0.006949,0.006949,0.003017,0.003502,9990,-
2017-11-01,0.009421,0.016137,0.005158,0.006929,54168,-
