Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,4.1e-07,9.5e-07,4e-07,9.4e-07,139,-
2017-11-23,3.8e-07,8.5e-07,3.8e-07,4.1e-07,36,-
2017-11-22,7.2e-07,7.6e-07,3.7e-07,3.8e-07,58,-
2017-11-21,7.4e-07,7.5e-07,3.6e-07,7.2e-07,114,-
2017-11-20,0.000001,0.000001,7.1e-07,7.4e-07,525,-
2017-11-19,6.9e-07,0.000001,6.9e-07,0.000001,250,-
2017-11-18,6.6e-07,0.000001,6.5e-07,6.9e-07,179,-
2017-11-17,6.6e-07,0.000001,6.5e-07,6.6e-07,150,-
2017-11-16,6.6e-07,1e-06,6.4e-07,6.6e-07,203,-
2017-11-15,6.7e-07,0.000001,6.5e-07,6.6e-07,276,-
2017-11-14,6.3e-07,9.9e-07,6.3e-07,6.7e-07,105,-
2017-11-13,6.1e-07,9.6e-07,6.1e-07,6.3e-07,111,-
2017-11-12,6.3e-07,9.4e-07,6e-07,6.1e-07,69,-
2017-11-11,8.9e-07,9.2e-07,6e-07,6.3e-07,310,-
2017-11-10,6.4e-07,9.6e-07,5.8e-07,8.9e-07,442,-
2017-11-09,9.2e-07,0.000001,6.4e-07,6.4e-07,873,-
2017-11-08,8.8e-07,0.000001,8.7e-07,9.3e-07,494,-
2017-11-07,8.9e-07,0.000001,8.7e-07,8.8e-07,338,-
2017-11-06,0.000001,0.000001,8.9e-07,8.9e-07,310,-
2017-11-05,9e-07,0.000001,8.9e-07,0.000001,875,-
2017-11-04,0.000001,0.000002,8.9e-07,9e-07,790,-
2017-11-03,8.5e-07,0.000001,8.5e-07,0.000001,416,-
2017-11-02,0.000001,0.000001,8.5e-07,8.5e-07,1158,-
2017-11-01,0.000003,0.000003,0.000001,0.000001,802,-
2017-10-31,0.000001,0.000003,0.000001,0.000003,1232,-
2017-10-30,0.000002,0.000002,0.000001,0.000001,910,-
2017-10-29,0.000002,0.000002,0.000001,0.000002,1444,-
2017-10-28,0.000003,0.000003,0.000001,0.000002,2539,-
2017-10-27,0.000004,0.000004,0.000001,0.000002,5679,-
2017-10-26,0.000005,0.000005,0.000004,0.000004,10101,-
2017-10-25,0.000004,0.000008,0.000003,0.000005,32400,-
