Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.000010,0.000056,0.000006,0.000009,5,223078
2017-11-23,0.000008,0.000019,0.000007,0.000011,382,184371
2017-11-22,0.000006,0.000010,0.000005,0.000009,240,140763
2017-11-21,0.000010,0.000010,0.000005,0.000006,587,222782
2017-11-20,0.000011,0.000020,0.000009,0.000010,244,245795
2017-11-19,0.000013,0.000014,0.000005,0.000011,194,282908
2017-11-18,0.000009,0.000025,0.000005,0.000013,71,201194
2017-11-17,0.000009,0.000028,0.000009,0.000009,167,194408
2017-11-16,0.000031,0.000038,0.000007,0.000009,233,673664
2017-11-15,0.000008,0.000033,0.000008,0.000031,39,162558
2017-11-14,0.000024,0.000025,0.000007,0.000007,220,526834
2017-11-13,0.000033,0.000048,0.000024,0.000024,562,705528
2017-11-12,0.000019,0.000033,0.000006,0.000033,148,408617
2017-11-11,0.000006,0.000019,0.000004,0.000019,29,136021
2017-11-10,0.000006,0.000009,0.000006,0.000006,740,127793
2017-11-09,0.000008,0.000012,0.000006,0.000006,73,177519
2017-11-08,0.000010,0.000011,0.000006,0.000008,279,208453
2017-11-07,0.000006,0.000010,0.000006,0.000010,131,135312
2017-11-06,0.000006,0.000007,0.000005,0.000006,397,125370
2017-11-05,0.000007,0.000007,0.000005,0.000006,772,148303
2017-11-04,0.000018,0.000018,0.000005,0.000007,193,388603
2017-11-03,0.000007,0.000018,0.000004,0.000018,566,141462
2017-11-02,0.000007,0.000007,0.000004,0.000007,640,143124
2017-11-01,0.000006,0.000008,0.000003,0.000007,1064,121025
2017-10-31,0.000002,0.000007,0.000002,0.000006,853,40689
2017-10-30,0.000009,0.000009,0.000001,0.000002,4588,187600
2017-10-29,0.000008,0.000010,0.000008,0.000009,458,172926
2017-10-28,0.000011,0.000014,0.000008,0.000008,718,240140
2017-10-27,0.000009,0.000011,0.000006,0.000011,1756,191311
2017-10-26,0.000018,0.000022,0.000008,0.000009,217,376513
2017-10-25,0.000017,0.000021,0.000013,0.000018,794,361381
2017-10-24,0.000020,0.000038,0.000017,0.000017,1538,425684
2017-10-23,0.000013,0.000022,0.000008,0.000020,1330,282075
2017-10-22,0.000010,0.000015,0.000010,0.000013,807,221159
2017-10-21,0.000011,0.000012,0.000009,0.000010,1186,232440
2017-10-20,0.000010,0.000013,0.000010,0.000011,763,212629
2017-10-19,0.000014,0.000017,0.000008,0.000010,1655,290150
2017-10-18,0.000013,0.000018,0.000010,0.000014,339,264517
2017-10-17,0.000014,0.000014,0.000009,0.000013,1537,282783
2017-10-16,0.000022,0.000038,0.000012,0.000014,356,454730
2017-10-15,0.000029,0.000030,0.000019,0.000022,1466,598470
2017-10-14,0.000013,0.000036,0.000012,0.000029,2296,274318
2017-10-13,0.000020,0.000022,0.000013,0.000013,649,414681
2017-10-12,0.000009,0.000020,0.000009,0.000020,325,180067
2017-10-11,0.000008,0.000010,0.000008,0.000009,108,160578
2017-10-10,0.000010,0.000011,0.000008,0.000008,640,208848
2017-10-09,0.000013,0.000020,0.000009,0.000010,798,259944
2017-10-08,0.000010,0.000013,0.000009,0.000013,1096,201933
2017-10-07,0.000011,0.000013,0.000007,0.000010,410,223093
2017-10-06,0.000007,0.000013,0.000007,0.000011,220,143321
2017-10-05,0.000013,0.000016,0.000007,0.000007,1743,271501
2017-10-04,0.000009,0.000015,0.000008,0.000013,1452,185679
2017-10-03,0.000013,0.000022,0.000007,0.000009,1787,271000
2017-10-02,0.000029,0.000034,0.000012,0.000013,1883,585841
2017-10-01,0.000010,0.000030,0.000008,0.000029,1523,198960
2017-09-30,0.000005,0.000010,0.000004,0.000010,2113,108483
2017-09-29,0.000003,0.000007,0.000002,0.000005,629,54700
2017-09-28,0.000003,0.000003,0.000002,0.000003,823,69366
2017-09-27,0.000004,0.000004,0.000003,0.000003,433,76739
2017-09-26,0.000003,0.000005,0.000003,0.000004,272,64377
2017-09-25,0.000002,0.000003,0.000002,0.000003,3,50769
2017-09-24,0.000003,0.000004,0.000002,0.000002,41,71582
2017-09-23,0.000003,0.000004,0.000003,0.000003,160,54727
2017-09-22,0.000003,0.000004,0.000003,0.000003,74,68779
2017-09-21,0.000006,0.000006,0.000003,0.000003,433,124472
2017-09-20,0.000004,0.000005,0.000004,0.000004,1398,91093
2017-09-19,0.000011,0.000014,0.000004,0.000004,1411,218975
2017-09-18,0.000005,0.000011,0.000004,0.000011,224,97115
2017-09-17,0.000028,0.000029,0.000005,0.000005,36,566675
2017-09-16,0.000009,0.000029,0.000009,0.000028,84,192553
2017-09-15,0.000018,0.000018,0.000005,0.000009,408,368537
2017-09-14,0.000005,0.000019,0.000005,0.000018,518,93433
2017-09-13,0.000014,0.000017,0.000004,0.000005,367,294479
2017-09-12,0.000013,0.000020,0.000009,0.000014,680,267795
2017-09-11,0.000008,0.000013,0.000005,0.000013,2692,160917
2017-09-10,0.000010,0.000012,0.000008,0.000008,776,212660
2017-09-09,0.000037,0.000038,0.000010,0.000010,220,745307
2017-09-08,0.000039,0.000040,0.000011,0.000037,544,790509
2017-09-07,0.000020,0.000039,0.000016,0.000039,324,401315
2017-09-06,0.000024,0.000026,0.000017,0.000020,118,488067
2017-09-05,0.000041,0.000041,0.000008,0.000024,78,833562
2017-09-04,0.000009,0.000043,0.000009,0.000041,181,189525
2017-09-03,0.000015,0.000015,0.000009,0.000009,945,309408
2017-09-02,0.000022,0.000024,0.000009,0.000015,1393,437191
2017-09-01,0.000021,0.000047,0.000021,0.000022,615,432684
2017-08-31,0.000022,0.000026,0.000014,0.000021,1406,441139
2017-08-30,0.000024,0.000025,0.000013,0.000022,1340,488329
2017-08-29,0.000022,0.000038,0.000022,0.000024,867,439337
2017-08-28,0.000010,0.000022,0.000008,0.000022,1345,192961
2017-08-27,0.000007,0.000012,0.000004,0.000010,1911,144906
2017-08-26,0.000006,0.000007,0.000004,0.000007,76,130912
2017-08-25,0.000007,0.000007,0.000004,0.000006,164,134004
2017-08-24,0.000008,0.000009,0.000006,0.000007,193,158355
2017-08-23,0.000008,0.000009,0.000005,0.000006,575,155916
2017-08-22,0.000021,0.000021,0.000006,0.000008,484,419261
