Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.767926,0.791469,0.753696,0.786251,158463,31463600
2017-11-23,0.813402,0.816858,0.765692,0.766538,122340,33321300
2017-11-22,0.763889,0.831302,0.759390,0.813353,136232,31288100
2017-11-21,0.767547,0.785227,0.727768,0.763634,184756,31437100
2017-11-20,0.746064,0.776877,0.731248,0.772745,476163,30556000
2017-11-19,0.724105,0.751019,0.714800,0.747314,97990,29655600
2017-11-18,0.723671,0.731542,0.695479,0.722925,144480,29637100
2017-11-17,0.732969,0.748081,0.711486,0.726010,451556,30016700
2017-11-16,0.699761,0.747807,0.679755,0.738391,136102,28655500
2017-11-15,0.716930,0.726243,0.681175,0.697331,161088,29356000
2017-11-14,0.628311,0.726845,0.617485,0.702096,275013,25725200
2017-11-13,0.572322,0.639958,0.567567,0.623611,140358,23431900
2017-11-12,0.626808,0.650874,0.526163,0.577594,147909,25661100
2017-11-11,0.683622,0.698717,0.616058,0.629042,91748,27984700
2017-11-10,0.716567,0.783605,0.653339,0.685297,198205,29330200
2017-11-09,0.694844,0.819972,0.669038,0.724415,483079,28440200
2017-11-08,0.610515,0.726238,0.598171,0.689094,381338,24987500
2017-11-07,0.687196,0.691491,0.597660,0.611855,282507,28124600
2017-11-06,0.520404,0.838291,0.505100,0.663148,1175480,21297400
2017-11-05,0.527924,0.607763,0.512330,0.517822,209757,21601800
2017-11-04,0.484396,0.534391,0.471974,0.532895,97783,19820300
2017-11-03,0.451033,0.493849,0.446669,0.483506,46710,18454700
2017-11-02,0.497588,0.502891,0.427107,0.452662,86275,20359200
2017-11-01,0.516124,0.519343,0.435115,0.495679,135329,21117000
2017-10-31,0.505226,0.537814,0.476872,0.516107,204878,20670300
2017-10-30,0.485515,0.572927,0.398352,0.500381,536591,19863400
2017-10-29,0.520233,0.534811,0.478271,0.490882,89757,21274200
2017-10-28,0.545695,0.553321,0.522192,0.522192,71357,22314900
2017-10-27,0.518360,0.628435,0.508021,0.544870,225800,21195700
2017-10-26,0.595833,0.595833,0.490067,0.520488,102054,24361700
2017-10-25,0.613819,0.630792,0.514916,0.593678,212622,25094400
2017-10-24,0.472138,0.629289,0.444468,0.607522,417099,19300400
2017-10-23,0.491575,0.500190,0.463799,0.472968,71275,20090300
2017-10-22,0.487661,0.508079,0.463459,0.493085,65851,19925500
2017-10-21,0.520746,0.540117,0.479288,0.479288,74092,21274400
2017-10-20,0.539788,0.564755,0.508945,0.522808,65599,22051100
2017-10-19,0.591449,0.607021,0.529927,0.540160,74059,24160600
2017-10-18,0.544416,0.595397,0.531059,0.590423,84470,22238600
2017-10-17,0.515841,0.590961,0.511134,0.542177,101064,21070800
2017-10-16,0.484326,0.696854,0.471056,0.519830,300843,19782900
2017-10-15,0.507506,0.602987,0.461287,0.479483,195062,20729000
2017-10-14,0.534505,0.534505,0.480817,0.508957,76721,21830700
2017-10-13,0.635924,0.643308,0.508857,0.529046,161519,25971100
2017-10-12,0.509483,0.741544,0.508389,0.627701,473333,20806600
2017-10-11,0.496484,0.554048,0.490659,0.509334,97801,20274900
2017-10-10,0.477583,0.515414,0.472888,0.495589,109447,19500800
2017-10-09,0.559618,0.563425,0.471747,0.476842,165634,22848500
2017-10-08,0.583643,0.591835,0.559987,0.566119,108504,23826900
2017-10-07,0.594978,0.602956,0.564154,0.577399,87948,24288300
2017-10-06,0.593214,0.606220,0.582680,0.593878,87380,24215200
2017-10-05,0.601795,0.610593,0.573760,0.593862,80627,24563600
2017-10-04,0.613032,0.622579,0.584305,0.590230,80260,25021500
2017-10-03,0.656640,0.677591,0.604276,0.611930,134476,26800700
