Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.175295,0.235690,0.126110,0.152302,8809,1313850
2017-11-23,0.159781,0.189977,0.141562,0.176176,16997,1174150
2017-11-22,0.140160,0.262391,0.112605,0.159414,18062,1029970
2017-11-21,0.172770,0.186500,0.084688,0.139981,9159,1269600
2017-11-20,0.275157,0.275296,0.173043,0.173043,15507,2022000
2017-11-19,0.207494,0.300440,0.150469,0.279978,27697,1524770
2017-11-18,0.227588,0.278289,0.137030,0.208031,22272,1672440
2017-11-17,0.248892,0.299400,0.227219,0.229302,8653,-
2017-11-16,0.285573,0.309909,0.226580,0.249065,39927,-
2017-11-15,0.354681,0.400930,0.264629,0.285796,131273,-
2017-11-14,0.224241,0.354560,0.153384,0.354488,103078,-
2017-11-13,0.149036,0.224363,0.108075,0.224251,42940,-
2017-11-12,0.242038,0.266614,0.103212,0.148799,54084,-
2017-11-11,0.123377,0.301237,0.123302,0.242010,100754,-
