Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.000159,0.000161,0.000083,0.000157,5690,3302980
2017-11-23,0.000156,0.000161,0.000083,0.000159,14799,3246500
2017-11-22,0.000123,0.000156,0.000082,0.000156,9708,2559900
2017-11-21,0.000075,0.000133,0.000075,0.000123,9836,1557340
2017-11-20,0.000061,0.000078,0.000060,0.000075,1434,1269570
2017-11-19,0.000100,0.000102,0.000061,0.000061,1411,2073220
2017-11-18,0.000075,0.000121,0.000066,0.000100,1379,1555460
2017-11-17,0.000078,0.000133,0.000075,0.000075,3597,1617810
2017-11-16,0.000073,0.000147,0.000067,0.000078,4558,1512920
2017-11-15,0.000066,0.000085,0.000066,0.000072,4991,1365400
2017-11-14,0.000104,0.000118,0.000065,0.000066,408,2152770
2017-11-13,0.000060,0.000099,0.000059,0.000098,1683,1240480
2017-11-12,0.000064,0.000110,0.000058,0.000060,2138,1321330
2017-11-11,0.000066,0.000109,0.000062,0.000064,14449,1379430
2017-11-10,0.000075,0.000126,0.000067,0.000067,2469,1563060
2017-11-09,0.000099,0.000130,0.000071,0.000075,2707,2054050
2017-11-08,0.000106,0.000107,0.000073,0.000099,1324,2202920
2017-11-07,0.000075,0.000141,0.000070,0.000106,2756,1566740
2017-11-06,0.000127,0.000146,0.000076,0.000076,2506,2635210
2017-11-05,0.000113,0.000149,0.000077,0.000127,3143,2352320
2017-11-04,0.000085,0.000122,0.000071,0.000114,1425,1772810
2017-11-03,0.000070,0.000143,0.000070,0.000086,6617,1455660
2017-11-02,0.000084,0.000138,0.000066,0.000070,4065,1749130
2017-11-01,0.000127,0.000127,0.000064,0.000084,3478,2637820
2017-10-31,0.000069,0.000127,0.000062,0.000127,5504,1428720
2017-10-30,0.000114,0.000123,0.000065,0.000069,5054,2365990
2017-10-29,0.000086,0.000121,0.000073,0.000115,1755,1789450
2017-10-28,0.000112,0.000115,0.000082,0.000086,2351,2327840
2017-10-27,0.000146,0.000146,0.000109,0.000112,1673,3019570
2017-10-26,0.000114,0.000146,0.000058,0.000146,11417,2363860
2017-10-25,0.000124,0.000124,0.000083,0.000114,1610,2561000
2017-10-24,0.000117,0.000128,0.000111,0.000124,3193,2429580
2017-10-23,0.000117,0.000163,0.000064,0.000118,4036,2415030
