Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.963567,1.07,0.653734,0.740393,134,1340900
2017-11-23,0.785306,0.994687,0.720968,0.967275,198,1092830
2017-11-22,1.03,1.03,0.737421,0.783629,1465,1426750
2017-11-21,0.904635,1.44,0.881332,0.997198,661,1258890
2017-11-20,0.917332,1.57,0.916946,0.967490,459,1276560
2017-11-19,0.897413,0.966815,0.891781,0.918301,723,1248840
2017-11-18,1.33,1.56,0.840504,0.899640,3211,1857560
2017-11-17,0.808339,1.43,0.788960,1.34,4570,1124890
2017-11-16,0.708097,1.31,0.607095,0.809002,1372,985391
2017-11-15,0.844116,0.844116,0.609121,0.705111,1279,1174680
2017-11-14,0.686423,0.959157,0.478648,0.843561,470,955229
2017-11-13,0.635789,0.704569,0.635789,0.686225,1432,884767
2017-11-12,0.792908,1.05,0.586607,0.634801,2525,1103410
2017-11-11,0.530475,0.913305,0.529828,0.793571,221,738211
2017-11-10,0.635177,1.34,0.521203,0.860026,211,883915
2017-11-09,1.27,1.34,0.593777,0.633410,25,1768400
2017-11-08,1.14,1.29,0.721211,1.27,343,1585580
2017-11-07,1.31,1.31,1.09,1.14,291,1816080
2017-11-06,1.18,1.36,1.17,1.31,333,1646180
2017-11-05,0.973282,1.21,0.751563,1.18,56,1354420
2017-11-04,0.754395,0.922234,0.737510,0.903407,23,1049820
2017-11-03,0.678444,1.27,0.677002,0.756214,1370,944125
2017-11-02,0.600363,1.15,0.580514,0.677678,389,835467
2017-11-01,0.713267,0.745201,0.598808,0.598808,416,992585
2017-10-31,0.800570,1.01,0.657210,0.714563,837,1114080
2017-10-30,0.788592,0.853790,0.677103,0.803024,457,1097410
2017-10-29,1.11,1.11,0.693359,0.792058,60,1540300
2017-10-28,0.818625,1.11,0.697010,1.11,579,1139200
2017-10-27,0.700705,0.951488,0.700681,0.816967,130,975103
2017-10-26,0.623172,0.702070,0.619854,0.700958,8,867208
2017-10-25,1.05,1.07,0.589523,0.624510,66,1458990
2017-10-24,0.978126,1.09,0.653290,1.05,182,1361160
2017-10-23,1.04,1.05,0.643424,0.980174,307,1450680
2017-10-22,1.05,1.08,0.856609,1.04,532,1462090
2017-10-21,0.749898,1.44,0.746519,1.05,1165,1043560
2017-10-20,1.72,1.73,0.660627,0.751118,1673,2393730
2017-10-19,1.25,1.77,1.24,1.72,117,1744250
2017-10-18,1.40,1.40,0.657502,1.26,487,1951700
2017-10-17,1.15,1.55,0.562159,1.40,1685,1604880
2017-10-16,2.13,2.15,1.15,1.15,132,2970940
2017-10-15,1.16,2.16,1.01,2.13,139,1617260
2017-10-14,1.04,1.41,1.03,1.16,1614,1446010
2017-10-13,1.49,1.56,1.02,1.04,1765,2067420
2017-10-12,1.60,1.60,1.45,1.48,1991,2222740
2017-10-11,1.29,2.08,1.28,1.60,1458,1801320
2017-10-10,1.26,2.10,1.26,1.29,1499,1758630
2017-10-09,1.55,2.07,1.26,1.26,1570,2161170
2017-10-08,1.85,1.91,1.17,1.55,12790,2575350
2017-10-07,1.88,2.16,0.958601,1.86,2402,2617230
2017-10-06,1.41,2.05,0.865502,1.88,5765,1961130
2017-10-05,1.13,1.42,0.794835,1.41,2241,1567430
2017-10-04,1.52,1.52,0.769982,1.13,1668,2113560
2017-10-03,1.44,2.16,0.688021,1.52,260,2004080
2017-10-02,1.31,1.44,0.614243,1.44,3108,1829600
2017-10-01,2.16,2.17,0.981052,1.32,603,3004100
2017-09-30,1.07,2.16,1.07,2.16,79,1492490
2017-09-29,1.48,2.32,0.484533,1.07,1214,2062210
2017-09-28,1.37,1.57,0.926751,1.48,4267,1907960
2017-09-27,1.47,1.68,1.22,1.37,1682,2043790
2017-09-26,1.21,1.75,1.21,1.47,1222,1684750
2017-09-25,1.27,2.27,1.19,1.27,2433,1772930
2017-09-24,1.65,1.69,1.27,1.27,477,2293790
2017-09-23,1.06,1.66,1.04,1.65,1,1469190
2017-09-22,1.16,1.73,1.05,1.06,530,1617540
2017-09-21,1.32,1.81,1.14,1.16,201,1835430
2017-09-20,1.31,1.36,1.29,1.32,86,1820310
2017-09-19,2.38,2.40,1.29,1.31,671,3312390
2017-09-18,1.63,2.37,1.22,2.37,1620,2273720
2017-09-17,1.50,5.36,1.47,1.63,3347,2089810
2017-09-16,2.28,2.28,0.921627,1.50,3509,3172500
2017-09-15,4.47,4.86,0.646298,2.28,6070,6218910
2017-09-14,1.66,6.21,0.792233,4.45,1877,2308300
2017-09-13,0.752315,1.85,0.731335,1.66,671,1046920
2017-09-12,10.61,11.71,0.214743,0.767054,1480,14766300
2017-09-11,1.44,3.93,0.892895,2.08,2510,2002060
2017-09-10,3.05,3.05,0.564449,1.43,5104,-
2017-09-09,3.07,3.52,0.483954,3.05,1192,-
2017-09-08,3.35,4.52,3.07,3.07,199,-
2017-09-07,0.000197,3.71,0.000195,3.35,8101,56
2017-09-05,0.006134,0.006334,0.005655,0.006298,0,1784
2017-09-04,0.007119,0.007119,0.005689,0.006129,0,2070
2017-09-03,0.007099,0.007480,0.006828,0.007116,0,2065
2017-09-02,0.027425,0.032601,0.006678,0.007082,35,7976
2017-09-01,0.007764,0.027661,0.007764,0.027411,25,2258
2017-08-31,0.076617,0.076955,0.007641,0.007764,1,22281
2017-08-30,0.021985,0.077879,0.021779,0.076620,46,6393
2017-08-29,0.003615,0.022124,0.003536,0.021998,44,1051
2017-08-28,0.003551,0.003622,0.003543,0.003617,10,1033
2017-08-27,0.006660,0.006722,0.006659,0.006711,0,1937
2017-08-26,0.132191,0.133822,0.006653,0.006653,5,38443
2017-08-25,0.130091,0.134040,0.003409,0.132169,3,37852
2017-08-24,0.053661,0.131433,0.047849,0.130097,1,15624
2017-08-23,0.125417,0.129832,0.053497,0.053648,240,36517
2017-08-22,0.150611,6.24,0.004731,0.125978,38,43947
2017-08-21,1.22,1.97,0.148230,0.150617,478,356661
2017-08-20,1.50,1.50,1.20,1.22,6,436879
2017-08-19,1.17,1.51,1.16,1.50,155,342779
2017-08-18,1.26,1.56,1.16,1.17,4633,372162
2017-08-17,1.39,1.59,1.25,1.27,6162,411256
2017-08-16,1.35,1.42,1.32,1.42,7,397267
2017-08-15,1.08,1.35,0.999853,1.34,7,317940
2017-08-14,1.06,1.47,1.05,1.08,2048,314087
2017-08-13,1.08,1.08,1.01,1.05,721,321386
2017-08-12,1.79,1.84,1.07,1.08,8037,533505
2017-08-11,1.74,1.80,1.72,1.80,12,517229
2017-08-10,1.71,1.80,1.06,1.74,69,521605
2017-08-09,1.04,1.77,1.03,1.72,59,319146
2017-08-08,1.03,1.73,0.984592,1.03,3417,316704
2017-08-07,1.06,1.10,1.03,1.08,541,329535
2017-08-06,1.02,1.09,1.01,1.07,2,315706
2017-08-05,1.10,1.66,0.987807,1.01,253,343805
2017-08-04,1.45,1.46,1.00,1.10,268,453253
2017-08-03,0.994504,1.03,0.994504,1.01,201,315585
2017-08-02,0.885626,35.67,0.858071,34.93,71,281883
2017-08-01,1.27,1.44,0.842233,0.887675,490,403357
2017-07-31,1.27,1.27,1.26,1.27,13,402706
2017-07-30,0.958320,0.973354,0.740973,0.745253,22,307016
2017-07-29,0.955277,1.55,0.891567,0.955919,1618,306041
2017-07-28,1.05,1.14,0.723575,0.955764,207,342221
2017-07-27,0.852022,1.13,0.696012,1.05,812,276823
2017-07-26,0.836906,1.85,0.797913,0.849154,3259,271929
2017-07-25,1.35,1.36,0.789851,0.844521,348,440424
2017-07-24,1.21,4.59,0.853939,1.35,28,400442
2017-07-23,0.865889,0.865889,0.865889,0.865889,11,287061
2017-07-21,0.022481,0.022481,0.021982,0.022314,2238,7554
2017-07-20,0.722595,1.96,0.108888,0.108888,1980,242805
2017-07-19,0.803530,0.862268,0.746752,0.789608,38,270000
2017-07-18,1.42,1.59,0.715421,0.794354,550,483777
2017-07-17,1.41,1.46,0.509771,1.41,155,480293
2017-07-16,0.533246,32.50,0.519583,31.83,75,182441
2017-07-15,0.690172,3.94,0.535578,0.535578,19,248222
2017-07-14,1.53,1.54,0.638643,0.691453,10,551462
2017-07-13,0.783107,1.55,0.654812,1.53,1422,282349
2017-07-12,1.44,1.67,0.734026,0.775422,12,517830
2017-07-11,0.732552,1.46,0.611731,1.44,455,264155
2017-07-10,1.77,1.79,0.237160,0.860188,428,655273
