Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.219412,0.242244,0.159883,0.176803,59535,329119
2017-11-23,0.254326,0.264742,0.219899,0.219899,95295,381489
2017-11-22,0.262813,0.269251,0.230131,0.254191,82700,394219
2017-11-21,0.230573,0.279746,0.227530,0.250476,112990,345860
2017-11-20,0.239523,0.260150,0.223214,0.230572,89060,359285
2017-11-19,0.227496,0.266645,0.202741,0.253885,82858,341244
2017-11-18,0.217239,0.233427,0.204150,0.211857,42155,325858
2017-11-17,0.245733,0.254091,0.218313,0.218313,66756,368600
2017-11-16,0.253982,0.279924,0.231539,0.245895,126630,380973
2017-11-15,0.213506,0.253364,0.179760,0.252957,102170,320259
2017-11-14,0.214459,0.234182,0.172887,0.213368,88653,321688
2017-11-13,0.171379,0.219599,0.171379,0.214071,91817,257069
2017-11-12,0.218412,0.225235,0.160489,0.171022,64942,327619
2017-11-11,0.201109,0.281200,0.200891,0.218831,167511,301664
2017-11-10,0.248204,0.256717,0.192783,0.201807,94714,372307
2017-11-09,0.231337,0.247643,0.212772,0.247643,48079,347006
2017-11-08,0.221621,0.284440,0.203758,0.241058,133133,332432
2017-11-07,0.282117,0.321477,0.215170,0.222190,137004,423176
2017-11-06,0.235855,0.460365,0.233956,0.282540,425008,353782
2017-11-05,0.250630,0.263918,0.216426,0.236265,52391,375945
2017-11-04,0.247721,0.286134,0.200358,0.251086,49626,371581
2017-11-03,0.292634,0.305582,0.212085,0.248218,75909,438951
2017-11-02,0.313243,0.344716,0.271636,0.292891,55392,469865
2017-11-01,0.351363,0.474951,0.305375,0.312960,118206,527044
2017-10-31,0.263522,0.355892,0.262474,0.348733,106900,395284
2017-10-30,0.359478,0.360005,0.261488,0.264314,92178,539216
2017-10-29,0.384435,0.410138,0.332721,0.367699,99236,576652
2017-10-28,0.403917,0.443293,0.381881,0.385348,87474,605876
2017-10-27,0.482867,0.522156,0.398594,0.412802,47742,724301
2017-10-26,0.491058,0.548544,0.453268,0.482768,89215,736586
2017-10-25,0.606664,0.606664,0.421000,0.491148,145954,909995
2017-10-24,0.494556,0.699088,0.478824,0.606366,164781,741834
2017-10-23,0.557089,0.574249,0.432135,0.519145,94850,835634
2017-10-22,0.667562,0.705448,0.553451,0.557925,134369,1001340
2017-10-21,0.888039,0.913404,0.555975,0.678652,358827,1332060
2017-10-20,0.624381,1.10,0.618609,0.878745,1135550,936572
2017-10-19,0.272393,0.834471,0.266982,0.618225,575908,408589
2017-10-18,0.304628,0.323949,0.249884,0.272285,58455,456942
2017-10-17,0.384697,0.391159,0.227596,0.304635,92262,577046
2017-10-16,0.398448,0.425030,0.343075,0.384629,80933,597672
2017-10-15,0.470031,0.511516,0.371762,0.397880,130093,705047
2017-10-14,0.624072,0.635004,0.369903,0.445923,264337,936108
2017-10-13,0.774875,0.778812,0.566323,0.623798,335064,1162310
2017-10-12,0.717617,0.987790,0.676694,0.757907,641612,1076430
2017-10-11,1.13,1.31,0.613010,0.708893,907631,1697550
2017-10-10,1.03,1.76,0.976402,1.14,1398900,1549410
2017-10-09,1.58,2.07,0.923409,1.01,2397010,2366600
2017-10-08,3.09,3.43,1.36,1.60,3148350,4630560
2017-10-07,4.55,4.55,2.30,2.89,3733990,6829550
2017-10-06,2.37,5.21,2.36,4.52,6716130,3548620
2017-10-05,1.37,2.55,1.37,2.39,1853820,2049940
2017-10-04,0.942061,1.56,0.877401,1.45,820165,1413090
2017-10-03,0.757296,1.17,0.717467,0.924894,399010,1135940
2017-10-02,0.891811,0.915360,0.733710,0.785434,387166,1337720
2017-10-01,0.702643,0.999488,0.674651,0.900560,336874,1053960
2017-09-30,0.641835,0.704935,0.640524,0.702270,153215,962752
2017-09-29,0.647873,0.677001,0.607456,0.641751,101409,971810
2017-09-28,0.658546,0.686350,0.613160,0.648406,146593,987818
2017-09-27,0.567971,0.673242,0.514430,0.658534,322849,851956
2017-09-26,0.626177,0.670450,0.547804,0.570197,282925,939265
2017-09-25,0.665966,0.945712,0.417663,0.629695,1682940,-
2017-09-24,0.385064,0.737588,0.354310,0.629348,531317,-
2017-09-23,0.450642,0.460329,0.325055,0.381740,188694,-
2017-09-22,0.403356,0.497941,0.301678,0.431846,141021,-
2017-09-21,0.660310,0.669942,0.355780,0.410707,180945,-
2017-09-20,0.582455,0.780978,0.518468,0.655839,417884,-
2017-09-19,0.109728,0.873560,0.091306,0.590555,449524,-
