Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.042044,0.070073,0.010146,0.055668,2524,-
2017-11-23,0.080414,0.088844,0.033729,0.042238,1507,-
2017-11-22,0.085979,0.091238,0.069241,0.080345,1726,-
2017-11-21,0.070050,0.089378,0.066524,0.085794,729,-
2017-11-20,0.085970,0.102014,0.069787,0.070046,1230,-
2017-11-19,0.092254,0.123183,0.078930,0.086016,2458,-
2017-11-18,0.090096,0.096882,0.076074,0.092428,1342,-
2017-11-17,0.099797,0.102410,0.075535,0.090402,3289,-
2017-11-16,0.098825,0.105967,0.090486,0.099844,1102,-
2017-11-15,0.107957,0.130664,0.095036,0.098752,4293,-
2017-11-14,0.078451,0.110068,0.078451,0.107895,3544,-
2017-11-13,0.083372,0.090934,0.076845,0.078386,1691,-
2017-11-12,0.093729,0.129068,0.070230,0.083243,3610,-
2017-11-11,0.096495,0.099443,0.076159,0.093734,2721,-
2017-11-10,0.100246,0.108894,0.077026,0.096824,4508,-
2017-11-09,0.136180,0.146976,0.099673,0.100049,3985,-
2017-11-08,0.146816,0.150879,0.092591,0.129706,12314,-
2017-11-07,0.126149,0.160566,0.112133,0.147105,6110,-
2017-11-06,0.205633,0.207563,0.110378,0.126297,7127,-
2017-11-05,0.220044,0.242316,0.154988,0.205091,10702,-
2017-11-04,0.162636,0.193079,0.159112,0.191620,8660,-
2017-11-03,0.168376,0.199060,0.151785,0.162998,8348,-
2017-11-02,0.148785,0.221514,0.139664,0.168164,10426,-
2017-11-01,0.260641,0.328842,0.148539,0.148539,32850,-
2017-10-31,0.410862,0.440606,0.258945,0.276074,83253,-
2017-10-30,0.364180,0.506474,0.329070,0.427194,116559,-
2017-10-29,0.900161,1.30,0.370788,0.370788,615480,-
2017-10-28,0.501805,1.32,0.432766,1.08,603414,-
2017-10-27,0.118189,0.556606,0.104525,0.497322,248321,-
