Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,2.89,3.87,2.83,3.11,221164,20239200
2017-11-23,2.85,3.00,2.74,2.91,142039,19975600
2017-11-22,2.81,2.95,2.75,2.85,59833,19646800
2017-11-21,2.74,2.90,2.63,2.80,8024,19150100
2017-11-20,2.72,2.88,2.36,2.74,85780,19076600
2017-11-19,2.61,3.22,2.44,2.76,94431,18252000
2017-11-18,2.39,2.65,2.21,2.64,23271,16734200
2017-11-17,2.46,2.57,2.32,2.40,32836,17249000
2017-11-16,2.32,2.75,2.31,2.46,37940,16267500
2017-11-15,2.62,2.64,2.30,2.32,124073,18375400
2017-11-14,2.63,2.78,2.32,2.63,25239,18419600
2017-11-13,2.43,2.64,2.33,2.62,6549,17031900
2017-11-12,2.71,2.71,2.41,2.42,12962,18965700
2017-11-11,2.33,2.93,2.33,2.70,17494,16327300
2017-11-10,2.64,2.74,2.12,2.34,38799,18483000
2017-11-09,2.78,3.10,2.59,2.65,22989,19483500
2017-11-08,2.89,3.00,2.49,2.79,20465,20229400
2017-11-07,2.93,3.25,2.82,2.93,3874,20537100
2017-11-06,3.27,3.27,2.60,2.92,56325,22874300
2017-11-05,3.40,4.46,3.17,3.24,37311,23821800
2017-11-04,3.10,3.42,2.92,3.41,17622,21714600
2017-11-03,2.88,3.47,2.76,3.10,5510,20174100
2017-11-02,3.07,3.10,2.34,2.86,55896,21527200
2017-11-01,3.27,3.28,2.92,3.03,11997,22878000
2017-10-31,3.17,3.49,3.05,3.27,41878,22207000
2017-10-30,3.39,3.64,3.14,3.15,34676,23751600
2017-10-29,3.21,3.43,3.16,3.40,16834,22465200
2017-10-28,3.23,3.50,3.07,3.21,31518,22591800
2017-10-27,3.31,3.51,3.01,3.24,17564,23172500
2017-10-26,3.18,3.48,3.10,3.30,54478,22245700
2017-10-25,2.93,3.48,2.68,3.20,55675,20517900
2017-10-24,2.88,3.30,2.70,2.95,36380,20166300
2017-10-23,2.99,3.51,2.73,2.83,28864,20959900
2017-10-22,3.00,3.24,2.73,2.87,45123,20971400
2017-10-21,3.28,3.37,3.00,3.00,57639,22976900
2017-10-20,3.24,3.46,3.13,3.35,37137,22678000
2017-10-19,3.67,3.73,3.20,3.31,34954,25716200
2017-10-18,3.78,3.78,3.28,3.62,33806,26492900
2017-10-17,3.96,3.96,3.08,3.73,43057,27715200
2017-10-16,2.74,3.99,2.74,3.95,130794,19211800
2017-10-15,2.44,2.84,2.29,2.74,27258,17053600
2017-10-14,2.75,2.91,2.43,2.50,53875,19237100
2017-10-13,2.60,3.06,2.11,2.77,36329,18197700
2017-10-12,3.02,3.12,2.34,2.65,54243,21114300
2017-10-11,2.77,3.15,2.71,3.11,38492,19363900
2017-10-10,2.91,2.94,2.68,2.78,53640,20377600
2017-10-09,2.95,3.06,2.69,2.89,68174,20688400
2017-10-08,3.02,3.08,2.71,2.94,49076,21139900
2017-10-07,3.11,3.41,2.79,3.03,58526,21762400
2017-10-06,3.02,3.17,2.93,3.09,25598,21126900
2017-10-05,2.88,3.11,2.83,2.99,26361,20133800
2017-10-04,2.99,3.26,2.86,2.91,40851,20966800
2017-10-03,3.18,3.37,2.85,2.98,62094,22290300
2017-10-02,3.28,3.53,3.15,3.18,38084,22949400
2017-10-01,3.42,3.52,3.04,3.28,41557,23924800
2017-09-30,3.06,3.50,3.02,3.22,31700,21436500
2017-09-29,2.95,3.62,2.79,3.05,40254,20659800
2017-09-28,3.25,3.49,2.86,2.94,87166,22771000
2017-09-27,3.47,3.70,3.21,3.22,39036,24295700
2017-09-26,3.37,3.52,3.37,3.46,21228,23606000
2017-09-25,3.68,3.77,3.14,3.39,39884,25768600
2017-09-24,3.73,3.83,3.59,3.67,32344,26098100
2017-09-23,3.43,3.71,3.35,3.71,25584,23991000
2017-09-22,3.32,3.57,3.26,3.42,21074,23266300
2017-09-21,3.66,3.73,3.25,3.34,31703,25596500
2017-09-20,3.97,4.09,3.57,3.67,36957,27767700
2017-09-19,3.80,4.04,3.45,3.85,27008,26610000
2017-09-18,3.43,3.88,3.29,3.81,32689,23994800
2017-09-17,3.44,3.57,3.13,3.27,49084,24082400
2017-09-16,2.85,4.87,2.73,3.54,39190,19930900
2017-09-15,2.34,3.70,2.07,2.81,43492,16390200
2017-09-14,2.88,3.13,2.33,2.33,14304,20183700
2017-09-13,2.98,3.04,1.97,2.89,50551,20863400
2017-09-12,3.21,3.41,2.93,2.93,20129,22492500
2017-09-11,3.39,3.39,2.82,3.17,28864,23762900
2017-09-10,3.32,3.40,2.79,3.38,22337,23242000
2017-09-09,3.37,3.47,3.15,3.32,3259,23594200
2017-09-08,3.57,3.83,3.11,3.35,44831,25027500
2017-09-07,3.60,5.03,3.41,3.66,26294,25236300
2017-09-06,3.59,3.83,3.39,3.73,35162,25124200
2017-09-05,3.42,3.76,2.93,3.69,16822,23980200
2017-09-04,3.99,17.01,2.74,3.39,51577,27959000
2017-09-03,3.75,5.66,3.45,4.04,22502,26250100
2017-09-02,4.19,4.45,3.43,3.71,59025,29348000
2017-09-01,4.24,4.30,3.59,4.19,505182,29700700
2017-08-31,3.93,4.30,3.88,4.24,578827,27500600
2017-08-30,4.06,4.46,3.79,3.93,638349,28457200
2017-08-29,4.38,5.48,3.70,4.11,619192,30665800
2017-08-28,4.53,4.61,4.25,4.39,611234,31712400
2017-08-27,4.24,5.03,4.12,4.52,527364,29670600
2017-08-26,4.18,4.23,3.94,4.23,520942,29250400
2017-08-25,4.42,5.12,3.92,4.17,643422,30936200
2017-08-24,4.43,4.72,4.13,4.42,539450,31010800
2017-08-23,4.92,5.21,4.37,4.45,549509,34447200
2017-08-22,4.82,5.28,4.45,4.97,582119,33750000
2017-08-21,4.79,5.24,4.52,4.82,431463,33538100
2017-08-20,4.35,4.79,4.13,4.79,570502,30422300
2017-08-19,5.30,5.34,3.85,4.35,560191,37134000
2017-08-18,4.61,5.57,4.58,5.30,489808,32259300
2017-08-17,5.36,5.61,4.62,4.62,545106,37542000
2017-08-16,5.09,8.02,4.91,5.32,473155,35643600
2017-08-15,5.86,6.08,3.68,5.07,752334,41030800
2017-08-14,7.18,7.68,5.72,5.78,578188,50298100
2017-08-13,8.02,8.59,6.75,7.12,480141,56122300
2017-08-12,8.27,10.23,7.86,8.11,492439,57910200
2017-08-11,7.02,8.79,6.92,8.28,600639,49142700
2017-08-10,6.67,7.75,6.51,7.26,454421,46666600
2017-08-09,6.69,7.30,6.22,6.61,529327,46858100
2017-08-08,6.57,7.98,6.11,6.66,444686,45985200
2017-08-07,5.60,7.64,5.33,6.54,559083,39243500
2017-08-06,5.07,5.93,4.79,5.63,468845,35530200
2017-08-05,4.56,5.42,4.53,5.41,429528,31896400
2017-08-04,4.48,4.80,4.31,4.56,340899,31400700
2017-08-03,4.43,5.20,4.29,4.43,421559,31030500
2017-08-02,5.42,5.46,4.16,4.44,510255,37970200
2017-08-01,4.84,5.64,4.77,5.42,416563,33896800
2017-07-31,5.24,5.24,4.70,4.84,368030,36699600
2017-07-30,5.53,5.62,4.92,5.16,301327,38689800
2017-07-29,4.95,5.59,4.43,5.51,354503,34662300
2017-07-28,5.55,5.63,4.25,5.02,390035,38827800
2017-07-27,4.82,5.61,4.76,5.55,715100,33737200
2017-07-26,4.56,5.06,4.32,4.85,550325,31945800
2017-07-25,5.30,5.39,4.35,4.60,754723,37097300
2017-07-24,5.18,5.62,4.94,5.24,365540,36264700
2017-07-23,4.54,5.29,3.72,5.17,166615,31764100
2017-07-22,4.11,4.68,4.06,4.54,77164,28786300
2017-07-21,4.45,4.57,3.93,4.11,153129,31148200
2017-07-20,3.89,4.70,3.84,4.40,299064,27227800
2017-07-19,4.61,5.10,3.79,3.87,199301,32301700
2017-07-18,3.83,4.99,3.59,4.60,113948,26844300
2017-07-17,3.12,3.82,2.39,3.81,187227,21878100
2017-07-16,3.47,3.75,2.91,3.15,138842,24273400
2017-07-15,4.36,4.49,3.51,3.51,117994,30517600
2017-07-14,4.01,4.77,3.60,4.47,173226,28068200
2017-07-13,4.42,4.68,3.63,4.03,148976,30934700
2017-07-12,4.48,4.96,4.01,4.37,309138,31397800
2017-07-11,5.42,5.51,3.95,4.49,192673,37925100
2017-07-10,4.76,15.25,3.94,4.60,226080,33325300
2017-07-09,4.91,29.68,3.64,4.75,31333,34349100
2017-07-08,4.18,47.72,0.492518,4.89,39196,29269400
2017-07-07,5.18,165.10,3.98,4.27,193160,36298800
2017-07-06,4.68,26.64,4.11,5.28,334927,32773300
2017-07-05,5.23,5.88,3.68,4.60,239801,36592900
2017-07-04,7.56,93.85,4.97,5.23,239035,52939800
2017-07-03,5.60,9.17,1.25,7.58,394292,39202900
2017-07-02,4.15,6.84,3.94,5.64,163683,29069600
2017-07-01,4.26,4.52,3.79,4.15,37197,29852700
2017-06-30,4.41,4.69,4.10,4.22,63887,30879100
2017-06-29,4.37,4.82,3.98,4.45,58567,30578000
2017-06-28,3.65,5.05,0.154762,4.38,141262,25579200
2017-06-27,2.56,22.94,2.44,3.63,68065,17948600
2017-06-26,3.63,3.80,2.38,2.38,28519,25408000
2017-06-25,34.10,34.10,3.08,3.63,32040,238780000
2017-06-24,4.13,48.74,3.87,4.30,100171,28922400
2017-06-23,3.75,4.23,3.26,4.13,192660,26273100
2017-06-22,3.50,4.84,2.17,3.79,90702,24534900
2017-06-21,3.77,4.50,2.83,3.48,3334,26398800
2017-06-20,3.94,4.01,3.29,3.77,50622,27556200
2017-06-19,4.26,16.11,3.06,3.75,269437,29845300
2017-06-18,2.78,6.70,0.367518,4.83,388053,19466300
2017-06-17,2.12,30.89,2.02,2.78,90494,14839900
2017-06-16,2.16,2.22,1.84,2.12,14000,15156500
2017-06-15,2.40,6.13,1.73,2.16,46848,16775400
2017-06-14,2.01,19.25,1.74,2.40,36892,14054400
2017-06-13,2.46,3.89,1.68,2.01,28209,17240500
2017-06-12,2.07,2.44,1.47,2.44,14507,14498400
2017-06-10,1.55,3.13,0.002514,0.002514,31863,10851300
2017-06-09,2.07,2.08,1.54,1.55,25274,14461600
2017-06-08,1.38,1.80,1.32,1.74,23746,9632200
2017-06-07,1.32,1.59,1.18,1.37,13593,9232550
2017-06-06,1.67,1.85,1.28,1.32,37630,11698200
2017-06-05,1.22,1.72,1.22,1.67,134653,8549400
2017-06-04,1.53,1.66,1.15,1.22,48084,10734800
2017-06-03,1.54,1.79,1.32,1.53,13960,10817400
2017-06-02,1.82,2.18,1.10,1.54,58706,12736700
2017-06-01,1.63,1.95,1.63,1.82,10230,11416300
2017-05-31,1.88,1.91,1.44,1.64,38753,13137800
2017-05-30,1.73,3.86,0.325154,1.88,27837,12122400
2017-05-29,4.91,5.91,1.51,1.73,68603,34404800
2017-05-28,1.54,5.34,1.39,1.86,62135,10787800
2017-05-27,1.92,2.00,1.28,1.53,31169,13466200
2017-05-26,2.18,2.44,1.45,1.93,42040,15247700
2017-05-25,2.76,2.97,1.86,2.19,41307,19290000
2017-05-24,2.22,2.87,1.93,2.75,58024,15517300
2017-05-23,2.16,2.48,1.60,2.22,60506,15132700
2017-05-22,2.06,4.08,1.17,2.16,32143,14441200
2017-05-21,1.67,2.06,1.56,2.06,27022,11689300
2017-05-20,1.74,6.90,1.67,1.67,18774,12180800
2017-05-19,1.77,6.22,1.62,2.03,94693,12396500
2017-05-18,1.18,8.78,0.731354,1.77,206949,8280120
2017-05-17,0.804970,1.55,0.777073,1.18,33962,-
