Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.013440,0.015964,0.011505,0.012430,2094,166824
2017-11-23,0.018133,0.020965,0.012540,0.013459,3951,224870
2017-11-22,0.007396,0.033850,0.006868,0.018189,21966,91648
2017-11-21,0.008787,0.057649,0.005446,0.007378,37316,108760
2017-11-20,0.008940,0.013192,0.008304,0.008786,239,110629
2017-11-19,0.008450,0.008949,0.007233,0.008943,71,104528
2017-11-18,0.011354,0.012301,0.007139,0.008465,908,140328
2017-11-17,0.007845,0.012048,0.007425,0.011397,149,96957
2017-11-16,0.007432,0.008279,0.007267,0.007858,8,91847
2017-11-15,0.006666,0.015040,0.006529,0.007393,1789,82345
2017-11-14,0.006468,0.008361,0.006468,0.006661,44,79898
2017-11-13,0.004999,0.014297,0.004999,0.006455,887,61749
2017-11-12,0.005833,0.006593,0.003737,0.004986,286,72048
2017-11-11,0.004358,0.005869,0.003976,0.005832,17,53831
2017-11-10,0.005003,0.005144,0.004374,0.004374,5,61785
2017-11-09,0.004207,0.006733,0.003953,0.004987,16,51956
2017-11-08,0.005501,0.006188,0.004036,0.004211,155,67893
2017-11-07,0.006633,0.006952,0.005158,0.005517,67,81843
2017-11-06,0.005511,0.008354,0.004726,0.006643,390,67998
2017-11-05,0.004413,0.005695,0.004369,0.005502,26,54446
2017-11-04,0.004774,0.004917,0.004172,0.004421,18,58890
2017-11-03,0.004742,0.004921,0.004360,0.004786,23,58484
2017-11-02,0.004002,0.005463,0.003949,0.004748,123,49358
2017-11-01,0.003677,0.005237,0.003638,0.003998,193,45339
2017-10-31,0.004249,0.004940,0.003612,0.003680,197,52333
2017-10-30,0.004305,0.004575,0.003677,0.004575,43,53005
2017-10-29,0.005148,0.005157,0.003309,0.004342,441,63315
2017-10-28,0.004047,0.005210,0.003767,0.005155,25,49763
2017-10-27,0.004705,0.004854,0.003828,0.004040,42,57825
2017-10-26,0.004607,0.004801,0.003369,0.004794,0,56623
2017-10-25,0.003582,0.005096,0.003417,0.004608,250,43936
2017-10-24,0.004553,0.004553,0.003563,0.003580,94,55825
2017-10-23,0.004003,0.004616,0.003537,0.004564,102,49006
