Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.246186,0.257571,0.233766,0.247559,59944,3279520
2017-11-23,0.232798,0.258806,0.232663,0.246523,49446,3101180
2017-11-22,0.226352,0.245585,0.224378,0.232873,33790,3015300
2017-11-21,0.237711,0.243860,0.218019,0.225803,37463,3166620
2017-11-20,0.241367,0.247681,0.231951,0.236963,53108,3215320
2017-11-19,0.233351,0.250045,0.232798,0.241480,45516,3108540
2017-11-18,0.238169,0.244965,0.228837,0.233789,36418,3172720
2017-11-17,0.245575,0.256967,0.236100,0.239437,35183,3271370
2017-11-16,0.251395,0.258638,0.234538,0.248502,134768,3348910
2017-11-15,0.215639,0.295540,0.213402,0.249940,733382,2872590
2017-11-14,0.205462,0.221165,0.201855,0.215491,44500,2737020
2017-11-13,0.185708,0.212174,0.184944,0.205028,26016,2473870
2017-11-12,0.216673,0.222329,0.177764,0.185437,47553,2886370
2017-11-11,0.223511,0.231642,0.201702,0.216833,71610,2977460
2017-11-10,0.254440,0.272329,0.213644,0.222088,75779,3389470
2017-11-09,0.228514,0.272700,0.223857,0.253687,127692,3044100
2017-11-08,0.219993,0.244267,0.215941,0.229484,87598,2930590
2017-11-07,0.213615,0.230194,0.211236,0.220686,21735,2845620
2017-11-06,0.228450,0.242876,0.209062,0.213956,44293,3043250
2017-11-05,0.217948,0.231480,0.212846,0.225882,21366,2903350
2017-11-04,0.215176,0.233528,0.207423,0.218361,51360,2866430
2017-11-03,0.210803,0.243165,0.191489,0.215737,113124,2808170
2017-11-02,0.242230,0.252535,0.201868,0.211079,161006,3226810
2017-11-01,0.216275,0.290694,0.211798,0.241960,694529,2881060
2017-10-31,0.207221,0.275501,0.202508,0.214072,334307,2760460
2017-10-30,0.200284,0.219545,0.199372,0.207928,58284,2668040
2017-10-29,0.187031,0.213596,0.186502,0.201882,42432,2491500
2017-10-28,0.196245,0.206114,0.187284,0.187284,37094,2614240
2017-10-27,0.192497,0.231379,0.180105,0.200988,122711,2564300
2017-10-26,0.195031,0.205433,0.185222,0.188942,25440,2598070
2017-10-25,0.207920,0.215620,0.186717,0.195054,36349,2769760
2017-10-24,0.182342,0.219994,0.171027,0.207133,116447,2429030
2017-10-23,0.210187,0.210187,0.180487,0.182751,49582,2799960
2017-10-22,0.231128,0.231525,0.195978,0.210526,188043,3078920
2017-10-21,0.190441,0.337223,0.178372,0.226517,1141620,2536920
2017-10-20,0.195842,0.208201,0.186726,0.186726,97101,2608870
2017-10-19,0.201410,0.216486,0.186024,0.195787,170529,2683040
2017-10-18,0.210667,0.210672,0.184302,0.201305,16616,2806350
2017-10-17,0.208661,0.217044,0.192811,0.210652,31750,2779640
2017-10-16,0.226983,0.227293,0.198216,0.208629,27887,3023700
2017-10-15,0.218821,0.230803,0.204271,0.226951,24104,2914990
2017-10-14,0.223573,0.223573,0.202354,0.218428,21188,2978280
2017-10-13,0.216461,0.226520,0.196739,0.223509,37024,2883540
2017-10-12,0.215381,0.220515,0.196553,0.215796,48402,2869150
2017-10-11,0.190563,0.222094,0.189052,0.215191,37763,2538550
2017-10-10,0.186402,0.203402,0.178055,0.190595,27781,2483110
2017-10-09,0.201983,0.208537,0.185821,0.186425,56620,2690680
2017-10-08,0.213253,0.223188,0.198313,0.202339,101510,2840810
2017-10-07,0.215840,0.226963,0.207635,0.213935,90393,2875260
2017-10-06,0.202778,0.254053,0.200108,0.215770,193238,2701270
2017-10-05,0.206792,0.210164,0.196040,0.202779,28032,2754740
2017-10-04,0.217985,0.220271,0.203315,0.206605,45021,2903850
2017-10-03,0.225929,0.234131,0.206169,0.217481,52063,3009660
2017-10-02,0.241668,0.246770,0.225800,0.225919,60318,3219330
2017-10-01,0.247316,0.255096,0.236306,0.241774,88341,3294570
2017-09-30,0.248438,0.286119,0.235049,0.247183,273415,3309520
2017-09-29,0.251155,0.305026,0.216160,0.250281,810510,3345710
2017-09-28,0.212768,0.250413,0.211582,0.250356,83346,2834350
2017-09-27,0.193996,0.217468,0.193996,0.212761,35084,2584270
2017-09-26,0.196612,0.205427,0.189713,0.195706,42587,2619130
2017-09-25,0.186266,0.200157,0.184349,0.196435,29684,2481300
2017-09-24,0.183020,0.200194,0.177762,0.189209,32392,2438070
2017-09-23,0.176165,0.192041,0.169936,0.183036,141641,2346740
2017-09-22,0.177698,0.184813,0.164187,0.176666,28311,2367170
2017-09-21,0.204113,0.207434,0.167640,0.177902,50249,2719050
2017-09-20,0.192090,0.218029,0.184984,0.205307,43435,2558880
2017-09-19,0.217435,0.217435,0.189187,0.192346,70599,2896520
2017-09-18,0.184441,0.239002,0.181421,0.216910,262444,2456990
2017-09-17,0.165324,0.205079,0.155238,0.185138,172164,2202330
2017-09-16,0.168598,0.173015,0.154014,0.165437,59505,2245950
2017-09-15,0.139638,0.177237,0.130233,0.169039,51820,1860160
2017-09-14,0.206739,0.215717,0.138559,0.138559,151165,2754040
2017-09-13,0.295906,0.337936,0.176349,0.206756,1427110,3941860
2017-09-12,0.159367,0.358969,0.157268,0.300158,3636650,2122980
2017-09-11,0.160841,0.167547,0.153034,0.159215,18246,2142610
2017-09-10,0.170735,0.173463,0.155634,0.161114,12184,2274410
