Date,Open,High,Low,Close,Volume,Market_cap
2017-11-10,0.000143,0.000147,0.000136,0.000138,7,-
2017-11-09,0.000142,0.000145,0.000142,0.000142,7,-
2017-11-08,0.000356,0.000374,0.000354,0.000374,15,-
2017-11-07,0.000359,0.000361,0.000349,0.000357,14,-
2017-11-06,0.000518,0.000520,0.000498,0.000518,7,-
2017-11-05,0.000148,0.000533,0.000146,0.000516,22,-
2017-11-04,0.000144,0.000151,0.000142,0.000148,7,-
2017-11-03,0.000140,0.000149,0.000139,0.000144,7,-
2017-11-02,0.000135,0.000146,0.000135,0.000141,28,-
2017-11-01,0.000129,0.000135,0.000127,0.000134,20,-
2017-10-31,0.000123,0.000129,0.000122,0.000129,13,-
2017-10-30,0.000123,0.000124,0.000121,0.000123,12,-
2017-10-29,0.000116,0.000361,0.000115,0.000124,43,-
2017-10-27,0.000177,0.000180,0.000171,0.000172,6,-
2017-10-26,0.000229,0.000351,0.000171,0.000177,29,-
2017-10-25,0.000166,0.000230,0.000161,0.000229,6,-
2017-10-24,0.000225,0.000230,0.000165,0.000165,72,-
2017-10-23,0.000359,0.000364,0.000340,0.000352,12,-
2017-10-22,0.000361,0.000364,0.000345,0.000359,18,-
2017-10-21,0.000363,0.000372,0.000354,0.000361,18,-
2017-10-19,0.000335,0.000344,0.000332,0.000340,17,-
2017-10-18,0.000728,0.000728,0.000323,0.000335,11,-
2017-10-17,0.000231,0.000854,0.000224,0.000728,196,-
2017-10-16,0.000335,0.000339,0.000226,0.000231,58,-
2017-10-15,0.000176,0.000223,0.000165,0.000221,6,-
2017-10-14,0.000170,0.000175,0.000168,0.000175,6,-
2017-10-13,0.000163,0.000176,0.000162,0.000170,6,-
2017-10-12,0.000146,0.000163,0.000145,0.000163,27,-
2017-10-11,0.000143,0.000146,0.000142,0.000145,10,-
2017-10-10,0.000096,0.000444,0.000096,0.000143,119,-
2017-10-09,0.000046,0.000292,0.000046,0.000096,53,-
2017-10-08,0.000044,0.000277,0.000044,0.000046,28,-
2017-10-07,0.000131,0.000132,0.000043,0.000045,9,-
2017-10-06,0.000259,0.000265,0.000043,0.000131,26,-
2017-10-05,0.000253,0.000262,0.000249,0.000259,52,-
2017-10-04,0.000389,0.000561,0.000252,0.000253,55,-
2017-10-03,0.000396,0.000399,0.000256,0.000388,220,-
2017-10-02,0.000703,0.000705,0.000393,0.000396,141,-
2017-10-01,0.000826,0.000873,0.000688,0.000703,4,-
2017-09-30,0.000459,0.000915,0.000458,0.000825,9,-
2017-09-29,0.001132,0.001136,0.000457,0.000459,58,-
2017-09-28,0.001136,0.001154,0.001118,0.001133,13,-
2017-09-27,0.000700,0.001178,0.000394,0.001136,135,-
2017-09-26,0.001062,0.001065,0.000657,0.000702,4,-
2017-09-25,0.001028,0.001072,0.000301,0.001062,102,-
2017-09-24,0.000530,0.001036,0.000509,0.001029,37,-
2017-09-23,0.000253,0.000534,0.000250,0.000530,45,-
2017-09-22,0.000398,0.000405,0.000248,0.000253,4,-
2017-09-21,0.000388,0.000429,0.000384,0.000399,15,-
2017-09-20,0.000391,0.000402,0.000385,0.000401,20,-
2017-09-19,0.000410,0.000412,0.000387,0.000392,20,-
2017-09-18,0.000480,0.000492,0.000375,0.000409,33,-
2017-09-17,0.000335,0.000515,0.000325,0.000481,15,-
2017-09-16,0.000260,0.000337,0.000251,0.000334,4,-
2017-09-15,0.000322,0.000441,0.000179,0.000258,29,-
2017-09-14,0.000465,0.000471,0.000322,0.000322,23,-
2017-09-13,0.000250,0.000515,0.000236,0.000465,16,-
2017-09-12,0.000758,0.000765,0.000248,0.000250,21,-
2017-09-11,0.000468,0.000769,0.000455,0.000758,4,-
2017-09-10,0.000955,0.000955,0.000250,0.000467,72,-
2017-09-09,0.001253,0.001255,0.000431,0.000954,356,-
2017-09-08,0.001622,0.001622,0.000879,0.001251,263,-
2017-09-07,0.001387,0.001694,0.001266,0.001622,70,-
2017-09-06,0.001369,0.001790,0.001241,0.001387,444,-
2017-09-05,0.001714,0.002061,0.001023,0.001379,2131,-
2017-09-04,0.001662,0.001775,0.001402,0.001720,52,-
2017-09-03,0.001843,0.001891,0.001444,0.001661,272,-
2017-09-02,0.001970,0.002080,0.001615,0.001839,257,-
2017-09-01,0.001942,0.002091,0.001354,0.001967,1141,-
2017-08-31,0.002473,0.003126,0.001883,0.001943,261,-
2017-08-30,0.001932,0.002571,0.001659,0.002477,395,-
2017-08-29,0.001490,0.005023,0.001268,0.001933,3443,-
2017-08-28,0.001783,0.001901,0.001461,0.001490,403,-
2017-08-27,0.001825,0.002616,0.001481,0.001781,2276,-
2017-08-26,0.001354,0.002697,0.001338,0.001825,2008,-
2017-08-25,0.001385,0.001573,0.001170,0.001351,1813,-
2017-08-24,0.001781,0.002596,0.001099,0.001387,3109,-
2017-08-23,0.002492,0.002979,0.000530,0.001781,3433,-
2017-08-22,0.003001,0.003397,0.001828,0.002498,1757,-
2017-08-21,0.002647,0.004593,0.002509,0.002994,6175,-
2017-08-20,0.003897,0.004761,0.001920,0.002663,4048,-
2017-08-19,0.003369,0.005067,0.002578,0.003915,2416,-
2017-08-18,0.005179,0.007646,0.002549,0.003372,4745,-
2017-08-17,0.005398,0.006118,0.003761,0.005237,6139,-
2017-08-16,0.009138,0.012330,0.004091,0.005403,9041,-
2017-08-15,0.003687,0.031139,0.003687,0.009128,19891,-
