Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.015102,0.016665,0.008046,0.016585,11328,77020
2017-11-23,0.008220,0.016782,0.008184,0.015133,4531,41923
2017-11-22,0.008113,0.016154,0.008058,0.008222,11665,41377
2017-11-21,0.008255,0.016517,0.007773,0.008093,987,42102
2017-11-20,0.015744,0.016155,0.008049,0.008255,12936,80296
2017-11-19,0.014159,0.015748,0.007858,0.015748,1140,72210
2017-11-18,0.015060,0.016424,0.007981,0.014186,2942,76805
2017-11-17,0.015315,0.023481,0.008167,0.015116,8903,78106
2017-11-16,0.021146,0.024805,0.008403,0.015338,15880,107845
2017-11-15,0.013937,0.021095,0.007960,0.021060,32355,71080
2017-11-14,0.013505,0.019815,0.013505,0.013928,8725,68875
2017-11-13,0.024007,0.027230,0.012237,0.013478,69643,122437
2017-11-12,0.065521,0.071840,0.013193,0.023974,112340,334159
2017-11-11,0.085125,0.088818,0.057646,0.065564,39535,434137
2017-11-10,0.086048,0.121728,0.061757,0.085426,121791,438846
2017-11-09,0.036401,0.115823,0.029893,0.085817,202761,185643
2017-11-08,0.035557,0.044335,0.028571,0.036464,40865,181339
2017-11-07,0.021209,0.035666,0.021187,0.035666,19417,108165
2017-11-06,0.016343,0.034633,0.016231,0.021232,14252,83351
2017-11-05,0.016443,0.022816,0.014814,0.016315,3439,83858
2017-11-04,0.014644,0.022095,0.014475,0.016452,2963,74687
2017-11-03,0.019788,0.021700,0.014152,0.014668,5730,100919
2017-11-02,0.026298,0.027776,0.013811,0.019803,8294,134121
2017-11-01,0.019305,0.026312,0.012933,0.026269,5780,98455
2017-10-31,0.017414,0.025476,0.012778,0.019319,3259,88814
2017-10-30,0.024529,0.024621,0.016878,0.017462,10897,125095
2017-10-29,0.015226,0.024774,0.015190,0.024659,8570,77652
2017-10-28,0.017387,0.022658,0.015217,0.015240,1646,88672
2017-10-27,0.021935,0.023292,0.016248,0.017345,6767,111870
2017-10-26,0.027647,0.028773,0.020735,0.021961,7421,141001
2017-10-25,0.015991,0.027760,0.015527,0.027658,6826,81553
2017-10-24,0.017002,0.028031,0.011164,0.015984,11576,86711
2017-10-23,0.012524,0.022567,0.010679,0.017040,6719,63871
2017-10-22,0.017874,0.023287,0.012047,0.012541,6570,91156
2017-10-21,0.023952,0.024337,0.017826,0.017869,19601,122155
2017-10-20,0.023935,0.033102,0.022551,0.024001,45489,122069
2017-10-19,0.033939,0.038462,0.021691,0.023937,94887,173086
2017-10-18,0.034672,0.043419,0.017575,0.033938,243125,176828
2017-10-17,0.046305,0.047173,0.017363,0.030003,263271,236154
2017-10-16,0.011633,0.051669,0.011633,0.041154,73395,-
