Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.018902,0.025562,0.018568,0.025417,141,-
2017-11-23,0.014085,0.019502,0.008144,0.018951,452,-
2017-11-22,0.028692,0.028919,0.013653,0.014088,4733,-
2017-11-21,0.015247,0.029656,0.014920,0.028655,20672,-
2017-11-20,0.014478,0.015327,0.014305,0.015244,8310,-
2017-11-19,0.014016,0.014601,0.013854,0.014485,26,-
2017-11-18,0.014067,0.015217,0.013637,0.014042,64,-
2017-11-17,0.013964,0.022714,0.013848,0.014121,2417,-
2017-11-16,0.012707,0.014245,0.012423,0.013986,32,-
2017-11-15,0.019835,0.021547,0.012056,0.012641,1435,-
2017-11-14,0.022391,0.023492,0.011035,0.019821,7,-
2017-11-13,0.016225,0.030125,0.016225,0.022392,294,-
2017-11-12,0.015823,0.016653,0.013781,0.016200,305,-
2017-11-11,0.008691,0.016170,0.007462,0.015835,46,-
2017-11-10,0.006567,0.009813,0.004510,0.008721,5,-
2017-11-09,0.009789,0.017725,0.006524,0.006551,241,-
2017-11-08,0.008688,0.009996,0.008637,0.009817,52,-
2017-11-07,0.030113,0.030667,0.008549,0.008716,77,-
2017-11-06,0.014713,0.032668,0.014152,0.030073,742,-
2017-11-05,0.011950,0.015223,0.008062,0.014680,344,-
2017-11-04,0.024869,0.026197,0.011971,0.011973,46,-
2017-11-03,0.017699,0.029824,0.017501,0.024934,111,-
2017-11-02,0.060490,0.061054,0.017654,0.017722,717,-
2017-11-01,0.035828,0.061692,0.032696,0.060423,3438,-
2017-10-31,0.073595,0.092060,0.031678,0.035854,2146,-
2017-10-30,0.160080,0.184623,0.056088,0.073846,9001,-
2017-10-29,0.096862,0.251572,0.096862,0.161015,32723,-
