Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.002154,0.002823,0.001705,0.002820,6596,-
2017-11-23,0.002624,0.022142,0.002157,0.002157,3247,-
2017-11-22,0.002345,0.002764,0.001877,0.002625,1032,-
2017-11-21,0.002366,0.002787,0.002112,0.002333,4408,-
2017-11-20,0.002976,0.002978,0.002134,0.002405,3947,-
2017-11-19,0.002967,0.003136,0.001558,0.002975,11059,-
2017-11-18,0.002637,0.003173,0.002557,0.002986,4218,-
2017-11-17,0.003640,0.003716,0.002385,0.002711,1859,-
2017-11-16,0.002921,0.003671,0.002230,0.003667,8761,-
2017-11-15,0.003299,0.004633,0.002676,0.004572,3531,-
2017-11-14,0.003331,0.003576,0.002416,0.003284,3053,-
2017-11-13,0.002818,0.003765,0.002038,0.003323,5802,-
2017-11-12,0.002544,0.002816,0.001233,0.002808,9281,-
2017-11-11,0.003215,0.003330,0.002028,0.002547,3284,-
2017-11-10,0.003351,0.004163,0.001328,0.003227,11538,-
2017-11-09,0.004592,0.007304,0.002432,0.003341,16884,-
2017-11-08,0.003345,0.012696,0.002720,0.004334,15998,-
2017-11-07,0.006799,0.054157,0.000769,0.003417,46258,-
2017-11-06,0.004451,0.058160,0.004448,0.007653,57170,-
2017-11-05,0.002892,0.005759,0.002863,0.004741,44668,-
2017-11-04,0.002377,0.007108,0.001748,0.003169,26547,-
2017-11-03,0.002384,0.003969,0.000782,0.003952,2496,-
