Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.004892,0.004963,0.000684,0.000715,286,-
2017-11-23,0.003043,0.005087,0.003005,0.004917,28,-
2017-11-22,0.003283,0.003322,0.002889,0.003036,347,-
2017-11-21,0.004048,0.004065,0.003215,0.003279,437,-
2017-11-20,0.003546,0.004081,0.003545,0.004054,313,-
2017-11-19,0.003465,0.003693,0.003439,0.003550,123,-
2017-11-18,0.003316,0.006879,0.003270,0.003474,121,-
2017-11-17,0.006569,0.006611,0.003312,0.003321,40,-
2017-11-16,0.006588,0.006655,0.003301,0.006574,647,-
2017-11-15,0.003183,0.006603,0.003095,0.006593,166,-
2017-11-14,0.003057,0.011485,0.003022,0.003181,485,-
2017-11-13,0.002920,0.003069,0.002920,0.003057,354,-
2017-11-12,0.003125,0.003125,0.001513,0.002916,42,-
2017-11-11,0.003074,0.003143,0.003066,0.003125,177,-
2017-11-10,0.002307,0.002931,0.002098,0.002155,4,-
2017-11-09,0.002807,0.002892,0.002249,0.002306,338,-
2017-11-08,0.003829,0.006161,0.002790,0.002823,305,-
2017-11-07,0.003006,0.008188,0.002999,0.003832,672,-
2017-11-06,0.003024,0.003080,0.003001,0.003001,30,-
2017-11-05,0.012909,0.012920,0.012721,0.012733,0,-
2017-11-04,0.013716,0.013716,0.012683,0.012892,0,-
2017-11-03,0.012810,0.013847,0.012810,0.013714,0,-
2017-11-02,0.006370,0.013071,0.006117,0.012748,0,-
2017-11-01,0.012148,0.012191,0.006353,0.006353,198,-
2017-10-31,0.006136,0.012244,0.006130,0.012170,379,-
2017-10-30,0.009111,0.009265,0.006090,0.006133,466,-
2017-10-29,0.008845,0.010244,0.008845,0.009129,246,-
2017-10-28,0.008906,0.008929,0.008755,0.008849,106,-
2017-10-27,0.002386,0.008905,0.002345,0.008898,29,-
2017-10-25,0.011550,0.011701,0.011293,0.011538,114,-
2017-10-24,0.011399,0.014990,0.001676,0.011540,406,-
2017-10-23,0.014873,0.014882,0.008744,0.011406,505,-
2017-10-22,0.014977,0.015908,0.014728,0.014882,310,-
2017-10-21,0.016403,0.016403,0.014978,0.014978,4,-
2017-10-20,0.015377,0.016474,0.009431,0.016425,878,-
2017-10-19,0.017249,0.017406,0.009196,0.015390,35,-
2017-10-18,0.009524,0.017304,0.008936,0.017290,16,-
2017-10-17,0.013715,0.019461,0.009367,0.009535,249,-
2017-10-16,0.023168,0.024146,0.013686,0.013689,41,-
2017-10-15,0.023327,0.023529,0.009962,0.023106,79,-
2017-10-14,0.024597,0.025292,0.023230,0.023258,72,-
2017-10-13,0.022101,0.025347,0.021806,0.024573,7,-
2017-10-12,0.023548,0.023746,0.012161,0.022144,326,-
2017-10-11,0.023879,0.024159,0.006672,0.023547,375,-
2017-10-10,0.023132,0.025659,0.008913,0.023880,278,-
2017-10-09,0.018568,0.023553,0.015502,0.023075,699,-
2017-10-08,0.018937,0.027749,0.018518,0.018566,1727,-
2017-10-07,0.018609,0.028100,0.017897,0.018964,323,-
2017-10-06,0.029554,0.029639,0.017372,0.018641,1107,-
2017-10-05,0.016353,0.033477,0.016121,0.029546,585,-
2017-10-04,0.038529,0.039015,0.014847,0.016353,1255,-
2017-10-03,0.020683,0.038559,0.014391,0.038442,5995,-
2017-10-02,0.029458,0.048264,0.020637,0.020669,2859,-
2017-10-01,0.030303,0.048628,0.006654,0.029458,2196,-
2017-09-30,0.032317,0.049842,0.030194,0.030292,811,-
2017-09-29,0.036358,0.036467,0.030346,0.032309,444,-
2017-09-28,0.051723,0.051763,0.031403,0.036426,744,-
2017-09-27,0.033275,0.052083,0.029117,0.051751,3726,-
2017-09-26,0.008481,0.035449,0.006440,0.033308,2935,-
2017-09-25,0.033832,0.034783,0.008469,0.008484,279,-
2017-09-24,0.037036,0.037908,0.021418,0.033761,55,-
2017-09-23,0.033982,0.037105,0.021163,0.037035,470,-
2017-09-22,0.023764,0.047559,0.023525,0.023985,2228,-
2017-09-21,0.025840,0.048744,0.023044,0.023772,183,-
2017-09-20,0.068130,0.068447,0.013902,0.025930,1892,-
2017-09-19,0.098188,0.855319,0.023945,0.068191,1895,-
2017-09-18,0.035160,0.165747,0.016654,0.097885,3318,-
2017-09-17,0.027688,0.037229,0.026323,0.035170,1352,-
2017-09-16,0.031791,0.084330,0.012407,0.027620,2939,-
2017-09-15,0.077869,0.083646,0.031482,0.031540,4419,-
2017-09-14,0.082848,0.123578,0.055135,0.078286,2462,-
2017-09-13,0.118008,0.178675,0.063965,0.082957,10064,-
2017-09-12,0.113707,2.93,0.087710,0.117619,4183,-
2017-09-11,0.095911,0.133258,0.046695,0.113660,3548,-
2017-09-10,0.059725,0.097675,0.059725,0.095636,4779,-
