Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.064187,0.468882,0.042398,0.126009,40331,10269900
2017-11-23,0.069283,0.072940,0.051957,0.064510,27997,11085200
2017-11-22,0.056413,0.069124,0.056368,0.069124,43434,9026130
2017-11-21,0.065786,0.434385,0.059426,0.061485,39922,10525800
2017-11-20,0.060102,0.069848,0.057766,0.065890,36530,9616310
2017-11-19,0.059334,0.658705,0.055270,0.060167,4407,9493430
2017-11-18,0.067278,0.070287,0.057147,0.059488,1784,10764500
2017-11-17,0.074351,0.079133,0.065793,0.067379,10280,11896100
2017-11-16,0.056771,0.074874,0.055745,0.074402,8349,9083320
2017-11-15,0.066166,0.076125,0.051294,0.056815,8922,10586600
2017-11-14,0.072706,0.079081,0.049157,0.066130,12083,11633000
2017-11-13,0.057795,0.074400,0.041709,0.072709,6258,-
2017-11-12,0.072991,0.072991,0.054631,0.057703,1288,-
2017-11-11,0.053818,0.073765,0.053754,0.072983,872,-
2017-11-10,0.041602,0.083354,0.041357,0.053973,26614,-
2017-11-09,0.081523,0.085078,0.041282,0.041582,15777,-
2017-11-08,0.078638,0.090652,0.062456,0.081966,35857,-
2017-11-07,0.098697,0.098697,0.078628,0.078693,39680,-
