Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.008275,0.009442,0.008043,0.008069,3783,1042620
2017-11-23,0.009195,0.009242,0.007957,0.008287,5502,1158620
2017-11-22,0.007875,0.010014,0.007708,0.009200,4119,992193
2017-11-21,0.008593,0.008598,0.007586,0.007856,3047,1082690
2017-11-20,0.008245,0.008757,0.008035,0.008592,2015,1038880
2017-11-19,0.008429,0.010243,0.007849,0.008277,6396,1062000
2017-11-18,0.008635,0.009852,0.008156,0.008444,2147,1088070
2017-11-17,0.008887,0.011144,0.008391,0.008668,4027,1119700
2017-11-16,0.008784,0.009239,0.008289,0.008901,3286,1106790
2017-11-15,0.007049,0.009258,0.007049,0.008740,3319,888227
2017-11-14,0.007173,0.007417,0.006667,0.007044,1080,903770
2017-11-13,0.006472,0.008108,0.006036,0.007152,1876,815414
2017-11-12,0.008044,0.008044,0.006321,0.006544,1349,1013560
2017-11-11,0.007522,0.008439,0.006596,0.008050,4903,947781
2017-11-10,0.007917,0.008284,0.007052,0.007549,3908,997509
2017-11-09,0.007516,0.008512,0.007142,0.008383,4551,947074
2017-11-08,0.007738,0.008513,0.006796,0.007531,1873,975021
2017-11-07,0.007809,0.008287,0.007612,0.007762,845,983880
2017-11-06,0.008713,0.008744,0.007611,0.007612,1972,1097870
2017-11-05,0.008373,0.008927,0.008039,0.008694,3007,1054950
2017-11-04,0.007749,0.009238,0.007515,0.008387,2183,976401
2017-11-03,0.009191,0.012051,0.007759,0.007767,2011,1158060
2017-11-02,0.008998,0.010144,0.008840,0.009203,2676,1133740
2017-11-01,0.012605,0.012605,0.008925,0.009003,5496,1588220
2017-10-31,0.008828,0.012499,0.008694,0.012499,13643,1112310
2017-10-30,0.006500,0.012133,0.006460,0.008858,16594,818998
2017-10-29,0.007662,0.008116,0.006538,0.006538,2704,965430
2017-10-28,0.007755,0.008332,0.007584,0.007672,7059,977103
2017-10-27,0.008330,0.008481,0.007692,0.007734,5617,1049550
2017-10-26,0.007809,0.009230,0.007698,0.008328,4834,983934
2017-10-25,0.008884,0.009020,0.007574,0.007810,2479,1119330
2017-10-24,0.008872,0.011303,0.007974,0.008880,4910,1117850
2017-10-23,0.008472,0.010856,0.007602,0.008892,2416,1067470
2017-10-22,0.008091,0.008680,0.008056,0.008056,481,1019480
2017-10-21,0.008227,0.008921,0.008089,0.008089,1122,1036610
2017-10-20,0.007582,0.009048,0.007160,0.008213,1348,955395
2017-10-19,0.007212,0.011241,0.005130,0.007277,15127,908699
2017-10-18,0.007187,0.008118,0.007069,0.007456,2322,905615
2017-10-17,0.009727,0.009856,0.006417,0.007187,11253,1225560
2017-10-16,0.009390,0.021383,0.009243,0.009726,3874,1183190
2017-10-15,0.009662,0.010692,0.009079,0.009390,1935,1217360
2017-10-14,0.008364,0.010336,0.007792,0.009639,2487,1053890
2017-10-13,0.011648,0.012010,0.008199,0.008362,4146,1467690
2017-10-12,0.012229,0.012535,0.009855,0.011612,4470,1540820
2017-10-11,0.012826,0.012942,0.011679,0.012219,11061,1616090
2017-10-10,0.011813,0.013073,0.011640,0.012823,7677,1488420
2017-10-09,0.012117,0.012218,0.011361,0.011815,26139,1526810
2017-10-08,0.010875,0.015359,0.010875,0.012115,12062,1370200
2017-10-07,0.010499,0.011395,0.010163,0.010903,9933,1322820
2017-10-06,0.010159,0.010752,0.009371,0.010646,5105,1279970
2017-10-05,0.009416,0.010702,0.009201,0.010159,9268,1186360
2017-10-04,0.008335,0.010031,0.007755,0.009474,3523,1050160
2017-10-03,0.007781,0.009927,0.007412,0.008316,4073,980455
2017-10-02,0.008582,0.011345,0.006930,0.007825,8130,1081390
2017-10-01,0.008476,0.009294,0.007819,0.008586,3919,1068020
2017-09-30,0.007887,0.009585,0.007211,0.008472,3322,993702
2017-09-29,0.007912,0.008805,0.007172,0.007724,3708,996914
2017-09-28,0.007776,0.009813,0.007315,0.007918,4098,979755
2017-09-27,0.006256,0.010966,0.005328,0.007776,30968,788204
2017-09-26,0.005766,0.006594,0.004313,0.006273,23592,726536
2017-09-25,0.005114,0.005803,0.005058,0.005764,881,644339
2017-09-24,0.006251,0.006251,0.004881,0.005119,690,787659
2017-09-23,0.004961,0.006670,0.004961,0.006252,581,625048
2017-09-22,0.004730,0.005539,0.004725,0.004974,409,595930
2017-09-21,0.006114,0.006144,0.004204,0.004731,5008,770337
2017-09-20,0.006464,0.007075,0.005957,0.005971,1906,814483
2017-09-19,0.006098,0.006720,0.005884,0.006473,1702,768347
2017-09-18,0.006362,0.006811,0.004947,0.006083,2784,801610
2017-09-17,0.005846,0.006948,0.005625,0.006375,1649,736640
2017-09-16,0.007252,0.008136,0.005824,0.005850,834,913710
2017-09-15,0.006164,0.008053,0.005991,0.007431,1194,776634
2017-09-14,0.006098,0.007332,0.005826,0.006432,2535,768295
2017-09-13,0.007764,0.007792,0.005682,0.006097,4136,978264
2017-09-12,0.005782,0.007793,0.005782,0.007793,1164,728481
2017-09-11,0.007423,0.007760,0.005199,0.005777,1220,935344
2017-09-10,0.008438,0.008438,0.007091,0.007436,1739,1063220
2017-09-09,0.007533,0.008389,0.007177,0.008389,518,949184
