Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.010188,0.010199,0.006088,0.006455,20,-
2017-11-23,0.012849,0.013243,0.005539,0.010202,919,-
2017-11-22,0.017564,0.018168,0.011862,0.012855,2400,-
2017-11-21,0.003429,0.058194,0.003429,0.017520,5287,-
2017-11-20,0.005808,0.006411,0.003429,0.003429,28,-
2017-11-19,0.003738,0.005857,0.003694,0.005811,11,-
2017-11-18,0.003623,0.003773,0.002127,0.003745,4,-
2017-11-17,0.005756,0.005911,0.003637,0.003637,8,-
2017-11-16,0.004274,0.008022,0.004274,0.005772,114,-
2017-11-15,0.006307,0.007784,0.003516,0.004251,106,-
2017-11-14,0.001698,0.021504,0.001698,0.006303,452,-
2017-11-13,0.001997,0.002825,0.001497,0.001694,29,-
2017-11-12,0.002481,0.002481,0.001926,0.001994,5,-
2017-11-11,0.002568,0.002678,0.002430,0.002483,0,-
2017-11-10,0.001782,0.002628,0.001716,0.002577,7,-
2017-11-09,0.002890,0.002890,0.001771,0.001777,1,-
2017-11-08,0.001779,0.002894,0.001768,0.002893,13,-
2017-11-07,0.001991,0.002087,0.001759,0.001785,3,-
2017-11-06,0.003253,0.003263,0.001987,0.001994,23,-
2017-11-05,0.002112,0.003469,0.002112,0.003246,819,-
2017-11-04,0.002007,0.002033,0.001961,0.002013,3,-
2017-11-03,0.001784,0.002057,0.001773,0.002012,3,-
2017-11-02,0.002388,0.002505,0.001736,0.001787,15,-
2017-11-01,0.001698,0.002318,0.001678,0.002292,0,-
2017-10-31,0.001593,0.001699,0.001585,0.001699,12,-
2017-10-30,0.001756,0.001761,0.001583,0.001599,6,-
2017-10-29,0.001833,0.001885,0.001596,0.001767,6,-
2017-10-28,0.002042,0.002080,0.001623,0.001835,12,-
2017-10-27,0.001412,0.002071,0.001391,0.002037,16,-
2017-10-26,0.001615,0.001620,0.000919,0.001411,9,-
2017-10-25,0.001931,0.002139,0.001535,0.001615,2,-
2017-10-24,0.001457,0.002011,0.001386,0.001931,1,-
2017-10-23,0.000957,0.001489,0.000916,0.001460,91,-
2017-10-22,0.001143,0.001153,0.000936,0.000958,1,-
2017-10-21,0.001501,0.001537,0.001121,0.001142,1,-
2017-10-20,0.001633,0.001690,0.001438,0.001504,28,-
2017-10-19,0.002361,0.002411,0.001610,0.001632,2,-
2017-10-18,0.000840,0.000840,0.000802,0.000807,0,-
2017-10-17,0.000651,0.000919,0.000632,0.000840,1,-
2017-10-16,0.001999,0.002010,0.000637,0.000651,41,-
2017-10-15,0.002282,0.002333,0.001916,0.001999,1,-
2017-10-14,0.002210,0.002281,0.002182,0.002278,6,-
2017-10-13,0.001778,0.001993,0.001562,0.001609,8,-
2017-10-12,0.002194,0.002570,0.001688,0.001772,25,-
2017-10-11,0.002008,0.002197,0.001756,0.002192,14,-
2017-10-10,0.002174,0.002207,0.001993,0.002008,6,-
2017-10-09,0.001965,0.002254,0.001947,0.002174,26,-
2017-10-08,0.002025,0.002035,0.001882,0.001965,28,-
2017-10-07,0.002002,0.002240,0.001885,0.002030,9,-
2017-10-06,0.002121,0.002437,0.001946,0.002002,47,-
2017-10-05,0.001703,0.002142,0.001701,0.002121,158,-
2017-10-04,0.002721,0.002750,0.001700,0.001701,38,-
2017-10-03,0.002774,0.002790,0.002676,0.002715,4,-
2017-10-02,0.002768,0.002800,0.002482,0.002774,28,-
2017-10-01,0.002670,0.002770,0.002573,0.002770,24,-
2017-09-30,0.002210,0.002678,0.002088,0.002669,347,-
2017-09-29,0.003019,0.003560,0.002047,0.002210,827,-
2017-09-28,0.003019,0.003613,0.002972,0.003021,510,-
2017-09-27,0.002898,0.003254,0.002676,0.003019,128,-
2017-09-26,0.003094,0.003309,0.002656,0.002906,62,-
2017-09-25,0.003141,0.003152,0.002644,0.003094,25,-
2017-09-24,0.003093,0.003165,0.002888,0.003144,78,-
2017-09-23,0.002782,0.003526,0.002756,0.003093,66,-
2017-09-22,0.003246,0.005135,0.002672,0.002790,272,-
2017-09-21,0.002580,0.006005,0.002112,0.003249,780,-
2017-09-20,0.002387,0.002927,0.002380,0.002592,65,-
2017-09-19,0.002998,0.003014,0.002377,0.002390,15,-
2017-09-18,0.002645,0.003195,0.002645,0.002991,461,-
2017-09-17,0.002972,0.003003,0.002632,0.002853,109,-
2017-09-16,0.002895,0.003023,0.002332,0.002974,14,-
2017-09-15,0.002537,0.002980,0.002246,0.002903,115,-
2017-09-14,0.003970,0.004023,0.002492,0.002518,223,-
2017-09-13,0.005100,0.007429,0.003970,0.003970,98,-
2017-09-12,0.003263,0.005120,0.003263,0.005120,30,-
2017-09-11,0.003969,0.004376,0.003205,0.003264,32,-
2017-09-10,0.004197,0.004352,0.003877,0.003976,78,-
2017-09-09,0.004335,0.004629,0.003209,0.004193,127,-
2017-09-08,0.007478,0.007509,0.002843,0.004326,453,-
2017-09-07,0.024190,0.026029,0.005625,0.007477,138,-
2017-09-06,0.017286,0.027750,0.003307,0.024236,520,-
2017-09-05,0.004459,0.019974,0.004201,0.017267,508,-
2017-09-04,0.004665,0.005145,0.004194,0.004436,262,-
2017-09-03,0.005285,0.005767,0.004572,0.004664,41,-
2017-09-02,0.006000,0.006032,0.004643,0.005281,50,-
2017-09-01,0.005297,0.009096,0.005246,0.005992,95,-
2017-08-31,0.004004,0.011778,0.004001,0.005296,1374,-
2017-08-30,0.004726,0.004726,0.003978,0.004011,47,-
2017-08-29,0.004233,0.004775,0.003637,0.004732,114,-
2017-08-28,0.004573,0.004589,0.003898,0.004226,199,-
2017-08-27,0.005085,0.005095,0.003957,0.004568,99,-
2017-08-26,0.005119,0.005837,0.003939,0.005087,99,-
2017-08-25,0.005068,0.005246,0.002660,0.005109,205,-
2017-08-24,0.004438,0.005141,0.004161,0.005076,27,-
2017-08-23,0.004091,0.005923,0.004029,0.004436,265,-
2017-08-22,0.004431,0.008710,0.003184,0.004100,2217,-
2017-08-21,0.005293,0.005501,0.004401,0.004421,29,-
2017-08-20,0.004736,0.005775,0.004426,0.005332,16,-
2017-08-19,0.004369,0.005304,0.004284,0.004758,5,-
2017-08-18,0.004651,0.005512,0.004227,0.004373,16,-
2017-08-17,0.006437,0.008217,0.004568,0.004665,34,-
2017-08-16,0.004761,0.006965,0.004703,0.006445,228,-
2017-08-15,0.004914,0.017602,0.002082,0.004867,492,-
2017-08-14,0.004834,0.005469,0.004461,0.004901,181,-
2017-08-13,0.005777,0.006044,0.004831,0.004831,128,-
2017-08-12,0.005282,0.005793,0.004946,0.005783,52,-
2017-08-11,0.004977,0.005358,0.004951,0.005286,38,-
2017-08-10,0.003493,0.006382,0.003493,0.004977,274,-
2017-08-09,0.004324,0.004335,0.003320,0.003493,51,-
2017-08-08,0.004308,0.004579,0.003747,0.004327,43,-
2017-08-07,0.004131,0.004320,0.003072,0.004303,88,-
2017-08-06,0.004449,0.004449,0.003639,0.004140,26,-
2017-08-05,0.003338,0.004931,0.003301,0.004448,37,-
2017-08-04,0.003093,0.003709,0.002879,0.003339,79,-
2017-08-03,0.003619,0.004974,0.003007,0.003094,90,-
2017-08-02,0.004604,0.004720,0.003366,0.003612,18,-
2017-08-01,0.004487,0.007155,0.004221,0.004605,116,-
2017-07-31,0.005038,0.005579,0.004350,0.004484,76,-
2017-07-30,0.005915,0.006331,0.004222,0.005033,210,-
2017-07-29,0.006090,0.006107,0.004421,0.005916,99,-
2017-07-28,0.006798,0.006992,0.005463,0.006113,647,-
2017-07-27,0.007645,0.007680,0.004141,0.006778,101,-
2017-07-26,0.007192,0.007861,0.002949,0.007624,191,-
2017-07-25,0.010060,0.011032,0.006893,0.007189,310,-
2017-07-24,0.013212,0.013255,0.009597,0.010061,631,-
2017-07-23,0.010689,0.013454,0.009913,0.013227,699,-
2017-07-22,0.014526,0.018395,0.010689,0.010689,1498,-
2017-07-21,0.015853,0.016193,0.013639,0.014528,1477,-
2017-07-20,0.012415,0.016435,0.012317,0.015736,542,-
2017-07-19,0.012637,0.013001,0.011698,0.012452,211,-
2017-07-18,0.011813,0.013170,0.010651,0.012617,469,-
2017-07-17,0.011801,0.014082,0.009563,0.011783,612,-
2017-07-16,0.010962,0.013615,0.008985,0.011814,413,-
2017-07-15,0.009951,0.015935,0.008843,0.010995,685,-
2017-07-14,0.009755,0.011991,0.009439,0.009968,583,-
2017-07-13,0.011638,0.011659,0.007606,0.009763,410,-
2017-07-12,0.008605,0.019237,0.006876,0.011631,1829,-
2017-07-11,0.007921,0.018674,0.007129,0.008583,258,-
2017-07-10,0.009536,0.009739,0.007903,0.007938,277,-
2017-07-09,0.015992,0.016042,0.009058,0.009517,442,-
2017-07-08,0.008069,0.020084,0.007912,0.015978,821,-
2017-07-07,0.011186,0.011198,0.007982,0.008062,246,-
2017-07-06,0.011150,0.011621,0.010677,0.011171,139,-
2017-07-05,0.012546,0.012548,0.011028,0.011072,186,-
2017-07-04,0.012719,0.013702,0.012509,0.012663,93,-
2017-07-03,0.012469,0.013689,0.012449,0.012845,270,-
2017-07-02,0.013330,0.013345,0.011960,0.012515,171,-
2017-07-01,0.014243,0.014905,0.013212,0.013332,120,-
2017-06-30,0.014138,0.015263,0.013648,0.014249,348,-
2017-06-29,0.015866,0.016858,0.013634,0.014110,117,-
2017-06-28,0.017518,0.017518,0.014947,0.015880,121,-
2017-06-27,0.016987,0.019444,0.012234,0.017405,271,-
2017-06-26,0.023467,0.025960,0.016174,0.016595,99,-
2017-06-25,0.030830,0.031291,0.022745,0.023479,340,-
2017-06-24,0.036171,0.036651,0.030054,0.030901,712,-
2017-06-23,0.034813,0.040565,0.025634,0.036175,969,-
2017-06-22,0.034462,0.041260,0.032905,0.034813,597,-
2017-06-21,0.036160,0.038445,0.030911,0.034489,496,-
2017-06-20,0.037348,0.042044,0.033223,0.036083,233,-
2017-06-19,0.042305,0.046723,0.035746,0.037348,265,-
2017-06-18,0.047178,0.048526,0.042056,0.042305,1122,-
2017-06-17,0.035890,0.051386,0.033695,0.046773,1655,-
2017-06-16,0.041719,0.044146,0.036518,0.039149,1114,-
2017-06-15,0.037837,0.051348,0.029078,0.044707,1903,-
2017-06-14,0.036450,0.039448,0.032960,0.037838,1939,-
