Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,1.06,1.06,1.05,1.05,11,104402
2017-11-23,1.06,1.06,1.04,1.04,1,104177
2017-11-22,1.04,1.06,1.03,1.06,226,102211
2017-11-21,1.06,1.07,1.02,1.04,19,104375
2017-11-20,1.04,1.07,1.02,1.06,0,101867
2017-11-19,1.02,1.04,1.02,1.04,2,100668
2017-11-15,0.835244,0.860177,0.835244,0.860177,8,82198
2017-11-14,0.824325,0.849063,0.811872,0.834672,8,81123
2017-11-13,0.627648,0.822583,0.622758,0.822583,1,61768
2017-11-12,0.669464,0.692208,0.605296,0.626736,11,65883
2017-11-11,0.702918,0.728061,0.702061,0.718763,1,69176
2017-11-10,0.762146,0.784136,0.689736,0.705429,1,75004
2017-11-09,0.767047,0.773728,0.757355,0.759890,8,75487
2017-11-08,0.760785,0.805961,0.756262,0.795437,2,74870
2017-11-07,0.730693,0.771266,0.730693,0.763182,5,71909
2017-11-06,0.766771,0.779582,0.729206,0.731865,15,75459
2017-11-04,0.821974,0.851083,0.803126,0.848709,6,80892
2017-11-03,0.833925,1.02,0.815713,0.824117,13,82068
2017-11-02,0.771705,0.778899,0.771705,0.775003,2,75945
2017-11-01,0.768503,0.772263,0.730072,0.770845,2,75630
2017-10-31,0.647957,0.769066,0.647152,0.769066,1,63767
2017-10-30,0.768138,0.775600,0.753004,0.761685,1,75594
2017-10-29,0.607467,0.777281,0.605889,0.772626,4,59782
2017-10-27,0.618173,0.629671,0.598868,0.603910,6,60836
2017-10-26,0.624425,0.625825,0.609181,0.618030,6,61451
2017-10-25,0.579974,0.591668,0.565623,0.578899,2,57076
2017-10-24,0.824641,0.824641,0.576526,0.579741,8,81155
2017-10-23,0.803019,0.842749,0.596659,0.826458,85,79027
2017-10-22,0.794092,0.806321,0.723004,0.804314,239,78148
2017-10-21,0.829311,0.844953,0.823544,0.844953,7,81614
2017-10-20,0.787801,0.843911,0.776183,0.831058,11,77529
2017-10-19,0.771600,0.792855,0.764530,0.787580,1,75935
2017-10-18,0.795080,0.795101,0.709090,0.771200,7,78245
2017-10-17,0.798144,0.802134,0.764557,0.795025,2,78547
2017-10-16,0.786051,0.802188,0.768835,0.798020,2,77357
2017-10-15,0.808118,0.810729,0.753447,0.785946,36,79528
2017-10-14,0.781558,0.807792,0.773003,0.806674,1,76915
2017-10-13,0.749837,1.22,0.745042,0.781346,166,73793
2017-10-12,0.965151,1.13,0.724269,0.747534,173,94982
2017-10-11,1.00,1.00,0.601386,0.964334,1,98425
2017-10-10,1.01,1.03,0.825382,1.00,49,98913
2017-10-09,0.832920,1.02,0.824793,1.01,947,81969
2017-10-08,0.890899,0.912002,0.820573,0.832708,6,87675
2017-10-07,0.787466,0.895390,0.781512,0.893287,56,77496
2017-10-06,0.863653,0.883819,0.755488,0.787212,150,84994
2017-10-05,0.844156,0.871873,0.735997,0.863656,21,83075
2017-10-04,0.717285,0.869139,0.713194,0.843393,298,70589
2017-10-03,0.628285,0.860316,0.613354,0.715625,31,61831
2017-10-02,0.652525,0.882659,0.624621,0.628262,245,64216
2017-10-01,0.643078,0.862819,0.632006,0.652812,1093,63287
2017-09-30,0.792682,0.826516,0.616772,0.642731,92,78009
2017-09-29,0.440372,0.904105,0.425098,0.792581,2494,43338
2017-09-28,0.519667,0.527913,0.434653,0.440712,8,51142
2017-09-27,0.486814,0.521766,0.425250,0.519648,10,47908
2017-09-26,0.552557,0.553280,0.393088,0.488176,34,54378
2017-09-25,0.488609,0.557702,0.380892,0.552612,29,48085
2017-09-24,0.504137,0.504137,0.484215,0.489104,1,49613
2017-09-23,0.479947,0.553390,0.475340,0.504180,25,47233
2017-09-22,0.481647,0.500237,0.470323,0.481305,5,47400
2017-09-21,0.813825,0.819294,0.448373,0.482199,90,80090
2017-09-20,0.500665,0.901617,0.485507,0.817840,98,49271
2017-09-19,0.411005,1.12,0.393942,0.501334,3251,40448
2017-09-18,0.333596,0.681500,0.333596,0.410013,733,32830
2017-09-17,0.335301,0.343006,0.314996,0.334262,0,32998
2017-09-16,0.334653,0.350135,0.320916,0.335530,20,32934
2017-09-15,0.567809,0.607070,0.270549,0.335528,119,55879
2017-09-14,0.456607,1.81,0.253180,0.563418,5691,44936
2017-09-13,0.482512,0.484268,0.439188,0.456631,6,47485
2017-09-12,0.419129,0.498976,0.419129,0.484354,24,41247
2017-09-11,0.366434,0.426698,0.361692,0.418728,20,36062
2017-09-10,0.398478,0.398478,0.388101,0.389184,1,39215
2017-09-09,0.395270,0.405535,0.386868,0.399505,1,38899
2017-09-08,0.426310,0.432194,0.381312,0.384663,0,41954
2017-09-07,0.425383,0.428101,0.416367,0.426225,0,41863
2017-09-06,0.410542,0.444417,0.407715,0.426198,1,40402
2017-09-04,0.425686,0.425995,0.396366,0.403751,2,41893
2017-09-03,0.417396,0.427919,0.395448,0.425544,15,41077
2017-09-02,0.411932,0.418823,0.397229,0.417127,20,40539
2017-09-01,0.413073,0.428932,0.409067,0.424358,12,40651
2017-08-31,0.399238,0.415274,0.399169,0.412998,12,39290
2017-08-30,0.400608,0.416103,0.396670,0.399936,24,39425
2017-08-29,0.394645,0.417512,0.391101,0.413650,0,38838
2017-08-28,0.390660,0.395339,0.390660,0.393975,0,38446
2017-08-27,0.390623,0.395793,0.388449,0.391203,1,38442
2017-08-26,0.380767,0.393628,0.380767,0.390710,14,37472
2017-08-25,0.377424,0.387776,0.374792,0.380652,6,37143
2017-08-24,0.319546,0.380778,0.319207,0.378019,93,31447
2017-08-23,0.314995,0.382767,0.313920,0.319408,39,30999
2017-08-22,0.326516,0.326516,0.295651,0.315639,3,32133
2017-08-21,0.339357,0.341961,0.325093,0.325761,8,33397
2017-08-20,0.413993,0.486679,0.285598,0.340650,1080,40742
2017-08-19,0.447815,0.614631,0.279452,0.333264,4003,44070
2017-08-18,0.385183,0.391875,0.373485,0.375304,2,37907
2017-08-17,0.416940,0.433770,0.284990,0.386364,566,41032
2017-08-16,0.369889,0.417399,0.351736,0.417325,35,36401
2017-08-15,0.675624,0.691249,0.356555,0.369482,17,66490
2017-08-14,0.568676,0.674226,0.392594,0.673812,19,55965
2017-08-13,0.541484,0.586534,0.348151,0.568315,100,53289
2017-08-12,0.387668,0.554308,0.387668,0.541987,74,38151
2017-08-11,0.364943,0.381811,0.363329,0.381311,0,35915
2017-08-10,0.357131,0.367877,0.354514,0.364965,1,35146
2017-08-09,0.301502,0.360094,0.290408,0.357097,11,29671
2017-08-08,0.302066,0.308440,0.299569,0.306346,108,29727
2017-08-07,0.335507,0.337059,0.287957,0.301761,217,33018
2017-08-06,0.333517,0.341871,0.327594,0.336259,0,32822
2017-08-05,0.452851,0.500443,0.317725,0.333437,136,44566
2017-08-04,0.451744,0.455709,0.448696,0.453052,1,44457
2017-08-03,0.429690,0.439432,0.429420,0.437418,52,42287
2017-08-02,0.431930,0.437621,0.422285,0.428923,77,42507
2017-08-01,0.454706,0.462125,0.422227,0.433324,1,44749
2017-07-31,0.684459,0.689442,0.437317,0.454486,7,67359
2017-07-30,0.716578,0.717979,0.524255,0.683757,5,70520
2017-07-29,0.733366,0.735371,0.703889,0.716679,17,72172
2017-07-28,0.592106,0.737951,0.536916,0.736157,26,58270
2017-07-27,0.555458,0.595993,0.507119,0.590315,4,54664
2017-07-26,0.537323,0.561498,0.385167,0.553886,29,52879
2017-07-25,0.519628,0.560110,0.395038,0.537079,35,51138
2017-07-24,0.512727,0.526944,0.508540,0.519684,11,50458
2017-07-23,0.431532,0.532597,0.431532,0.513323,1,42468
2017-07-22,0.406652,0.438904,0.404705,0.431531,7,40019
2017-07-21,0.533222,0.534988,0.399096,0.406734,3,52475
2017-07-20,0.354610,0.545998,0.354610,0.529297,2,34898
2017-07-19,0.433600,0.450309,0.353039,0.355679,2,42671
2017-07-18,0.418189,0.434677,0.404945,0.432911,0,41155
2017-07-17,0.363067,0.417800,0.363067,0.417113,6,35730
2017-07-16,0.386530,0.399398,0.289072,0.363470,61,38039
2017-07-15,0.335052,0.409171,0.305912,0.387695,5,32973
2017-07-14,0.454439,0.456531,0.325898,0.335628,0,44722
2017-07-13,0.360351,0.459591,0.355532,0.454772,4,35463
2017-07-12,0.348264,0.363116,0.339298,0.360082,91,34273
2017-07-11,0.292543,0.471773,0.292140,0.350002,20,28790
2017-07-10,0.718971,0.864961,0.285104,0.293167,1766,70755
2017-07-09,0.713823,0.733338,0.440228,0.717574,4,70249
2017-07-08,0.430808,0.719516,0.426024,0.713184,5,42397
2017-07-07,0.718590,0.719920,0.422370,0.430446,157,70718
2017-07-06,0.719435,0.720106,0.710411,0.718063,2,70801
2017-07-05,0.440316,0.440316,0.429132,0.436752,0,43332
2017-07-04,0.417843,0.443731,0.417843,0.440554,19,41121
2017-07-03,0.732953,0.735293,0.400609,0.418795,21,72131
2017-07-02,0.713480,0.738732,0.708779,0.735662,1,70215
2017-07-01,0.401723,0.408694,0.397087,0.407081,0,39534
2017-06-30,0.757531,0.760483,0.400291,0.401877,41,74550
2017-06-29,0.725381,0.771427,0.709179,0.756026,123,71386
2017-06-28,0.710553,0.735662,0.705647,0.726054,170,69927
2017-06-26,0.711368,0.712062,0.707999,0.708027,32,70007
2017-06-25,0.729044,0.742997,0.691438,0.711739,32,71747
2017-06-24,0.370004,0.767932,0.370004,0.730720,12,36413
2017-06-23,0.710258,0.776734,0.369398,0.370046,1,69898
2017-06-22,0.712681,0.712681,0.710258,0.710258,4,70136
2017-06-21,0.319795,0.319795,0.319795,0.319795,2,31472
2017-06-20,0.718926,0.721249,0.319795,0.319795,10,70751
2017-06-19,0.334133,0.718926,0.334133,0.718926,0,32883
2017-06-18,0.747353,0.747353,0.334133,0.334133,1,73549
2017-06-17,0.748377,0.748377,0.747353,0.747353,1,73649
2017-06-16,0.721721,0.748377,0.692908,0.748377,0,71026
2017-06-15,0.734385,0.748423,0.636045,0.722254,7,72272
2017-06-14,0.811413,0.831003,0.378925,0.734418,4,79853
2017-06-13,0.789767,0.816056,0.765120,0.811888,10,77723
2017-06-12,0.889357,0.892046,0.752685,0.792418,265,87523
2017-06-11,0.838236,0.891545,0.433745,0.890540,25,82492
2017-06-10,0.562017,0.869642,0.300982,0.838720,768,55309
2017-06-09,0.177042,0.561409,0.176307,0.561174,983,17423
2017-06-08,0.271678,0.282560,0.170839,0.177323,27,26736
2017-06-07,0.278552,0.284217,0.265511,0.270319,1,27413
2017-06-06,0.169853,0.284210,0.169853,0.278481,27,16716
2017-06-05,0.259155,0.265767,0.156906,0.169340,46,25504
2017-06-04,0.259699,0.260108,0.254985,0.259109,0,25558
2017-06-03,0.257513,0.264769,0.252937,0.264769,1,25342
2017-06-02,0.144172,0.257626,0.142397,0.257626,1,14188
2017-06-01,0.137312,0.246630,0.137312,0.144107,3,13513
2017-05-31,0.131408,0.235721,0.129790,0.137191,18,12932
2017-05-30,0.198175,0.201752,0.129374,0.130895,11,19503
2017-05-29,0.179650,0.202152,0.179650,0.197945,3,17680
2017-05-28,0.184707,0.186174,0.172962,0.180015,4,18177
2017-05-27,0.268425,0.276467,0.226186,0.243220,1,26416
2017-05-26,0.287722,0.324628,0.203077,0.267536,10,28315
2017-05-25,0.223077,0.347011,0.221380,0.289849,24,21953
2017-05-24,0.267107,0.293623,0.267107,0.291257,6,26287
2017-05-23,0.158911,0.267549,0.158911,0.266785,16,15639
2017-05-22,0.159178,0.169528,0.152508,0.159143,24,15665
2017-05-17,0.208647,0.218766,0.206452,0.216826,0,20533
2017-05-16,0.130206,0.210482,0.126947,0.208703,0,12814
2017-05-15,0.131943,0.131943,0.127437,0.130399,1,12985
2017-05-14,0.229505,0.234050,0.228358,0.229241,25,22586
2017-05-13,0.172945,0.229247,0.164784,0.228773,25,17020
2017-05-12,0.172316,0.176636,0.169987,0.173303,1,16958
2017-05-11,0.226931,0.239610,0.224451,0.239229,37,22333
2017-05-10,0.171464,0.228175,0.167943,0.226524,35,16874
2017-05-09,0.087908,0.178445,0.087555,0.171381,0,8651
2017-05-08,0.155983,0.163079,0.084338,0.087892,0,15351
2017-05-07,0.143406,0.155983,0.093586,0.155983,58,14113
2017-05-06,0.139990,0.141707,0.138825,0.140417,72,13777
2017-05-05,0.148508,0.156250,0.137728,0.139990,72,14615
2017-05-04,0.150734,0.153784,0.144374,0.148508,1,14834
2017-05-03,0.130855,0.132226,0.130456,0.130592,0,12878
2017-05-02,0.127893,0.132666,0.127412,0.130770,0,12586
2017-05-01,0.123071,0.129089,0.122628,0.128025,1,12112
2017-04-30,0.124936,0.124979,0.124361,0.124541,1,12295
2017-04-29,0.118483,0.125209,0.118483,0.124936,1,11660
2017-04-28,0.118679,0.118710,0.116313,0.118483,8,11679
2017-04-27,0.115382,0.117638,0.115330,0.117638,0,11355
2017-04-26,0.131636,0.132950,0.114852,0.115311,15,12955
2017-04-25,0.112526,0.131831,0.112510,0.131636,1,11074
2017-04-24,0.109616,0.112597,0.109607,0.112544,1,10788
2017-04-20,0.108926,0.109491,0.108757,0.109466,29,10720
2017-04-19,0.116243,0.121700,0.108457,0.108926,32,11440
2017-04-18,0.108109,0.116614,0.108096,0.116200,0,10639
2017-04-17,0.106229,0.108198,0.106229,0.108109,0,10454
2017-04-16,0.105535,0.106376,0.105535,0.106084,8,10386
