Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.012385,0.017143,0.012385,0.017039,935,69140
2017-11-23,0.011204,0.012678,0.011097,0.012402,24,62546
2017-11-22,0.012528,0.014686,0.011221,0.011245,9,69934
2017-11-21,0.012673,0.014592,0.012424,0.012506,22,70742
2017-11-20,0.020255,0.020342,0.010352,0.012674,642,113067
2017-11-19,0.022410,0.022863,0.016013,0.020373,18,125094
2017-11-18,0.016987,0.022567,0.015968,0.022450,53,94819
2017-11-17,0.017342,0.019249,0.016724,0.017052,30,96802
2017-11-16,0.018496,0.019840,0.017107,0.017371,996,103243
2017-11-15,0.019374,0.021354,0.016946,0.018326,12,108142
2017-11-14,0.018286,0.019439,0.014703,0.019342,135,102069
2017-11-13,0.011664,0.018353,0.011664,0.018248,151,65100
2017-11-12,0.013345,0.015332,0.011250,0.011647,22,74477
2017-11-11,0.015714,0.016850,0.012999,0.013347,6,87694
2017-11-10,0.015093,0.016722,0.013547,0.015770,5,84227
2017-11-09,0.012290,0.019283,0.012203,0.015014,377,68584
2017-11-08,0.013521,0.015787,0.011874,0.012301,95,75446
2017-11-07,0.012526,0.013707,0.012526,0.013563,0,69896
2017-11-06,0.014024,0.014065,0.012501,0.012546,16,78253
2017-11-05,0.021985,0.023532,0.013346,0.013993,3,122673
2017-11-04,0.016541,0.022100,0.013782,0.021326,22,92294
2017-11-03,0.014161,0.017335,0.013729,0.016581,92,79010
2017-11-02,0.014904,0.020797,0.010287,0.014179,388,83157
2017-11-01,0.019488,0.019523,0.012187,0.014883,958,108729
2017-10-31,0.017141,0.022773,0.017004,0.019529,22,95635
2017-10-30,0.016075,0.018555,0.015736,0.017204,228,89686
2017-10-29,0.016572,0.021562,0.016122,0.016168,4,92460
2017-10-28,0.019870,0.020217,0.016569,0.016655,48,110861
2017-10-27,0.019461,0.021491,0.017443,0.019819,149,108572
2017-10-26,0.030917,0.037988,0.017687,0.019528,30,172487
2017-10-25,0.023637,0.036758,0.023039,0.030919,24,131870
2017-10-24,0.028614,0.035429,0.019015,0.023614,14,159633
2017-10-23,0.025415,0.037166,0.024079,0.028785,168,141785
2017-10-22,0.025553,0.026562,0.024633,0.025478,17,142554
2017-10-21,0.021401,0.026311,0.021303,0.025546,342,119386
2017-10-20,0.017171,0.021802,0.017118,0.021442,23,95789
2017-10-19,0.019250,0.021104,0.016907,0.017166,13,107388
2017-10-18,0.017474,0.017475,0.016020,0.016296,2,97481
2017-10-17,0.021670,0.021732,0.016987,0.017473,69,120881
2017-10-16,0.021288,0.021780,0.016756,0.021666,63,118745
2017-10-15,0.019767,0.021411,0.019520,0.021285,3,110258
2017-10-14,0.020190,0.020392,0.019280,0.019737,1,112617
2017-10-13,0.022416,0.022512,0.019212,0.020185,50,125027
2017-10-12,0.021900,0.022447,0.016937,0.022347,542,122144
2017-10-11,0.022670,0.022900,0.021849,0.021882,23,126430
2017-10-10,0.024888,0.026316,0.022469,0.022673,694,138793
2017-10-09,0.025085,0.025373,0.023986,0.024890,99,139886
2017-10-08,0.024281,0.025645,0.024281,0.025079,1271,135392
2017-10-07,0.024363,0.024983,0.023705,0.024349,142,135843
2017-10-06,0.024472,0.025044,0.024078,0.024354,975,136442
2017-10-05,0.024020,0.028104,0.023535,0.024472,43,133915
2017-10-04,0.025994,0.026117,0.023770,0.023998,503,144909
2017-10-03,0.033021,0.033209,0.024908,0.025934,1648,184075
2017-10-02,0.026474,0.033167,0.025465,0.033020,731,147574
2017-10-01,0.024722,0.033495,0.024719,0.026485,462,137804
2017-09-30,0.023906,0.024709,0.023883,0.024709,327,133248
2017-09-29,0.023946,0.024746,0.023115,0.023903,4,133469
2017-09-28,0.024654,0.026455,0.023850,0.023964,252,137411
2017-09-27,0.024725,0.027481,0.022476,0.024656,58,137798
2017-09-26,0.022495,0.026180,0.022108,0.025222,215,125359
2017-09-25,0.020657,0.024763,0.019808,0.022497,367,115107
2017-09-24,0.020160,0.020732,0.015185,0.020677,83,112335
2017-09-23,0.014936,0.023325,0.014793,0.020160,513,83220
2017-09-22,0.020506,0.020875,0.014871,0.014978,183,114246
2017-09-21,0.024556,0.025952,0.015545,0.020529,579,136800
2017-09-20,0.027395,0.027868,0.022987,0.024677,443,152607
2017-09-19,0.034915,0.035100,0.022899,0.027432,1459,194486
2017-09-18,0.031438,0.040606,0.031438,0.034831,381,175106
2017-09-17,0.028599,0.034153,0.023027,0.031500,1363,159285
2017-09-16,0.021477,0.030369,0.021452,0.028619,133,119605
2017-09-15,0.023165,0.035567,0.023165,0.034587,2837,128994
2017-09-14,0.021752,0.036852,0.019847,0.022986,1531,121114
2017-09-13,0.026429,0.026626,0.021750,0.021750,166,147144
2017-09-12,0.019008,0.038962,0.016238,0.026528,3334,105820
2017-09-11,0.017588,0.019077,0.015463,0.018990,517,97904
2017-09-10,0.021848,0.021848,0.014158,0.017618,1146,121606
2017-09-09,0.024717,0.025259,0.018466,0.021905,302,137565
2017-09-08,0.030722,0.033495,0.020723,0.024670,1562,170970
2017-09-07,0.033510,0.039628,0.026945,0.030716,899,186469
2017-09-06,0.033337,0.036255,0.030844,0.033574,409,185493
2017-09-05,0.031865,0.037395,0.030850,0.033299,113,177288
2017-09-04,0.031669,0.041282,0.031555,0.031700,1313,176183
2017-09-03,0.032819,0.057123,0.031621,0.031644,3457,182567
2017-09-02,0.025515,0.032589,0.025513,0.032589,4256,141925
2017-09-01,0.018789,0.031745,0.018789,0.025484,2772,104505
2017-08-31,0.019513,0.030433,0.018770,0.018786,3149,108521
2017-08-30,0.016440,0.019939,0.016385,0.019547,422,91421
2017-08-29,0.019706,0.023306,0.014787,0.016462,1743,109572
2017-08-28,0.023171,0.031208,0.019217,0.019672,106,128828
2017-08-27,0.019250,0.031877,0.015209,0.023195,6978,107018
2017-08-26,0.018081,0.019295,0.015436,0.019254,197,100511
2017-08-25,0.017427,0.028867,0.015140,0.018075,918,96867
2017-08-24,0.023011,0.028812,0.016921,0.017455,1254,127896
2017-08-23,0.015323,0.028342,0.015104,0.022657,4327,85156
2017-08-22,0.016840,0.016874,0.014537,0.015354,19,93581
2017-08-21,0.016219,0.016997,0.013848,0.016808,120,90123
2017-08-20,0.015369,0.017888,0.010465,0.016281,767,85392
2017-08-19,0.012583,0.017979,0.012251,0.015397,14,69905
2017-08-18,0.019152,0.019526,0.009707,0.012561,1216,106390
2017-08-17,0.020496,0.020664,0.017541,0.019211,279,113842
2017-08-16,0.014413,0.020518,0.013706,0.020515,401,80050
2017-08-15,0.019861,0.020082,0.012747,0.014398,1552,110296
2017-08-14,0.015842,0.020160,0.012975,0.019808,922,87966
2017-08-13,0.014195,0.017006,0.014195,0.015832,86,78813
2017-08-12,0.014930,0.019566,0.013172,0.014208,433,82886
2017-08-11,0.015382,0.015431,0.012590,0.014941,158,85391
2017-08-10,0.017540,0.020089,0.012278,0.015383,846,97360
2017-08-09,0.013988,0.020344,0.012758,0.017539,809,77637
2017-08-08,0.012377,0.017822,0.011948,0.013998,3623,68689
2017-08-07,0.011637,0.014465,0.011637,0.012365,82,64578
2017-08-06,0.017089,0.017279,0.011488,0.011663,533,94829
2017-08-05,0.011196,0.022290,0.011103,0.017085,590,62124
2017-08-04,0.012834,0.013325,0.010196,0.011201,20,71207
2017-08-03,0.015854,0.017790,0.010989,0.012835,398,87957
2017-08-02,0.013182,0.020353,0.010589,0.015810,665,73125
2017-08-01,0.011135,0.013981,0.010450,0.013184,162,61769
2017-07-31,0.012415,0.013658,0.009720,0.011130,256,68865
2017-07-30,0.014047,0.018439,0.011697,0.012390,412,77910
2017-07-29,0.017475,0.019223,0.013419,0.014039,219,96918
2017-07-28,0.018414,0.019928,0.013396,0.017542,1030,102117
2017-07-27,0.021687,0.021937,0.013210,0.018358,2312,120254
2017-07-26,0.008006,0.031608,0.008006,0.021627,3780,44388
2017-07-25,0.007801,0.012871,0.007379,0.008002,537,43243
2017-07-24,0.007148,0.008719,0.006830,0.007801,925,39623
2017-07-23,0.008279,0.009071,0.006892,0.007157,269,45884
2017-07-22,0.006742,0.008287,0.006444,0.008279,1077,37359
2017-07-21,0.007165,0.012322,0.006743,0.006743,617,39697
2017-07-20,0.012584,0.015187,0.006938,0.007112,1176,69713
2017-07-19,0.029510,0.029510,0.012546,0.012622,2034,163450
2017-07-18,0.017928,0.030669,0.017584,0.029464,2020,99284
2017-07-17,0.022481,0.027002,0.015922,0.017882,1022,124480
2017-07-16,0.014964,0.024814,0.014151,0.022506,2543,82842
2017-07-15,0.040245,0.045038,0.011256,0.015008,3040,222761
2017-07-14,0.022731,0.069226,0.015116,0.040294,27070,125793
2017-07-13,0.004182,0.021016,0.003239,0.021016,11615,23141
2017-07-12,0.003575,0.004185,0.002624,0.004178,392,19776
2017-07-11,0.003630,0.004015,0.002661,0.003592,124,20080
2017-07-10,0.002868,0.004421,0.002655,0.003638,308,15863
