Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.228826,0.230000,0.164344,0.225820,3525,1040340
2017-11-23,0.150110,0.230588,0.145055,0.229139,7806,682396
2017-11-22,0.154087,0.157818,0.149204,0.150158,257,700404
2017-11-21,0.144225,0.159032,0.136433,0.153713,94,655511
2017-11-20,0.153468,0.163461,0.137853,0.144199,1650,697453
2017-11-19,0.180291,0.180610,0.133941,0.153540,1075,819280
2017-11-18,0.184482,0.184482,0.147050,0.180623,718,838240
2017-11-17,0.136733,0.185192,0.136133,0.185192,3379,621216
2017-11-16,0.159553,0.159553,0.127481,0.136957,213,724821
2017-11-15,0.125056,0.160653,0.114798,0.158723,3677,568053
2017-11-14,0.149230,0.151591,0.102865,0.124971,4051,677797
2017-11-13,0.157338,0.174427,0.126984,0.148915,1137,714548
2017-11-12,0.154450,0.157537,0.114464,0.157109,1054,701364
2017-11-11,0.170186,0.184617,0.151305,0.154691,3828,772746
2017-11-10,0.102996,0.215652,0.102996,0.170795,7916,467616
2017-11-09,0.088115,0.134216,0.086014,0.102699,1961,400013
2017-11-08,0.106530,0.117404,0.088179,0.088206,2317,483562
2017-11-07,0.101182,0.122273,0.101182,0.106865,1412,459242
2017-11-06,0.127505,0.127899,0.080325,0.101344,1067,578660
2017-11-05,0.113824,0.140843,0.074842,0.127222,2859,516520
2017-11-04,0.111087,0.142839,0.104805,0.114040,152,504048
2017-11-03,0.133654,0.145445,0.110241,0.111377,55,606385
2017-11-02,0.125054,0.134474,0.096997,0.133829,3301,567312
2017-11-01,0.156008,0.156899,0.119036,0.124916,3756,707662
2017-10-31,0.142563,0.181647,0.120541,0.156122,1925,646610
2017-10-30,0.152077,0.181494,0.109662,0.143071,3241,689686
2017-10-29,0.160999,0.171927,0.087439,0.153089,4619,730078
2017-10-28,0.129166,0.219765,0.129166,0.161203,4607,585663
2017-10-27,0.091422,0.174657,0.091351,0.128840,5137,414483
2017-10-26,0.124554,0.124554,0.082612,0.091401,2102,564640
2017-10-25,0.122552,0.152228,0.060782,0.124570,2425,555509
2017-10-24,0.088800,0.153722,0.086319,0.122504,974,402476
2017-10-23,0.169805,0.171040,0.088996,0.088996,2591,769550
2017-10-22,0.152578,0.182520,0.090901,0.162424,4365,691415
2017-10-21,0.176195,0.177405,0.126719,0.152427,2510,798356
2017-10-20,0.171990,0.181409,0.152626,0.177129,119,779224
2017-10-19,0.134094,0.172962,0.124517,0.171896,2898,607473
2017-10-18,0.131617,0.149627,0.126726,0.134025,761,596197
2017-10-17,0.132976,0.137019,0.127601,0.131608,207,602291
2017-10-16,0.124026,0.138267,0.124026,0.132955,138,561701
2017-10-15,0.160559,0.161077,0.093065,0.124010,407,727078
2017-10-14,0.176730,0.179324,0.154291,0.163484,1895,800229
2017-10-13,0.176846,0.218449,0.170429,0.176581,1393,800675
2017-10-12,0.150998,0.202827,0.148223,0.176221,10026,683578
2017-10-11,0.171650,0.210019,0.150926,0.150926,4478,776990
2017-10-10,0.237275,0.237275,0.171679,0.171679,2140,1073940
2017-10-09,0.235479,0.242625,0.229744,0.237260,2026,1065710
2017-10-08,0.220225,0.259057,0.220225,0.235419,1159,996587
2017-10-07,0.265142,0.265873,0.214792,0.220816,1801,1199740
2017-10-06,0.265516,0.268973,0.220260,0.265057,688,1201320
2017-10-05,0.253285,0.268141,0.210715,0.265518,2878,1145870
2017-10-04,0.244581,0.270384,0.205697,0.231968,2127,1106390
2017-10-03,0.255489,0.267999,0.242180,0.244015,205,1155620
2017-10-02,0.317940,0.319609,0.254046,0.255479,1795,1437950
2017-10-01,0.361834,0.363457,0.287735,0.318078,7185,1636310
2017-09-30,0.338767,0.363887,0.323014,0.361639,5762,1531840
2017-09-29,0.356457,0.357655,0.312642,0.338724,6289,1611680
2017-09-28,0.355701,0.379294,0.321055,0.356733,5915,1608100
2017-09-27,0.279979,0.387063,0.275729,0.295061,8360,1265650
2017-09-26,0.257005,0.286136,0.233547,0.280762,11997,1161680
2017-09-25,0.226536,0.257817,0.226342,0.257030,11057,1023950
2017-08-20,0.100731,0.100731,0.098406,0.099266,498,422499
2017-08-19,0.103338,0.106799,0.098936,0.101204,508,433434
2017-08-18,0.160579,0.163368,0.155702,0.156759,862,673518
2017-08-17,0.092209,0.163452,0.089276,0.161071,1257,386757
2017-08-16,0.104009,0.153882,0.086036,0.092295,234,436248
2017-08-15,0.109907,0.111937,0.096719,0.103895,105,460985
2017-08-14,0.135386,0.143056,0.107039,0.109612,381,567844
2017-08-13,0.154710,0.209076,0.132233,0.135299,979,648856
2017-08-12,0.251874,0.263680,0.129528,0.154853,1229,1034940
2017-08-11,0.071738,0.256678,0.071421,0.252070,2574,294720
2017-08-10,0.131480,0.135526,0.071743,0.071743,1440,540078
2017-08-09,0.134835,0.135158,0.068690,0.131467,602,553012
2017-08-08,0.057727,0.138020,0.057250,0.134926,523,236722
2017-08-07,0.126230,0.145186,0.032333,0.057669,907,517546
2017-08-06,0.155236,0.157035,0.125603,0.126513,1139,634524
2017-08-05,0.138569,0.159901,0.109822,0.155198,10064,566283
2017-08-04,0.122822,0.146775,0.113512,0.138632,3930,501825
2017-08-03,0.183793,0.185123,0.109508,0.122853,6962,750769
2017-08-02,0.113915,0.246010,0.104354,0.183465,14743,465214
2017-08-01,0.151993,0.154777,0.093885,0.113936,4864,620541
2017-07-31,0.161068,0.196595,0.106669,0.151920,4526,657414
2017-07-30,0.163062,0.205394,0.151304,0.160903,4144,664723
2017-07-29,0.190698,0.220342,0.161076,0.163086,5216,761382
2017-07-28,0.188428,0.225934,0.177234,0.191159,5337,752213
2017-07-27,0.328560,0.338094,0.146512,0.187858,20565,1311480
2017-07-26,0.241992,0.374401,0.241992,0.327633,43074,965747
2017-07-25,0.179000,0.314147,0.169435,0.241879,41184,714299
2017-07-24,0.158026,0.184798,0.141420,0.179235,16500,630600
2017-07-23,0.129618,0.160739,0.129618,0.158210,4678,517233
2017-07-22,0.116911,0.160060,0.109633,0.129623,17097,466523
2017-07-21,0.109502,0.137740,0.091007,0.116995,4920,436954
2017-07-20,0.091688,0.108859,0.083648,0.108698,5990,365868
2017-07-19,0.092312,0.095117,0.082400,0.091965,4064,368315
2017-07-18,0.096819,0.097054,0.080047,0.092166,1610,386268
2017-07-17,0.072923,0.103550,0.072923,0.096570,7392,290890
2017-07-16,0.075175,0.080289,0.036766,0.073004,2787,299845
2017-07-15,0.107312,0.109950,0.041363,0.075405,4389,427975
2017-07-14,0.074403,0.112993,0.073857,0.107497,17745,296678
2017-07-13,0.050372,0.074458,0.050372,0.074458,2905,200832
2017-07-12,0.057818,0.064318,0.048286,0.050476,1450,230482
2017-07-11,0.054410,0.058396,0.041963,0.058106,7698,216860
2017-07-10,0.050205,0.061318,0.049994,0.054526,1254,200079
2017-07-09,0.047051,0.060340,0.044877,0.050107,1633,187485
2017-07-08,0.042528,0.056977,0.042284,0.047009,1554,169437
2017-07-07,0.043611,0.050191,0.042016,0.042492,257,173739
2017-07-06,0.055375,0.055387,0.041567,0.043579,510,220576
2017-07-05,0.049030,0.058446,0.040773,0.055348,997,195256
2017-07-04,0.037792,0.060138,0.037792,0.049057,2315,150455
2017-07-03,0.041199,0.063238,0.035750,0.037878,7774,163974
2017-07-02,0.040924,0.051125,0.035632,0.041351,1230,162837
2017-07-01,0.043221,0.054003,0.040583,0.040929,3720,171972
2017-06-30,0.039242,0.049475,0.034268,0.043238,2674,156115
2017-06-29,0.028002,0.041422,0.027950,0.039164,2553,111369
2017-06-28,0.054255,0.054255,0.005669,0.028028,15519,215728
2017-06-27,0.060898,0.108668,0.050518,0.053871,18267,242000
2017-06-26,0.007349,0.114622,0.005493,0.060898,41093,29191
2017-06-25,0.002771,0.007369,0.002037,0.007353,819,11004
2017-06-24,0.002752,0.002779,0.002750,0.002777,2,10930
2016-06-12,0.000274,0.000293,0.000273,0.000290,0,1082
2016-06-11,0.000262,0.000273,0.000261,0.000273,0,1034
2016-06-09,0.000151,0.000151,0.000150,0.000150,2,597
2016-06-08,0.000219,0.000220,0.000149,0.000151,2,865
2016-06-07,0.000222,0.000224,0.000216,0.000219,0,877
2016-06-06,0.000223,0.000223,0.000221,0.000223,0,878
2016-06-05,0.000189,0.000192,0.000189,0.000190,0,746
2016-06-04,0.000074,0.000196,0.000074,0.000189,10,292
2016-06-03,0.000074,0.000075,0.000074,0.000074,0,293
2016-06-01,0.000234,0.000239,0.000231,0.000236,0,921
2016-05-31,0.000234,0.000235,0.000229,0.000234,0,923
2016-05-27,0.000199,0.000210,0.000199,0.000208,0,786
2016-05-26,0.000198,0.000200,0.000197,0.000199,0,780
2016-05-25,0.000198,0.000198,0.000197,0.000198,0,779
2016-05-23,0.000198,0.000199,0.000197,0.000199,0,779
2016-05-22,0.000199,0.000199,0.000198,0.000198,0,785
2016-05-21,0.000084,0.000084,0.000084,0.000084,0,332
2016-05-20,0.000084,0.000084,0.000084,0.000084,0,332
2016-05-17,0.000050,0.000050,0.000050,0.000050,0,197
2016-05-16,0.000050,0.000050,0.000050,0.000050,0,198
2016-05-10,0.000272,0.000273,0.000265,0.000267,1,1071
2016-05-09,0.000271,0.000273,0.000271,0.000272,1,1067
2016-05-07,0.000294,0.000295,0.000293,0.000294,0,1159
2016-05-06,0.000216,0.000295,0.000216,0.000294,1,851
2016-05-05,0.000152,0.000152,0.000152,0.000152,2,598
2016-05-04,0.000203,0.000203,0.000152,0.000152,9,798
2016-05-03,0.000165,0.000203,0.000165,0.000203,0,651
2016-04-28,0.000271,0.000271,0.000266,0.000269,0,1069
