Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.001200,0.001899,0.000821,0.000939,86,13634
2017-11-23,0.002150,0.002150,0.001200,0.001200,6,24428
2017-11-22,0.002071,0.002150,0.001203,0.002150,119,23532
2017-11-21,0.002200,0.002300,0.001500,0.002071,157,24997
2017-11-20,0.002400,0.002400,0.001500,0.002200,34,27268
2017-11-19,0.001580,0.002400,0.001580,0.002400,59,17950
2017-11-18,0.002600,0.002600,0.001580,0.001580,59,29541
2017-11-17,0.002893,0.002900,0.002000,0.002600,240,32874
2017-11-16,0.002700,0.002893,0.002700,0.002893,0,30677
2017-11-15,0.002476,0.002700,0.002250,0.002700,0,28132
2017-11-14,0.001900,0.002700,0.001900,0.002476,5,21590
2017-11-13,0.002900,0.002900,0.001900,0.001900,0,32949
2017-11-12,0.002759,0.002900,0.002759,0.002900,15,31351
2017-11-11,0.002811,0.002811,0.002759,0.002759,3,31936
2017-11-10,0.002691,0.002906,0.002176,0.002811,5,30577
2017-11-09,0.002800,0.002800,0.001634,0.002691,37,31813
2017-11-08,0.003500,0.003500,0.002800,0.002800,3,39766
2017-11-07,0.003800,0.003800,0.002000,0.003500,41,43175
2017-11-06,0.002879,0.004000,0.001250,0.003800,35,32711
2017-11-05,0.002874,0.002879,0.001211,0.002879,0,32653
2017-11-04,0.002810,0.002874,0.002789,0.002874,56,31928
2017-11-03,0.002100,0.002991,0.001210,0.002810,61,23860
2017-11-02,0.002979,0.002979,0.002100,0.002100,0,33847
2017-11-01,0.002734,0.002979,0.002300,0.002979,0,31066
2017-10-31,0.002996,0.002996,0.002727,0.002734,25,34038
2017-10-30,0.003389,0.003389,0.002980,0.002996,17,38505
2017-10-29,0.002800,0.003389,0.001011,0.003389,0,31813
2017-10-28,0.002700,0.002800,0.002700,0.002800,1,30677
2017-10-27,0.002496,0.003676,0.002496,0.002700,13,28359
2017-10-26,0.007770,0.007935,0.002496,0.002496,0,88287
2017-10-25,0.002817,0.007786,0.002727,0.007771,22,32004
2017-10-24,0.003681,0.003795,0.002608,0.002817,11,41818
2017-10-23,0.003815,0.003816,0.003565,0.003681,0,43351
2017-10-22,0.002040,0.003816,0.002040,0.003816,1,23183
2017-10-21,0.004190,0.004190,0.002023,0.002040,233,47606
2017-10-20,0.004233,0.004389,0.002301,0.004190,461,48090
2017-10-19,0.004233,0.004233,0.004076,0.004233,9,48098
2017-10-18,0.003900,0.004340,0.003000,0.004233,10,44311
2017-10-17,0.003402,0.004226,0.003375,0.003900,3,38654
2017-10-16,0.004390,0.004390,0.003402,0.003402,42,49878
2017-10-15,0.003951,0.004390,0.003000,0.004390,53,44893
2017-10-14,0.003427,0.004018,0.003427,0.003951,509,38933
2017-10-13,0.003000,0.004200,0.002900,0.003427,67,34081
2017-10-12,0.003029,0.003085,0.002997,0.003000,19,34415
