Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.011541,0.014543,0.011349,0.013250,39,138254
2017-11-23,0.011763,0.011891,0.011554,0.011554,10,140842
2017-11-22,0.010792,0.016161,0.010746,0.011766,99,129149
2017-11-21,0.010891,0.011229,0.010612,0.010766,43,130259
2017-11-20,0.010537,0.011113,0.010411,0.010889,92,125961
2017-11-19,0.010517,0.010627,0.010105,0.010542,353,125659
2017-11-18,0.009987,0.010571,0.009681,0.010535,2,119263
2017-11-17,0.010276,0.010532,0.009593,0.010025,18,122657
2017-11-16,0.009567,0.010484,0.009353,0.010293,275,114126
2017-11-15,0.008463,0.009960,0.008463,0.009517,26,100902
2017-11-14,0.008033,0.008503,0.007988,0.008457,4,95726
2017-11-13,0.007221,0.008942,0.007165,0.008016,55,86006
2017-11-12,0.007700,0.008598,0.006712,0.007211,60,91662
2017-11-11,0.008153,0.008444,0.007291,0.007704,5,97000
2017-11-10,0.007919,0.008597,0.006968,0.008182,127,94160
2017-11-09,0.008438,0.009206,0.007535,0.007895,42,100283
2017-11-08,0.007686,0.008470,0.007640,0.008447,16,91290
2017-11-07,0.007199,0.008570,0.007199,0.007710,132,85464
2017-11-06,0.007985,0.008469,0.007185,0.007211,120,94744
2017-11-05,0.008262,0.009853,0.007645,0.007968,84,97971
2017-11-04,0.008027,0.008761,0.007843,0.008278,9,95129
2017-11-03,0.007866,0.008362,0.007778,0.008048,4,93174
2017-11-02,0.008007,0.008408,0.007654,0.007876,155,94794
2017-11-01,0.007280,0.008013,0.007202,0.007998,8,86142
2017-10-31,0.007300,0.007363,0.007028,0.007285,8,86335
2017-10-30,0.007082,0.007375,0.006992,0.007375,78,83710
2017-10-29,0.006587,0.008851,0.006570,0.007247,12,77820
2017-10-28,0.006513,0.008056,0.006478,0.006596,9,76898
2017-10-27,0.006593,0.007875,0.006487,0.006495,16,77805
2017-10-26,0.006183,0.007002,0.006146,0.006592,33,72932
2017-10-25,0.006456,0.006508,0.005432,0.006184,16,76108
2017-10-24,0.006335,0.006664,0.006011,0.006453,50,74647
2017-10-23,0.007382,0.009615,0.006271,0.006349,21,86934
2017-10-22,0.006565,0.008477,0.006555,0.007416,152,77274
2017-10-21,0.007224,0.008474,0.006377,0.006565,13,84988
2017-10-20,0.007529,0.008877,0.007147,0.007239,5,88535
2017-10-19,0.005811,0.007978,0.005757,0.007527,1890,68290
2017-10-18,0.005653,0.005836,0.005188,0.005808,2,66403
2017-10-17,0.005721,0.005737,0.005490,0.005653,36,67165
2017-10-16,0.007855,0.007895,0.005544,0.005720,23,92165
2017-10-15,0.008075,0.008101,0.005312,0.007854,199,94697
2017-10-14,0.011028,0.011138,0.007760,0.008060,2,129260
2017-10-13,0.006506,0.011204,0.005783,0.011025,368,76220
2017-10-12,0.005309,0.006483,0.005295,0.006483,52,62163
2017-10-11,0.005033,0.005363,0.005025,0.005304,39,58909
2017-10-10,0.004834,0.004978,0.004818,0.004901,10,56544
2017-10-09,0.005414,0.005747,0.004810,0.004834,10,63296
2017-10-08,0.005289,0.005446,0.004857,0.005413,49,61802
2017-10-07,0.005249,0.005311,0.004592,0.005298,53,61298
2017-10-06,0.005189,0.005342,0.005182,0.005247,0,60570
2017-10-05,0.005023,0.005344,0.005017,0.005189,13,58608
2017-10-04,0.005130,0.005170,0.004966,0.005019,4,59820
2017-10-03,0.005149,0.005178,0.005009,0.005118,2,60014
2017-10-02,0.005097,0.006367,0.005085,0.005149,49,59375
2017-10-01,0.005038,0.005099,0.004943,0.005099,13,58654
2017-09-30,0.004547,0.005045,0.004543,0.005035,59,52918
2017-09-29,0.004129,0.004552,0.003903,0.004547,1,48027
2017-09-28,0.004250,0.004298,0.004056,0.004132,23,49399
2017-09-27,0.004122,0.004779,0.000056,0.004249,8,47890
2017-09-26,0.004273,0.004331,0.004126,0.004133,6,49623
2017-09-25,0.003966,0.004624,0.003770,0.004223,23,46030
2017-09-24,0.004281,0.004281,0.003930,0.003970,0,49655
2017-09-23,0.003896,0.004348,0.003445,0.004281,68,45161
2017-09-22,0.003969,0.004137,0.003356,0.003907,38,45985
2017-09-21,0.003842,0.004675,0.003328,0.003973,44,44486
2017-09-20,0.004071,0.004242,0.003743,0.003859,9,47111
2017-09-19,0.004310,0.005673,0.004076,0.004076,2,49858
2017-09-18,0.004545,0.004704,0.003658,0.004299,32,52543
2017-09-17,0.003897,0.004649,0.003530,0.004554,5,45023
2017-09-16,0.004488,0.004696,0.003876,0.003895,5,51831
2017-09-15,0.003383,0.004704,0.003046,0.004500,3,39050
2017-09-14,0.004091,0.004145,0.003357,0.003357,16,47189
2017-09-13,0.004609,0.004626,0.004077,0.004091,34,53141
2017-09-12,0.004551,0.005493,0.004551,0.004627,2,52439
2017-09-11,0.004623,0.004782,0.004443,0.004546,17,53245
2017-09-10,0.004709,0.004920,0.004253,0.004631,10,54196
2017-09-09,0.004627,0.005260,0.004490,0.004721,114,53225
2017-09-08,0.005051,0.005312,0.004431,0.004618,102,58072
2017-09-07,0.006370,0.006629,0.005017,0.005050,125,73195
2017-09-06,0.006144,0.006703,0.006141,0.006382,13,70560
2017-09-05,0.006138,0.006253,0.005364,0.006137,249,70449
2017-09-04,0.006327,0.006332,0.003429,0.006106,1301,72585
2017-09-03,0.005654,0.006398,0.005654,0.006325,44,64827
2017-09-02,0.006124,0.006424,0.005527,0.005651,34,70174
2017-09-01,0.006319,0.007915,0.006088,0.006116,10,72363
2017-08-31,0.005633,0.006346,0.005632,0.006323,52,64472
2017-08-30,0.005707,0.005776,0.005233,0.005643,212,65286
2017-08-29,0.005924,0.006248,0.005536,0.005715,17,67732
2017-08-28,0.006124,0.007044,0.005269,0.005912,112,69987
2017-08-27,0.005774,0.006428,0.005573,0.006131,56,65942
2017-08-26,0.006200,0.006414,0.005509,0.005775,18,70775
2017-08-25,0.006710,0.007096,0.006188,0.006188,15,76551
2017-08-24,0.006587,0.006769,0.006449,0.006720,6,75116
2017-08-23,0.006333,0.006746,0.006312,0.006584,2,72184
2017-08-22,0.007154,0.007210,0.005766,0.006346,42,81486
2017-08-21,0.006775,0.007270,0.006179,0.007146,16,77127
2017-08-20,0.006923,0.006923,0.006305,0.006801,36,78767
2017-08-19,0.006861,0.007030,0.006538,0.006955,127,78029
2017-08-18,0.007147,0.007315,0.006638,0.006867,30,81235
2017-08-17,0.007154,0.008471,0.006913,0.007169,25,81265
2017-08-16,0.006480,0.007162,0.006162,0.007160,4,73568
2017-08-15,0.008135,0.008323,0.006026,0.006473,10,92307
