Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,1.00,1.01,0.904419,0.958213,28382,3320530
2017-11-23,0.962227,1.01,0.935731,1.00,44267,3183210
2017-11-22,0.917350,0.994031,0.914521,0.962535,36101,3033410
2017-11-21,0.988993,0.990893,0.902085,0.915125,59192,3268910
2017-11-20,1.03,1.04,0.987678,0.989294,43393,3390800
2017-11-19,1.04,1.10,1.01,1.03,36564,3438230
2017-11-18,1.01,1.08,0.958615,1.04,106740,3341710
2017-11-17,0.997882,1.13,0.959462,1.02,100629,3292570
2017-11-16,1.00,1.02,0.961364,1.00,31093,3307510
2017-11-15,0.912453,1.02,0.912453,0.997609,35814,3008080
2017-11-14,0.939521,0.966200,0.874909,0.911828,30845,3095990
2017-11-13,0.814679,0.943218,0.800780,0.937535,23249,2683460
2017-11-12,0.932102,0.932102,0.784885,0.815012,42747,3068920
2017-11-11,0.985838,1.05,0.908057,0.932788,41521,3244470
2017-11-10,1.08,1.14,0.940647,0.989360,64153,3556640
2017-11-09,1.06,1.17,1.01,1.10,96819,3482470
2017-11-08,1.03,1.21,0.992946,1.07,122898,3395310
2017-11-07,0.987637,1.07,0.971388,1.04,43168,3244700
2017-11-06,1.05,1.06,0.939804,0.968904,66511,3431800
2017-11-05,1.02,1.12,0.988987,1.04,56681,3351130
2017-11-04,0.884824,1.19,0.864474,1.03,159410,2903140
2017-11-03,0.963746,0.995208,0.865635,0.887148,47120,3160730
2017-11-02,0.976097,1.00,0.878478,0.965008,76889,3199880
2017-11-01,1.05,1.07,0.946693,0.975009,79202,3450380
2017-10-31,1.04,1.08,0.943033,1.05,130306,3414820
2017-10-30,1.31,1.31,0.968210,1.04,457364,4280510
2017-10-29,0.828434,1.54,0.819529,1.29,1357690,2711020
2017-10-28,0.890120,0.929080,0.825217,0.828194,25410,2911610
2017-10-27,0.939606,0.967798,0.846740,0.887697,30065,3072150
2017-10-26,0.844859,1.03,0.835884,0.939388,94687,2761120
2017-10-25,0.876853,0.884106,0.798525,0.844958,26511,2864420
2017-10-24,0.802121,0.983832,0.729014,0.881897,68652,2619160
2017-10-23,0.847041,0.903394,0.726212,0.804573,45703,2764600
2017-10-22,0.825757,0.880127,0.766641,0.848411,40089,2693940
2017-10-21,0.887462,0.925082,0.805992,0.805992,26256,2893970
2017-10-20,1.00,1.03,0.859564,0.889332,93526,3260390
2017-10-19,1.07,1.16,0.977327,0.999977,148650,3475750
2017-10-18,1.08,1.14,0.979060,1.07,78620,3515990
2017-10-17,1.04,1.31,1.01,1.08,228272,3383400
2017-10-16,1.07,1.15,0.977354,1.04,461165,3473550
2017-10-15,1.00,1.11,0.942531,1.07,112833,3265870
2017-10-14,1.42,1.53,0.985259,1.04,727853,4631530
2017-10-13,0.871404,1.61,0.783884,1.40,801574,2831550
2017-10-12,0.877046,1.12,0.876662,0.901011,90306,2848630
2017-10-11,0.820455,0.973414,0.812039,0.878077,49909,2663630
2017-10-10,0.851769,0.901394,0.685807,0.820594,44209,2764120
2017-10-09,0.879892,0.989424,0.822842,0.822842,31775,2854100
2017-10-08,0.990240,0.991701,0.878965,0.879668,49441,3210620
2017-10-07,1.04,1.06,0.980247,0.981197,17251,3370980
2017-10-06,1.09,1.12,1.03,1.04,21462,3536600
2017-10-05,1.05,1.12,0.982307,1.09,35484,3396350
2017-10-04,1.12,1.16,0.957697,1.05,97974,3609050
2017-10-03,1.21,1.23,1.08,1.11,30063,3925990
2017-10-02,1.27,1.29,1.20,1.21,13740,4120710
2017-10-01,1.28,1.33,1.23,1.27,24250,4144910
2017-09-30,1.26,1.32,1.23,1.28,40333,4073200
2017-09-29,1.27,1.29,1.16,1.23,44441,4103420
2017-09-28,1.40,1.44,1.24,1.27,75001,4513460
2017-09-27,1.11,1.40,1.11,1.39,119863,3586680
2017-09-26,1.11,1.16,1.09,1.11,34487,3587360
2017-09-25,1.01,1.12,1.01,1.10,58209,3256560
2017-09-24,1.04,1.05,1.00,1.01,18915,3359700
2017-09-23,1.01,1.06,0.959379,1.04,20559,3240010
