Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.047258,0.125084,0.036608,0.039159,844,2215
2017-11-23,0.046143,0.081878,0.031680,0.047323,495,2162
2017-11-22,0.073027,0.073590,0.040776,0.046158,133,3422
2017-11-21,0.038735,0.083058,0.030483,0.072850,528,1815
2017-11-20,0.043837,0.053166,0.038679,0.038728,307,2054
2017-11-19,0.029746,0.044208,0.029400,0.043857,52,1394
2017-11-18,0.030747,0.033715,0.023992,0.029801,130,1441
2017-11-17,0.023769,0.033626,0.023769,0.030865,28,1114
2017-11-16,0.028555,0.028555,0.021633,0.023808,28,1338
2017-11-15,0.032463,0.033718,0.028182,0.028406,17,1521
2017-11-14,0.034875,0.035890,0.016723,0.032441,138,1634
2017-11-13,0.031585,0.036040,0.026795,0.034801,156,1480
2017-11-12,0.026590,0.034623,0.024049,0.031539,65,1246
2017-11-11,0.035504,0.036774,0.026284,0.026609,23,1664
2017-11-10,0.032793,0.036673,0.027000,0.035631,105,1537
2017-11-09,0.037412,0.043061,0.032587,0.032696,41,1753
2017-11-08,0.047607,0.050340,0.035562,0.037450,121,2231
2017-11-07,0.044189,0.047757,0.037735,0.047757,75,2071
2017-11-06,0.035560,0.048580,0.030452,0.044260,40,1666
2017-11-05,0.042410,0.045669,0.035089,0.035481,134,1988
2017-11-04,0.044578,0.047977,0.036184,0.042328,71,2089
2017-11-03,0.044896,0.058029,0.044396,0.044694,49,2104
2017-11-02,0.043802,0.046627,0.042770,0.044955,45,2053
2017-11-01,0.047270,0.053985,0.042700,0.043753,67,2215
2017-10-31,0.041894,0.049988,0.033460,0.047305,303,1963
2017-10-30,0.050179,0.050863,0.041771,0.042053,290,2352
2017-10-29,0.071712,0.072577,0.040427,0.050472,196,3361
2017-10-28,0.044375,0.075615,0.042800,0.071810,421,2080
2017-10-27,0.074499,0.075884,0.042842,0.044255,113,3491
2017-10-26,0.068904,0.074626,0.043831,0.074481,94,3229
2017-10-25,0.072196,0.084004,0.051025,0.068913,1150,3383
2017-10-24,0.099275,0.099275,0.059461,0.072167,1605,4652
2017-10-23,0.118511,0.119380,0.072699,0.099494,1239,5554
2017-10-22,0.115075,0.307887,0.090125,0.118702,7158,5393
2017-10-21,0.115638,0.120848,0.062939,0.115040,577,-
2017-10-20,0.068515,0.116952,0.068070,0.115882,116,-
2017-10-19,0.086933,0.087857,0.064117,0.068496,685,-
2017-10-18,0.112015,0.112018,0.064188,0.086888,1166,-
2017-10-17,0.087283,0.112262,0.063607,0.112007,64,-
2017-10-16,0.115469,0.116018,0.077509,0.087268,529,-
2017-10-15,0.074639,0.158072,0.063205,0.135053,850,-
2017-10-14,0.101509,0.141555,0.053408,0.074924,577,-
2017-10-13,0.128947,0.222447,0.047124,0.101481,2828,-
2017-10-12,0.291535,0.340394,0.086817,0.128551,3811,-
2017-10-11,0.160070,0.361019,0.139064,0.291289,10789,-
