Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.010430,0.012754,0.010001,0.010327,2197,137103
2017-11-23,0.011617,0.012387,0.010403,0.010447,1399,152619
2017-11-22,0.011498,0.011930,0.010778,0.011624,1270,150960
2017-11-21,0.011179,0.012383,0.010430,0.011470,1143,146722
2017-11-20,0.011144,0.012069,0.010733,0.011177,517,146181
2017-11-19,0.010636,0.012128,0.010273,0.011150,1127,139433
2017-11-18,0.010381,0.011081,0.009443,0.010655,514,136039
2017-11-17,0.010589,0.013036,0.010112,0.010419,142,138694
2017-11-16,0.009791,0.012659,0.009586,0.010608,277,128170
2017-11-15,0.008256,0.010060,0.008256,0.009736,293,108026
2017-11-14,0.008512,0.008726,0.007907,0.008249,142,111316
2017-11-13,0.007356,0.008640,0.007356,0.008495,277,96149
2017-11-12,0.008590,0.008659,0.007009,0.007366,472,112228
2017-11-11,0.008074,0.008655,0.007775,0.008535,979,105428
2017-11-10,0.008583,0.009108,0.007569,0.008105,115,112008
2017-11-09,0.009162,0.010378,0.008521,0.008550,626,119506
2017-11-08,0.008873,0.009840,0.008820,0.009172,129,115668
2017-11-07,0.008747,0.008999,0.008635,0.008901,300,113967
2017-11-06,0.009348,0.009613,0.008300,0.008761,331,121743
2017-11-05,0.009249,0.010334,0.008854,0.009329,175,120387
2017-11-04,0.009537,0.010420,0.009030,0.009316,425,124070
2017-11-03,0.008351,0.010986,0.008239,0.008960,238,108583
2017-11-02,0.008809,0.009238,0.007725,0.008362,138,114479
2017-11-01,0.007515,0.010313,0.007371,0.008799,8991,97609
2017-10-31,0.007912,0.008512,0.007440,0.007528,159,102720
2017-10-30,0.008100,0.009033,0.007940,0.007940,814,105101
2017-10-29,0.008532,0.010452,0.007947,0.008148,193,110643
2017-10-28,0.008354,0.009254,0.006691,0.008536,242,108287
2017-10-27,0.007870,0.008704,0.006319,0.006326,204,101965
2017-10-26,0.008233,0.011134,0.007588,0.007883,121,106606
2017-10-25,0.007157,0.008328,0.006929,0.008234,120,92620
2017-10-24,0.007109,0.008753,0.006821,0.007141,141,91952
2017-10-23,0.007366,0.007790,0.006499,0.007126,296,95217
2017-10-22,0.007309,0.008451,0.007167,0.007382,122,94442
2017-10-21,0.008905,0.009071,0.007307,0.007307,177,114999
2017-10-20,0.008914,0.009080,0.007871,0.008923,136,115053
2017-10-19,0.007742,0.009489,0.007376,0.008912,263,99867
2017-10-18,0.008906,0.008906,0.007116,0.007738,234,114824
2017-10-17,0.009219,0.009245,0.007846,0.008905,826,118797
2017-10-16,0.009842,0.009892,0.008373,0.009060,311,126756
2017-10-15,0.009523,0.010344,0.008424,0.009841,3560,122580
2017-10-14,0.011607,0.011607,0.008446,0.009560,1152,149330
2017-10-13,0.011664,0.012296,0.008745,0.011603,820,149987
2017-10-12,0.007760,0.011628,0.007741,0.011628,1576,99725
2017-10-11,0.007181,0.010391,0.006911,0.007753,310,92244
2017-10-10,0.008745,0.008898,0.007015,0.007182,1191,112270
2017-10-09,0.008374,0.009579,0.007551,0.008746,202,107449
2017-10-08,0.007332,0.008390,0.007325,0.008372,296,94029
2017-10-07,0.007687,0.008637,0.007166,0.007352,1708,98530
2017-10-06,0.008826,0.008941,0.007456,0.007685,787,113067
2017-10-05,0.007210,0.009195,0.007100,0.008130,288,92316
2017-10-04,0.008112,0.009394,0.007148,0.007164,467,103809
