Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.098282,0.104736,0.094412,0.098390,41462,-
2017-11-23,0.098814,0.105730,0.097321,0.097321,33669,-
2017-11-22,0.093318,0.107533,0.092784,0.098698,51111,-
2017-11-21,0.096608,0.106643,0.087408,0.093818,76409,-
2017-11-20,0.095066,0.104899,0.092801,0.096590,52834,-
2017-11-19,0.097102,0.108022,0.092200,0.095110,66494,-
2017-11-18,0.099184,0.104020,0.092482,0.096044,40452,-
2017-11-17,0.102411,0.103694,0.097978,0.099475,22708,-
2017-11-16,0.099115,0.106192,0.095790,0.102577,20851,-
2017-11-15,0.101199,0.103351,0.094170,0.098605,42053,-
2017-11-14,0.091933,0.102434,0.088643,0.101132,75789,-
2017-11-13,0.082665,0.097613,0.078228,0.091741,30747,-
2017-11-12,0.094684,0.094684,0.076654,0.079832,36578,-
2017-11-11,0.096403,0.102665,0.090453,0.095696,34948,-
2017-11-10,0.108238,0.112672,0.093585,0.096745,94412,-
2017-11-09,0.109752,0.114383,0.104743,0.107919,52314,-
2017-11-08,0.110311,0.113212,0.099675,0.109865,75586,-
2017-11-07,0.108833,0.120478,0.102211,0.111508,201097,-
2017-11-06,0.105588,0.113407,0.099736,0.108997,48725,-
2017-11-05,0.099570,0.110865,0.098560,0.105357,56951,-
2017-11-04,0.090876,0.109356,0.089756,0.099757,59890,-
2017-11-03,0.089178,0.099672,0.083968,0.091113,61144,-
2017-11-02,0.096553,0.097995,0.084917,0.089294,42348,-
2017-11-01,0.096376,0.101639,0.089584,0.096379,46924,-
2017-10-31,0.093873,0.102960,0.091433,0.096446,49770,-
2017-10-30,0.099422,0.103963,0.092275,0.094189,58100,-
2017-10-29,0.100126,0.132781,0.094549,0.100806,380295,-
2017-10-28,0.099998,0.103509,0.091950,0.100262,42932,-
2017-10-27,0.097702,0.100937,0.093989,0.099735,43238,-
2017-10-26,0.097315,0.108913,0.094043,0.097680,79464,-
2017-10-25,0.096036,0.097396,0.088608,0.094978,23888,-
2017-10-24,0.085460,0.102761,0.080644,0.095997,58910,-
2017-10-23,0.090560,0.097789,0.082131,0.084248,37994,-
2017-10-22,0.095128,0.106666,0.090456,0.090704,37551,-
2017-10-21,0.101362,0.103682,0.090914,0.093608,57701,-
2017-10-20,0.107254,0.112773,0.097568,0.100978,83632,-
2017-10-19,0.106998,0.112422,0.098119,0.107222,123936,-
2017-10-18,0.106555,0.117254,0.099890,0.106608,134925,-
2017-10-17,0.129794,0.135290,0.104180,0.108822,119920,-
2017-10-16,0.163222,0.190232,0.106778,0.128503,772173,-
2017-10-15,0.111147,0.163888,0.089402,0.160136,829738,-
2017-10-14,0.147126,0.147126,0.105353,0.112756,439182,-
2017-10-13,0.168486,0.288163,0.147071,0.149684,4680900,-
2017-10-12,0.083878,0.293969,0.083878,0.176261,9192480,-
2017-10-11,0.068482,0.107182,0.065237,0.084334,266037,-
2017-10-10,0.065594,0.080275,0.058642,0.071557,67437,-
2017-10-09,0.074479,0.075941,0.057387,0.065598,66077,-
2017-10-08,0.084474,0.085802,0.074401,0.074552,23923,-
2017-10-07,0.085226,0.088372,0.082719,0.084699,14249,-
2017-10-06,0.082117,0.102208,0.080446,0.083627,71064,-
2017-10-05,0.088149,0.088225,0.078719,0.082118,32270,-
2017-10-04,0.088704,0.091111,0.085102,0.088075,20236,-
2017-10-03,0.097937,0.100052,0.085852,0.090338,28281,-
2017-10-02,0.101885,0.104286,0.095171,0.097933,30282,-
2017-10-01,0.110667,0.111242,0.099352,0.101930,28231,-
2017-09-30,0.105711,0.116501,0.105682,0.110607,29090,-
2017-09-29,0.112738,0.113197,0.101354,0.104345,20407,-
2017-09-28,0.118473,0.118666,0.107065,0.112823,43904,-
2017-09-27,0.108515,0.120598,0.108515,0.116537,86743,-
2017-09-26,0.111789,0.114215,0.105044,0.108818,85966,-
2017-09-25,0.114148,0.121107,0.106489,0.111800,148246,-
2017-09-24,0.133317,0.139145,0.112883,0.114264,320696,-
2017-09-23,0.121193,0.145961,0.098487,0.131207,875919,-
2017-09-22,0.085286,0.127222,0.085210,0.123342,373474,-
2017-09-21,0.100212,0.101250,0.085273,0.085380,86627,-
2017-09-20,0.103959,0.125619,0.100592,0.100707,247311,-
2017-09-19,0.135359,0.187453,0.102558,0.103315,1708280,-
2017-09-18,0.082583,0.176441,0.078228,0.138345,2101440,-
2017-09-17,0.066668,0.089899,0.061938,0.079639,66940,-
2017-09-16,0.064960,0.073699,0.062855,0.066713,21498,-
2017-09-15,0.061116,0.069355,0.051603,0.065129,16610,-
2017-09-14,0.076494,0.078150,0.060656,0.060656,16088,-
2017-09-13,0.082615,0.084409,0.071290,0.078240,24184,-
2017-09-12,0.089415,0.094431,0.081415,0.082929,31461,-
2017-09-11,0.082804,0.099503,0.076386,0.089329,121847,-
2017-09-10,0.088358,0.088591,0.078882,0.082939,24436,-
2017-09-09,0.087485,0.090447,0.085047,0.088586,7960,-
2017-09-08,0.097078,0.098257,0.082479,0.087316,10215,-
2017-09-07,0.096791,0.100288,0.095011,0.097059,16884,-
2017-09-06,0.093793,0.105711,0.091014,0.096977,14450,-
