Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.112660,0.116886,0.109245,0.111125,23089,14028300
2017-11-23,0.114948,0.122556,0.112435,0.113295,52776,14313100
2017-11-22,0.109196,0.121472,0.106408,0.115021,52204,13597000
2017-11-21,0.106228,0.117769,0.099171,0.109062,59807,13227400
2017-11-20,0.111228,0.121156,0.105459,0.106171,48646,13849900
2017-11-19,0.115975,0.118612,0.108877,0.111303,33734,14441100
2017-11-18,0.116049,0.117689,0.109179,0.116173,21885,14450200
2017-11-17,0.118533,0.127927,0.110487,0.116594,73154,14759600
2017-11-16,0.115369,0.121795,0.111364,0.118675,16482,14365600
2017-11-15,0.110212,0.115314,0.108399,0.114723,37041,13723500
2017-11-14,0.106249,0.110212,0.103840,0.110139,31854,13230000
2017-11-13,0.091474,0.108378,0.091303,0.105883,30028,11390200
2017-11-12,0.109988,0.109988,0.088133,0.093514,87463,13695600
2017-11-11,0.108314,0.159584,0.105908,0.108165,703378,13487200
2017-11-10,0.125707,0.132652,0.107264,0.108646,77355,15652900
2017-11-09,0.123341,0.128141,0.115681,0.127017,74199,15358200
2017-11-08,0.113739,0.123961,0.113195,0.123395,32936,14162600
2017-11-07,0.110116,0.119311,0.110116,0.114916,35413,13711500
2017-11-06,0.119554,0.121340,0.109914,0.113064,40619,14886700
2017-11-05,0.125933,0.134560,0.115381,0.119193,77226,15681000
2017-11-04,0.114105,0.164367,0.112309,0.126105,455942,14208300
2017-11-03,0.117081,0.120541,0.112953,0.114432,31502,14578800
2017-11-02,0.120145,0.133980,0.111592,0.117328,189556,14960300
2017-11-01,0.106691,0.122183,0.102449,0.121958,78632,13285100
2017-10-31,0.103131,0.107908,0.100414,0.106810,43748,12841800
2017-10-30,0.101373,0.112682,0.100116,0.103481,70820,12622800
2017-10-29,0.092823,0.109721,0.092732,0.101950,160408,11558200
2017-10-28,0.098209,0.099514,0.089710,0.094867,25869,12228900
2017-10-27,0.101671,0.103072,0.095996,0.097881,18123,12660000
2017-10-26,0.097693,0.106817,0.095197,0.101700,44885,12164600
2017-10-25,0.101954,0.103894,0.094102,0.097845,26041,12695300
2017-10-24,0.093729,0.107963,0.091345,0.102447,46421,11671000
2017-10-23,0.108875,0.110719,0.097688,0.098365,24126,13557000
2017-10-22,0.111379,0.111822,0.105108,0.109028,33808,13868800
2017-10-21,0.108551,0.116750,0.106679,0.111359,40854,13516600
2017-10-20,0.106405,0.117596,0.106405,0.108774,35021,13249400
2017-10-19,0.113374,0.121502,0.105632,0.106385,23330,14117200
2017-10-18,0.106286,0.115685,0.101355,0.110947,47903,13234600
2017-10-17,0.111815,0.112345,0.102514,0.106279,22133,13923000
2017-10-16,0.103096,0.126736,0.096993,0.111250,103558,12837400
2017-10-15,0.101158,0.169950,0.090394,0.103048,557224,12596000
2017-10-14,0.099929,0.102572,0.092522,0.101100,31038,12443000
2017-10-13,0.131782,0.155965,0.094888,0.101641,266796,16409300
2017-10-12,0.097454,0.139163,0.092975,0.130746,255312,12134800
2017-10-11,0.087654,0.094830,0.083133,0.092232,20632,10914600
2017-10-10,0.085196,0.092512,0.082991,0.088516,16205,10608500
2017-10-09,0.095777,0.095777,0.082584,0.084994,26516,11926000
2017-10-08,0.100194,0.102080,0.094949,0.095694,14716,12476000
2017-10-07,0.101356,0.103056,0.097093,0.100131,13145,12620800
