Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.003215,0.003474,0.003154,0.003455,28,138291
2017-11-23,0.003290,0.003306,0.003219,0.003219,24,141497
2017-11-22,0.003246,0.003606,0.003232,0.003291,32,139555
2017-11-21,0.003214,0.003342,0.003041,0.003238,5,138176
2017-11-20,0.003197,0.003231,0.003197,0.003214,26,137442
2017-11-19,0.003115,0.003245,0.003079,0.003232,3,133845
2017-11-18,0.003228,0.003277,0.003095,0.003121,35,138700
2017-11-17,0.003379,0.003423,0.003197,0.003241,7,145144
2017-11-16,0.003242,0.003421,0.003193,0.003382,305,139229
2017-11-15,0.003835,0.004180,0.002993,0.003231,21,164635
2017-11-14,0.002678,0.003847,0.002635,0.003832,128,114932
2017-11-13,0.002407,0.002758,0.002388,0.002672,5,103294
2017-11-12,0.002544,0.002586,0.002215,0.002404,7,109168
2017-11-11,0.003002,0.003648,0.002500,0.002546,9,128787
2017-11-10,0.003072,0.003561,0.002946,0.003008,12,131732
2017-11-09,0.003292,0.003292,0.002999,0.003063,153,141135
2017-11-08,0.003131,0.003388,0.003112,0.003294,66,134217
2017-11-07,0.003132,0.003187,0.003086,0.003141,4,134233
2017-11-06,0.003253,0.003983,0.003094,0.003135,61,139378
2017-11-05,0.003197,0.003327,0.002853,0.003246,233,136947
2017-11-04,0.003082,0.003082,0.003036,0.003036,151,131980
2017-11-03,0.003200,0.003211,0.002986,0.003090,154,137012
2017-11-02,0.002961,0.003217,0.002961,0.003094,16,126734
2017-11-01,0.002930,0.003084,0.002898,0.002959,0,125380
2017-10-31,0.003432,0.003592,0.002868,0.002932,3,146828
2017-10-30,0.004002,0.004041,0.003416,0.003443,612,171197
2017-10-29,0.002697,0.004044,0.002456,0.004025,0,115331
2017-10-28,0.003200,0.003200,0.002699,0.002699,1,136821
2017-10-27,0.003200,0.003200,0.003200,0.003200,1,136821
2017-10-25,0.002152,0.002157,0.002144,0.002145,253,91931
2017-10-24,0.002244,0.002264,0.002139,0.002151,254,95838
2017-10-23,0.003135,0.003159,0.003052,0.003104,1,133849
2017-10-22,0.003187,0.003215,0.003046,0.003137,1,136054
2017-10-21,0.003222,0.003282,0.003128,0.003186,32,137513
2017-10-20,0.003765,0.004033,0.003709,0.003939,0,160643
2017-10-19,0.002764,0.003788,0.002416,0.003764,88,117906
2017-10-18,0.002688,0.002774,0.002612,0.002763,1,114650
2017-10-17,0.002774,0.002782,0.002659,0.002688,20,118262
2017-10-16,0.002561,0.002788,0.002517,0.002774,36,109169
2017-10-15,0.002926,0.002935,0.002475,0.002561,38,124668
2017-10-14,0.002545,0.002924,0.002517,0.002920,45,108427
2017-10-13,0.003100,0.003100,0.002485,0.002544,61,132039
2017-10-12,0.003100,0.003100,0.003100,0.003100,0,132010
2017-10-11,0.002127,0.002132,0.001985,0.002025,21,90552
2017-10-10,0.002632,0.002702,0.002096,0.002127,24,112046
2017-10-09,0.002624,0.003458,0.002598,0.002633,19,111647
2017-10-08,0.003155,0.003275,0.001819,0.002623,451,134229
2017-10-07,0.002781,0.003171,0.002779,0.003163,152,118284
2017-10-06,0.001731,0.002783,0.001728,0.002781,0,73625
2017-10-05,0.002769,0.003055,0.001727,0.001731,444,117729
2017-10-04,0.002851,0.003193,0.001692,0.002767,41,121187
2017-10-03,0.002554,0.002922,0.002550,0.002844,0,108524
2017-10-02,0.003295,0.003349,0.001802,0.002554,296,140017
2017-10-01,0.003231,0.003297,0.003198,0.003297,18,137275
2017-09-30,0.003212,0.003315,0.003209,0.003312,33,136427
2017-09-29,0.003229,0.003263,0.003117,0.003212,32,137103
2017-09-28,0.003156,0.003242,0.003063,0.003232,211,133953
2017-09-27,0.002566,0.003168,0.002566,0.003155,142,108921
2017-09-26,0.002085,0.002615,0.002049,0.002574,88,88453
2017-09-25,0.002344,0.002458,0.001562,0.002085,33,99458
2017-09-24,0.002500,0.002500,0.002402,0.002440,49,106045
2017-09-23,0.002056,0.002505,0.002036,0.002501,50,87183
2017-09-22,0.002571,0.002670,0.002015,0.002062,0,108981
2017-09-21,0.002444,0.002757,0.002402,0.002574,687,103584
2017-09-20,0.001918,0.002550,0.001884,0.002456,138,81256
2017-09-19,0.002011,0.002021,0.001894,0.001920,14,85171
2017-09-18,0.001921,0.002132,0.001921,0.002006,20,81380
2017-09-17,0.001820,0.002052,0.001791,0.001925,39,77069
2017-09-16,0.001818,0.001902,0.001743,0.001821,18,76945
2017-09-15,0.001622,0.001874,0.001197,0.001822,50,68664
2017-09-14,0.002086,0.002141,0.001610,0.001610,32,88262
2017-09-13,0.002367,0.002446,0.001988,0.002086,2,100132
2017-09-12,0.002399,0.002539,0.002361,0.002376,59,101488
2017-09-11,0.002550,0.002626,0.002400,0.002400,0,107834
