Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.000513,0.000516,0.000245,0.000417,1005,1826550
2017-11-23,0.000415,0.000523,0.000322,0.000514,1076,1474430
2017-11-22,0.000343,0.000499,0.000342,0.000415,1308,1219310
2017-11-21,0.000331,0.000442,0.000330,0.000342,3814,1175040
2017-11-20,0.000405,0.000493,0.000319,0.000331,2403,1436290
2017-11-19,0.000475,0.000490,0.000322,0.000405,4391,1683480
2017-11-18,0.000527,0.000596,0.000380,0.000476,2949,1865460
2017-11-17,0.000413,0.000584,0.000400,0.000529,3171,1462090
2017-11-16,0.000382,0.000683,0.000377,0.000414,28657,1349890
2017-11-15,0.000202,0.000653,0.000139,0.000524,34779,714790
2017-11-14,0.000163,0.000219,0.000075,0.000202,8338,575298
2017-11-13,0.000177,0.000508,0.000115,0.000163,282,623965
2017-11-12,0.000190,0.000719,0.000144,0.000177,2046,668435
2017-11-11,0.002564,0.002656,0.000107,0.000190,521,9028560
2017-11-10,0.004206,0.004327,0.002516,0.002573,195,14797300
2017-11-09,0.004182,0.004925,0.001607,0.004194,429,14699800
2017-11-08,0.004768,0.004967,0.002915,0.004186,664,16746300
2017-11-07,0.003458,0.007647,0.001430,0.004783,2444,12134500
2017-11-06,0.001338,0.003959,0.001012,0.003463,1419,4691480
2017-11-05,0.000356,0.001431,0.000352,0.001335,293,1245610
2017-11-04,0.000869,0.000869,0.000180,0.000356,130,3041690
2017-11-03,0.000468,0.002854,0.000398,0.000871,1790,1636230
2017-11-02,0.000067,0.000471,0.000067,0.000468,30,235183
2017-11-01,0.000241,0.000342,0.000065,0.000067,13611,842996
2017-10-31,0.000178,0.000300,0.000174,0.000242,206,622512
2017-10-30,0.000519,0.001406,0.000177,0.000179,255,1808750
2017-10-29,0.000115,0.000523,0.000063,0.000522,38,399097
2017-10-28,0.000218,0.000328,0.000057,0.000115,631,760306
2017-10-27,0.000120,0.000332,0.000058,0.000218,138,417280
2017-10-26,0.000057,0.000122,0.000057,0.000120,341,199283
2017-10-25,0.000500,0.000501,0.000056,0.000057,343,1736860
2017-10-24,0.000249,0.000595,0.000091,0.000500,102,864428
2017-10-23,0.000120,0.000236,0.000119,0.000236,131,414551
2017-10-22,0.000121,0.000182,0.000116,0.000120,269,419106
2017-10-21,0.000121,0.000219,0.000062,0.000121,7976,417158
2017-10-20,0.000171,0.000172,0.000060,0.000121,2821,591798
2017-10-19,0.000113,0.000174,0.000112,0.000171,576,389376
2017-10-18,0.000113,0.000167,0.000103,0.000113,913,389025
2017-10-17,0.000152,0.000178,0.000112,0.000113,1340,524773
2017-10-16,0.000168,0.000230,0.000149,0.000152,263,579859
2017-10-15,0.000190,0.000240,0.000131,0.000168,745,654010
2017-10-14,0.000226,0.000238,0.000112,0.000190,352,779054
2017-10-13,0.000843,0.000951,0.000169,0.000226,251,2899300
2017-10-12,0.000627,0.000988,0.000619,0.000841,506,2152910
2017-10-11,0.000095,0.000702,0.000094,0.000626,865,326934
2017-10-10,0.000257,0.000281,0.000095,0.000095,150,882981
2017-10-09,0.000704,0.000794,0.000231,0.000257,285,2412690
2017-10-08,0.000139,0.000843,0.000134,0.000704,964,474535
2017-10-07,0.000160,0.000203,0.000112,0.000139,370,548764
2017-10-06,0.000130,0.000176,0.000088,0.000160,344,443330
2017-10-05,0.000127,0.000131,0.000125,0.000130,294,432470
2017-10-04,0.000269,0.000269,0.000126,0.000127,463,917649
2017-10-03,0.000339,0.000341,0.000145,0.000268,220,1156290
2017-10-02,0.000344,0.000612,0.000317,0.000339,480,1171210
2017-10-01,0.000186,0.000432,0.000184,0.000344,242,632932
2017-09-30,0.000180,0.000238,0.000180,0.000186,738,612198
2017-09-29,0.000188,0.000231,0.000168,0.000180,1066,638535
2017-09-28,0.000205,0.000342,0.000161,0.000188,2382,694413
2017-09-27,0.000197,0.000220,0.000119,0.000205,4790,668669
2017-09-26,0.000248,0.000248,0.000123,0.000198,1062,839516
2017-09-25,0.000197,0.000281,0.000150,0.000248,1685,665679
2017-09-24,0.000182,0.000246,0.000121,0.000197,2838,616096
2017-09-23,0.000713,0.001165,0.000129,0.000182,1850,2411690
2017-09-22,0.000904,0.000914,0.000192,0.000715,782,3054210
2017-09-21,0.003491,0.003515,0.000813,0.001108,820,11783300
2017-09-20,0.003561,0.005938,0.003288,0.003509,1926,12008900
2017-09-19,0.001921,0.006302,0.000862,0.003566,4844,6471450
2017-09-18,0.000218,0.002082,0.000218,0.001916,517,733725
2017-09-17,0.000130,0.000223,0.000111,0.000218,675,437314
2017-09-16,0.000418,0.000420,0.000126,0.000130,313,1405690
2017-09-15,0.000212,0.000624,0.000197,0.000419,145,712034
2017-09-14,0.000400,0.000850,0.000155,0.000210,419,1341500
2017-09-13,0.000264,0.001190,0.000247,0.000400,80,884017
2017-09-12,0.000273,0.000399,0.000191,0.000265,45,915743
2017-09-11,0.000266,0.000287,0.000234,0.000273,414,890922
2017-09-10,0.000217,0.000264,0.000163,0.000182,1012,724995
2017-09-09,0.000417,0.000832,0.000208,0.000217,99,1391480
2017-09-08,0.000272,0.000418,0.000180,0.000416,656,908018
2017-09-07,0.000260,0.000395,0.000257,0.000272,171,866862
2017-09-06,0.000311,0.000339,0.000225,0.000260,740,1037380
2017-09-05,0.000221,0.000398,0.000173,0.000311,1789,734744
2017-09-04,0.000892,0.001001,0.000213,0.000220,618,2966630
2017-09-03,0.000363,0.001417,0.000266,0.000892,289,1206660
2017-09-02,0.000178,0.000773,0.000176,0.000363,215,589587
2017-09-01,0.000467,0.000602,0.000108,0.000177,1553,1548800
2017-08-31,0.001437,0.001484,0.000430,0.000467,264,4763250
2017-08-30,0.001082,0.001579,0.000786,0.001439,1100,3583900
2017-08-29,0.000648,0.002795,0.000604,0.001084,2984,2143740
2017-08-28,0.000644,0.001086,0.000460,0.000647,1108,2128000
2017-08-27,0.001832,0.002083,0.000608,0.000644,4374,6051250
2017-08-26,0.000242,0.001897,0.000164,0.001832,3837,797767
2017-08-25,0.000334,0.000917,0.000178,0.000242,692,1101430
2017-08-24,0.000293,0.000421,0.000215,0.000335,695,964753
2017-08-23,0.000439,0.000875,0.000293,0.000293,327,1444380
2017-08-22,0.000450,0.000504,0.000324,0.000440,226,1479960
2017-08-21,0.001861,0.001953,0.000197,0.000449,511,6115300
2017-08-20,0.000920,0.002637,0.000558,0.001868,2361,3021010
2017-08-19,0.000427,0.001047,0.000399,0.000924,370,1399970
2017-08-18,0.000297,0.000667,0.000251,0.000427,268,974487
2017-08-17,0.000268,0.000548,0.000259,0.000298,499,877167
2017-08-16,0.000674,0.000847,0.000267,0.000268,179,2204970
2017-08-15,0.001755,0.001837,0.000419,0.000673,3095,5737990
2017-08-14,0.000401,0.002056,0.000341,0.001750,1173,1310890
2017-08-13,0.000125,0.000402,0.000088,0.000401,47,406670
2017-08-12,0.000098,0.000173,0.000076,0.000125,1005,319257
2017-08-11,0.000376,0.000376,0.000086,0.000098,27,1225030
2017-08-10,0.000703,0.000871,0.000366,0.000376,58,2286950
2017-08-09,0.000120,0.000819,0.000118,0.000703,110,390758
2017-08-08,0.000160,0.000161,0.000108,0.000120,11,518957
2017-08-07,0.000130,0.000236,0.000112,0.000160,63,423176
2017-08-06,0.000099,0.000134,0.000097,0.000131,318,319749
2017-08-05,0.000143,0.000193,0.000086,0.000099,1038,463301
2017-08-04,0.000395,0.000396,0.000086,0.000143,1539,1278270
2017-08-03,0.000180,0.000721,0.000178,0.000395,28,582870
2017-08-02,0.000164,0.000541,0.000113,0.000180,118,529266
2017-08-01,0.000116,0.000194,0.000114,0.000164,1,373040
2017-07-31,0.000360,0.000360,0.000114,0.000115,723,1160950
2017-07-30,0.000146,0.000359,0.000107,0.000359,49,470225
2017-07-29,0.000174,0.000852,0.000144,0.000146,2157,561961
2017-07-28,0.000160,0.000176,0.000134,0.000175,40,513733
2017-07-27,0.000361,0.000363,0.000159,0.000159,26,1160970
2017-07-26,0.000295,0.000576,0.000221,0.000360,43,946131
2017-07-25,0.000258,0.000295,0.000170,0.000294,152,827712
2017-07-24,0.000475,0.000647,0.000258,0.000258,251,1521920
2017-07-23,0.000149,0.000750,0.000145,0.000475,126,477032
2017-07-22,0.000332,0.000355,0.000139,0.000149,20,1062530
2017-07-21,0.000248,0.000610,0.000231,0.000332,21,791502
2017-07-20,0.000193,0.000258,0.000134,0.000246,41,617422
2017-07-19,0.000455,0.000567,0.000156,0.000194,507,1451220
2017-07-18,0.000112,0.000623,0.000109,0.000454,504,358663
2017-07-17,0.000121,0.000156,0.000105,0.000112,80,385629
2017-07-16,0.000148,0.000151,0.000100,0.000121,26,469742
2017-07-15,0.000124,0.000292,0.000116,0.000148,80,394688
2017-07-14,0.000198,0.000198,0.000115,0.000119,31,627823
2017-07-13,0.000333,0.000334,0.000124,0.000198,10,1058480
2017-07-12,0.000140,0.000358,0.000138,0.000333,44,444617
2017-07-11,0.000284,0.000314,0.000116,0.000141,1321,900248
2017-07-10,0.000168,0.000332,0.000127,0.000285,65,530949
2017-07-09,0.000459,0.000460,0.000165,0.000167,944,1451580
2017-07-08,0.000166,0.000458,0.000164,0.000458,11,524653
