Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.000627,0.000706,0.000405,0.000409,118,6478
2017-11-23,0.000587,0.000677,0.000577,0.000628,575,6066
2017-11-22,0.000584,0.000657,0.000574,0.000588,86,6032
2017-11-21,0.000720,0.000750,0.000504,0.000568,98,7429
2017-11-20,0.000981,0.000982,0.000720,0.000720,212,10132
2017-11-19,0.000888,0.001000,0.000803,0.000973,349,9165
2017-11-18,0.001015,0.001148,0.000852,0.000916,507,10476
2017-11-17,0.001279,0.001310,0.001012,0.001027,239,13202
2017-11-16,0.000942,0.001366,0.000930,0.001281,440,9727
2017-11-15,0.001355,0.001418,0.000833,0.000937,1599,13994
2017-11-14,0.001567,0.001603,0.001110,0.001356,648,16183
2017-11-13,0.001221,0.001573,0.000744,0.001564,1064,12608
2017-11-12,0.001279,0.001705,0.000907,0.001219,5341,13201
2017-11-11,0.002919,0.002919,0.000744,0.001279,7514,30141
2017-11-10,0.000868,0.004130,0.000757,0.002930,109740,8964
