Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.018485,0.019180,0.018133,0.019008,5,97166
2017-11-23,0.019329,0.019424,0.017186,0.018510,20,101535
2017-11-22,0.017121,0.019919,0.017048,0.019335,20,89870
2017-11-21,0.017389,0.017661,0.016450,0.017079,13,91220
2017-11-20,0.017052,0.017495,0.016826,0.017386,16,89387
2017-11-19,0.016430,0.017115,0.016240,0.017060,8,86072
2017-11-18,0.016757,0.018765,0.016096,0.016461,13,87721
2017-11-17,0.017101,0.018690,0.016496,0.016822,16,89461
2017-11-16,0.015848,0.017446,0.015493,0.017129,14,82843
2017-11-15,0.014281,0.015820,0.014281,0.015765,11,74603
2017-11-14,0.016001,0.016434,0.013817,0.014271,4,83527
2017-11-13,0.011624,0.016288,0.011534,0.015967,42,60646
2017-11-12,0.013231,0.013231,0.010465,0.011607,11,68986
2017-11-11,0.012427,0.013276,0.012027,0.013241,2,64750
2017-11-10,0.013473,0.013862,0.012193,0.012471,1,70166
2017-11-09,0.014263,0.014263,0.013325,0.013434,7,74227
2017-11-08,0.016438,0.018117,0.013609,0.014278,7,85491
2017-11-07,0.011830,0.016630,0.011830,0.016490,48,61484
2017-11-06,0.011829,0.013176,0.011722,0.011849,16,61437
2017-11-05,0.011508,0.022177,0.011508,0.011803,317,59725
2017-11-04,0.011252,0.012838,0.010924,0.011530,12,58361
2017-11-03,0.012291,0.013324,0.011095,0.011281,15,63704
2017-11-02,0.010698,0.012694,0.010644,0.012307,10,55411
2017-11-01,0.013210,0.014431,0.010377,0.010687,67,68370
2017-10-31,0.012562,0.013321,0.012495,0.013220,5,64971
2017-10-30,0.012437,0.014937,0.012192,0.012605,9,64279
2017-10-29,0.011570,0.014392,0.011540,0.012510,9,59759
2017-10-28,0.011873,0.012093,0.011420,0.011586,6,61276
2017-10-27,0.012068,0.012292,0.011683,0.011840,5,62240
2017-10-26,0.011526,0.012268,0.011457,0.012065,4,59403
2017-10-25,0.011202,0.013877,0.010827,0.011527,7,57692
2017-10-24,0.011790,0.016464,0.011136,0.011198,23,60676
2017-10-23,0.012497,0.012741,0.011668,0.011816,59,64267
2017-10-22,0.012328,0.012690,0.011884,0.012517,2,63359
2017-10-21,0.016995,0.017403,0.012100,0.012324,9,87292
2017-10-20,0.016087,0.017294,0.015962,0.017030,2,82573
2017-10-19,0.013186,0.019688,0.013121,0.016082,61,67635
2017-10-18,0.013162,0.013243,0.012066,0.013179,3,67461
2017-10-17,0.013234,0.013307,0.012677,0.013161,30,67782
2017-10-16,0.013034,0.017109,0.012748,0.013232,14,66714
2017-10-15,0.013399,0.013443,0.012493,0.013033,6,68538
2017-10-14,0.013574,0.014643,0.012082,0.013376,18,69382
2017-10-13,0.011643,0.013574,0.011337,0.013570,12,59473
2017-10-12,0.010521,0.015606,0.009676,0.011607,16,53703
2017-10-11,0.009526,0.010519,0.009450,0.010512,15,48589
2017-10-10,0.009572,0.010448,0.009457,0.009527,5,48793
2017-10-09,0.009666,0.009903,0.009116,0.009573,6,49239
2017-10-08,0.010220,0.010632,0.009099,0.009663,36,52027
2017-10-07,0.011066,0.012541,0.008775,0.010248,12,56293
2017-10-06,0.010939,0.011307,0.010917,0.011062,6,55606
2017-10-05,0.010849,0.011047,0.010517,0.010939,5,55111
2017-10-04,0.011058,0.011172,0.010743,0.010839,6,56135
2017-10-03,0.012284,0.012932,0.010805,0.011033,11,62310
2017-10-02,0.012919,0.013062,0.011545,0.012283,8,65482
2017-10-01,0.012383,0.012924,0.011712,0.012924,5,62722
2017-09-30,0.010931,0.013220,0.010920,0.012376,4,55335
2017-09-29,0.011574,0.012567,0.010880,0.010929,7,58555
