Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.009276,0.016601,0.007956,0.014157,13036,593242
2017-11-23,0.010061,0.011044,0.008323,0.009289,7692,643238
2017-11-22,0.009740,0.013705,0.008745,0.010064,10763,622338
2017-11-21,0.014176,0.015224,0.008478,0.009398,4564,905376
2017-11-20,0.016971,0.018541,0.012368,0.014173,49909,1083420
2017-11-19,0.015657,0.019464,0.014042,0.017140,44332,999444
2017-11-18,0.013383,0.021488,0.010815,0.015686,12730,854096
2017-11-17,0.008331,0.019689,0.008331,0.013449,10712,531571
2017-11-16,0.013658,0.017928,0.008164,0.008299,10949,871204
2017-11-15,0.016852,0.017745,0.011924,0.013587,4529,1074300
2017-11-14,0.017232,0.019682,0.014557,0.016841,5708,1098290
2017-11-13,0.020167,0.021384,0.015356,0.017196,3570,1285020
2017-11-12,0.016591,0.020132,0.013487,0.020132,2114,1056650
2017-11-11,0.015405,0.018546,0.014819,0.014991,1611,980842
2017-11-10,0.021951,0.022491,0.015069,0.020201,11695,1397230
2017-11-09,0.022661,0.022717,0.019195,0.021886,1234,1441940
2017-11-08,0.024783,0.035954,0.019432,0.027598,10018,1576410
2017-11-07,0.023760,0.030949,0.017897,0.026543,7746,1510990
2017-11-06,0.024902,0.041082,0.021352,0.023621,13437,1582990
2017-11-05,0.039558,0.040293,0.024354,0.024853,20732,2513880
2017-11-04,0.044036,0.045069,0.030964,0.039486,11397,2797680
2017-11-03,0.041862,0.047430,0.034437,0.044132,32580,2659110
2017-11-02,0.047235,0.081556,0.029550,0.041691,4722,3000050
2017-11-01,0.057222,0.057222,0.027361,0.049535,8935,3633830
2017-10-31,0.054170,0.056964,0.052844,0.054169,8985,3439530
2017-10-30,0.051780,0.054398,0.046367,0.054354,19857,3287280
2017-10-29,0.041241,0.053046,0.041194,0.052082,20287,2618010
2017-10-28,0.040920,0.043071,0.036172,0.041298,3321,2596760
2017-10-27,0.035203,0.046202,0.030503,0.040809,27326,1943210
2017-10-26,0.030794,0.035265,0.029905,0.035195,8772,1699810
2017-10-25,0.027867,0.031054,0.023802,0.030797,19253,1538280
2017-10-24,0.029269,0.029269,0.022872,0.027856,3027,1615660
2017-10-23,0.027983,0.029859,0.024328,0.029334,10717,1544670
2017-10-22,0.028204,0.028452,0.023235,0.028088,3161,1556870
2017-10-21,0.021559,0.029861,0.019791,0.028196,9768,1190030
2017-10-20,0.018540,0.023891,0.016895,0.021604,3056,1023400
2017-10-19,0.019332,0.020809,0.015972,0.018535,1129,1067120
2017-10-18,0.020387,0.020387,0.015416,0.019322,562,1125340
