Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.009247,0.009761,0.007611,0.008312,1177,2432410
2017-11-23,0.005519,0.010646,0.004887,0.009294,3589,1451580
2017-11-22,0.004214,0.009141,0.004210,0.005501,7828,1108550
2017-11-21,0.004824,0.005331,0.003964,0.004208,4840,1269000
2017-11-20,0.005717,0.006781,0.004832,0.004832,3462,1503890
2017-11-19,0.006724,0.006746,0.005397,0.005724,8519,1768720
2017-11-18,0.006717,0.007000,0.005089,0.006742,10531,1766890
2017-11-17,0.008217,0.008221,0.005201,0.006728,7204,2161480
2017-11-16,0.008347,0.008363,0.006869,0.008224,4426,2195620
2017-11-15,0.008470,0.008501,0.007007,0.008348,5605,2227910
2017-11-14,0.008816,0.010078,0.007841,0.008465,6812,2319020
2017-11-13,0.008970,0.009650,0.007932,0.008816,7358,2359290
2017-11-12,0.009538,0.009692,0.008009,0.008954,2463,2508940
2017-11-11,0.008686,0.010225,0.008399,0.009538,6926,2284680
2017-11-10,0.009218,0.009894,0.008243,0.008703,5749,2424620
2017-11-09,0.009090,0.009284,0.007759,0.009213,3920,2390910
2017-11-08,0.008242,0.009435,0.007784,0.009137,3670,2167830
2017-11-07,0.009035,0.009457,0.007972,0.008252,3998,2376600
2017-11-06,0.008526,0.010564,0.007908,0.009033,2165,2242680
2017-11-05,0.009930,0.010115,0.008360,0.008515,2445,2611820
2017-11-04,0.010556,0.010822,0.008378,0.009919,7058,2776630
2017-11-03,0.011221,0.011321,0.009398,0.010566,4781,2951520
2017-11-02,0.007765,0.022715,0.007156,0.011327,4683,2042390
2017-11-01,0.013482,0.013508,0.007747,0.007747,2574,3546310
2017-10-31,0.016810,0.017030,0.013505,0.013505,3471,4421590
2017-10-30,0.015660,0.016850,0.011366,0.016850,2649,4119040
2017-10-29,0.013327,0.017001,0.012776,0.015124,3889,3505580
2017-10-28,0.012138,0.013721,0.009383,0.013336,1982,3192580
2017-10-27,0.019340,0.019560,0.011909,0.012127,6249,5087170
2017-10-26,0.014184,0.019370,0.010140,0.019362,11927,3731010
2017-10-25,0.008423,0.054892,0.007472,0.014215,2481,2215600
2017-10-24,0.010223,0.010875,0.008408,0.008418,486,2688940
2017-10-23,0.011759,0.011766,0.009749,0.010232,571,-
2017-10-22,0.010219,0.011964,0.008460,0.011766,2408,-
2017-10-21,0.011220,0.014031,0.008811,0.010219,1837,-
2017-10-20,0.011542,0.011913,0.008647,0.011234,1403,-
2017-10-19,0.012204,0.013271,0.008937,0.011551,2076,-
2017-10-18,0.006784,0.012570,0.006784,0.012232,1287,-
2017-10-17,0.017499,0.017612,0.006857,0.006973,3328,-
2017-10-16,0.022202,0.022849,0.011678,0.017466,1218,-
2017-10-15,0.022485,0.023043,0.021495,0.022143,176,-
2017-10-14,0.016601,0.026923,0.016478,0.019800,7157,-
2017-10-13,0.024168,0.024179,0.016584,0.016584,8867,-
2017-10-12,0.024178,0.024329,0.023125,0.024215,28580,-
