Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.036531,0.049640,0.032012,0.032167,236,53978
2017-11-23,0.043206,0.044493,0.036613,0.036613,39,63816
2017-11-22,0.041909,0.051163,0.032953,0.043221,1150,61876
2017-11-21,0.033810,0.043085,0.026196,0.041807,369,49900
2017-11-20,0.037885,0.038702,0.026775,0.033804,308,55895
2017-11-19,0.045020,0.045039,0.032820,0.037903,31,66397
2017-11-18,0.024060,0.046271,0.023324,0.045103,149,35470
2017-11-17,0.052234,0.052386,0.023826,0.024152,6,76976
2017-11-16,0.031593,0.052717,0.030885,0.052717,1,46541
2017-11-15,0.035645,0.044072,0.028129,0.031428,51,52491
2017-11-14,0.037592,0.040723,0.027678,0.035621,39,55336
2017-11-13,0.031334,0.038621,0.026604,0.037513,36,46106
2017-11-12,0.037056,0.041309,0.030218,0.031289,538,54503
2017-11-11,0.020243,0.042122,0.020213,0.037080,323,29762
2017-11-10,0.023975,0.024537,0.020236,0.020321,12,35238
2017-11-09,0.023074,0.024107,0.022524,0.023789,13,33901
2017-11-08,0.025735,0.027255,0.022182,0.023098,12,37794
2017-11-07,0.029039,0.030895,0.024737,0.025815,41,42626
2017-11-06,0.023715,0.030998,0.022406,0.029086,618,34797
2017-11-05,0.025225,0.025278,0.023103,0.023662,8,37000
2017-11-04,0.022544,0.028472,0.022041,0.025098,67,33054
2017-11-03,0.022194,0.023493,0.021946,0.022594,24,32528
2017-11-02,0.021729,0.023100,0.021504,0.022223,37,31833
2017-11-01,0.024371,0.027072,0.020804,0.021659,135,35692
2017-10-31,0.023628,0.024636,0.022472,0.024513,20,34591
2017-10-30,0.034175,0.035202,0.019622,0.023710,1147,50011
2017-10-29,0.027774,0.035465,0.025144,0.035322,18,40629
2017-10-28,0.025346,0.028145,0.025007,0.027813,51,37062
2017-10-27,0.028523,0.031180,0.025280,0.025280,186,41692
2017-10-26,0.030060,0.030818,0.020491,0.028533,58,43925
2017-10-25,0.023397,0.030737,0.019196,0.030061,17,34173
2017-10-24,0.024447,0.029450,0.018349,0.023302,93,35693
2017-10-23,0.029729,0.029933,0.023991,0.024517,11,43387
2017-10-22,0.018579,0.029851,0.013649,0.029777,9,27105
2017-10-21,0.022316,0.022686,0.018205,0.018575,87,32543
2017-10-20,0.026708,0.032176,0.022036,0.022101,2,38936
2017-10-19,0.027475,0.029215,0.026702,0.026732,63,40037
2017-10-18,0.027270,0.031775,0.022361,0.027558,41,39724
2017-10-17,0.033781,0.033871,0.019807,0.027268,46,49188
2017-10-16,0.031239,0.040813,0.031239,0.033776,77,45469
2017-10-15,0.024581,0.031569,0.024439,0.031233,40,35766
