Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,50.47,55.03,42.39,54.54,56267,28692200
2017-11-23,54.30,55.86,49.28,50.71,56023,30806500
2017-11-22,51.82,54.19,48.26,54.19,8421,29319700
2017-11-21,46.98,51.74,43.96,51.74,14096,26578600
2017-11-20,50.87,52.10,47.02,47.02,13363,28723000
2017-11-19,46.78,56.63,45.21,50.92,26437,27337000
2017-11-18,50.96,50.96,44.36,46.87,7981,29773300
2017-11-17,48.46,51.53,45.38,51.23,13482,28301800
2017-11-16,48.32,50.66,44.08,48.50,39177,28160600
2017-11-15,52.52,52.52,39.40,48.32,308006,30271900
2017-11-14,49.88,53.68,47.66,52.50,165361,28619700
2017-11-13,44.24,54.39,44.24,49.88,123377,24780200
2017-11-12,48.20,48.20,42.96,44.18,27097,26999800
2017-11-11,53.80,57.03,48.20,48.20,57605,30133100
2017-11-10,48.54,59.74,46.20,53.95,131391,27186200
2017-11-09,52.28,53.09,43.60,48.50,39505,29280700
2017-11-08,44.64,54.47,37.87,52.55,164780,25006100
2017-11-07,34.53,46.33,34.53,44.68,56004,-
2017-11-06,43.04,43.04,29.89,34.49,159190,-
2017-11-05,40.19,43.07,34.18,43.00,69157,-
2017-11-04,44.77,45.61,37.11,40.14,41624,-
2017-11-03,31.66,45.37,31.66,44.76,98629,-
2017-11-02,43.43,44.78,31.00,31.51,49249,-
2017-11-01,46.95,48.76,39.11,43.33,26704,-
2017-10-31,53.24,53.50,43.92,47.03,6313,-
2017-10-30,44.66,53.21,44.12,53.21,88642,-
2017-10-29,51.38,55.09,44.85,44.85,9484,-
2017-10-28,48.88,54.06,38.54,51.42,29875,-
2017-10-27,42.68,48.85,41.76,48.81,19135,-
2017-10-26,48.17,48.66,39.87,42.70,9054,-
2017-10-25,42.48,48.95,40.02,48.27,16255,-
2017-10-24,45.84,45.88,41.49,42.44,15102,-
2017-10-23,41.53,51.66,41.26,45.87,15683,-
