Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.041230,0.042862,0.040444,0.040968,190,24445
2017-11-23,0.042524,0.042732,0.040263,0.041286,63,25212
2017-11-22,0.040003,0.042746,0.039834,0.042538,1,23717
2017-11-21,0.041290,0.041850,0.039059,0.039906,145,24480
2017-11-20,0.039815,0.050900,0.039338,0.041282,540,23606
2017-11-19,0.032783,0.040153,0.032402,0.039833,262,19437
2017-11-18,0.044967,0.044967,0.032153,0.032844,81,26661
2017-11-17,0.039223,0.047614,0.038686,0.045140,28,23255
2017-11-16,0.043672,0.044665,0.037453,0.039288,252,25893
2017-11-15,0.042909,0.044935,0.041006,0.043445,212,25441
2017-11-14,0.058386,0.060086,0.040038,0.042880,43,34617
2017-11-13,0.030352,0.059852,0.030116,0.058263,516,17996
2017-11-12,0.039567,0.039859,0.029271,0.030308,24,23459
2017-11-11,0.043328,0.044878,0.031345,0.039596,427,25689
2017-11-10,0.035787,0.045684,0.034155,0.043483,371,21218
2017-11-09,0.037412,0.044228,0.035562,0.035681,35,22181
2017-11-08,0.035581,0.044761,0.035369,0.037450,1676,21096
2017-11-07,0.037996,0.039317,0.029910,0.035693,52,22528
2017-11-06,0.030535,0.041196,0.028960,0.038057,151,18104
2017-11-05,0.044040,0.044634,0.030130,0.030467,389,26111
2017-11-04,0.030674,0.045071,0.029971,0.044123,20,18187
2017-11-03,0.035257,0.059127,0.030441,0.030754,71,20904
2017-11-02,0.051138,0.071288,0.028936,0.035303,673,30319
2017-11-01,0.058575,0.059700,0.043391,0.051081,23,34729
2017-10-31,0.030945,0.058618,0.030945,0.058618,450,18347
2017-10-30,0.048147,0.048615,0.030480,0.031051,33,28546
2017-10-29,0.038663,0.050453,0.038619,0.048428,176,22923
2017-10-28,0.037572,0.038862,0.036139,0.038716,82,22276
2017-10-27,0.037970,0.038676,0.036760,0.037074,23,22512
2017-10-26,0.026263,0.046426,0.026092,0.037961,127,15572
2017-10-25,0.043926,0.044192,0.026260,0.026267,65,26043
2017-10-24,0.046983,0.046983,0.029517,0.043908,20,27856
2017-10-23,0.047774,0.048240,0.026208,0.047087,256,28325
2017-10-22,0.036804,0.047971,0.035429,0.047852,486,21821
2017-10-21,0.041556,0.042854,0.024981,0.036793,467,24638
2017-10-20,0.039304,0.042287,0.038893,0.041643,411,23303
2017-10-19,0.036261,0.039549,0.030387,0.039294,82,21499
2017-10-18,0.031924,0.036417,0.031223,0.036242,109,18928
2017-10-17,0.040453,0.043714,0.031648,0.031922,302,23985
2017-10-16,0.040982,0.066304,0.039199,0.040447,47,24298
2017-10-15,0.049385,0.049544,0.038860,0.040976,71,29280
2017-10-14,0.047508,0.065489,0.047063,0.049296,79,28167
2017-10-13,0.060664,0.065529,0.047180,0.047495,173,35967
2017-10-12,0.072345,0.077301,0.054187,0.060477,300,42893
2017-10-11,0.085825,0.086963,0.053134,0.072284,22,50885
2017-10-10,0.065379,0.118937,0.047797,0.085839,499,38763
2017-10-09,0.038387,0.065512,0.038013,0.065384,662,22760
2017-10-08,0.035593,0.062443,0.027986,0.038378,529,21103
2017-10-07,0.059703,0.059867,0.034867,0.035689,288,35397
2017-10-06,0.056813,0.060095,0.040908,0.059684,701,33684
2017-10-05,0.048251,0.099600,0.047502,0.056770,1035,28608
2017-10-04,0.114558,0.114630,0.046117,0.048207,812,67921
2017-10-03,0.132041,0.132041,0.087812,0.114293,823,78286
2017-10-02,0.089068,0.132259,0.087898,0.132036,3274,52808
2017-10-01,0.160672,0.161401,0.088243,0.089108,973,95261
2017-09-30,0.125077,0.160598,0.087941,0.160585,1028,74157
2017-09-29,0.155122,0.155645,0.085592,0.125061,463,91971
2017-09-28,0.180291,0.184615,0.128976,0.155242,2658,106893
2017-09-27,0.136101,0.181019,0.097677,0.180284,1786,80694
2017-09-26,0.078982,0.187140,0.078977,0.136482,2550,46828
2017-09-25,0.147666,0.208820,0.078530,0.078990,1714,87550
2017-09-24,0.152222,0.208065,0.147666,0.147816,524,90252
2017-09-23,0.240461,0.247554,0.107322,0.152235,621,142568
2017-09-22,0.282717,0.293328,0.213770,0.241141,6971,167621
2017-09-21,0.193156,0.279126,0.094919,0.279126,8646,114521
2017-09-20,0.107624,0.198240,0.093535,0.194109,8564,63809
2017-09-19,0.095150,0.109288,0.091549,0.107767,1231,56414
2017-09-18,0.099768,0.103151,0.077577,0.094921,68,59152
2017-09-17,0.074363,0.102442,0.072382,0.099968,203,44089
2017-09-16,0.100151,0.101922,0.048807,0.074414,421,59379
2017-09-15,0.079493,0.103072,0.034720,0.100413,963,47131
2017-09-14,0.067345,0.082624,0.056205,0.078879,730,39929
2017-09-13,0.066439,0.071530,0.060884,0.067349,998,39391
2017-09-12,0.054777,0.070615,0.038323,0.066692,1857,32477
2017-09-11,0.055210,0.056844,0.053732,0.054725,197,32734
2017-09-10,0.037769,0.055855,0.035297,0.055304,63,22393
2017-09-09,0.043288,0.044080,0.036219,0.037866,2,25665
2017-09-08,0.055606,0.056373,0.041447,0.043204,120,32968
2017-09-07,0.055342,0.056163,0.043643,0.055595,3,32812
2017-09-06,0.035493,0.055588,0.035478,0.055448,1,21043
2017-09-05,0.039185,0.039185,0.034241,0.035452,16,23233
2017-09-04,0.046421,0.046455,0.038983,0.038983,33,27523
2017-09-03,0.060359,0.061673,0.046383,0.046405,106,35787
2017-09-02,0.065242,0.066006,0.058812,0.060320,1,38681
2017-09-01,0.047619,0.065191,0.047157,0.065160,6,28233
2017-08-31,0.061411,0.063053,0.047208,0.047610,109,36410
2017-08-30,0.061055,0.061809,0.045955,0.061518,15,36199
2017-08-29,0.044108,0.061707,0.043712,0.061136,3,26151
2017-08-28,0.060141,0.060819,0.043601,0.044033,32,35657
2017-08-27,0.062917,0.063735,0.062553,0.063006,1,37303
2017-08-26,0.043663,0.063054,0.042696,0.062933,2,25887
2017-08-25,0.068351,0.070332,0.043319,0.043579,28,40525
2017-08-24,0.065997,0.068958,0.037767,0.068459,85,39129
2017-08-23,0.034527,0.067908,0.034410,0.065969,456,20471
2017-08-22,0.038982,0.068258,0.034041,0.034598,1366,23112
