Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.001527,0.001658,0.001510,0.001645,32,30916
2017-11-23,0.001645,0.001653,0.001529,0.001529,1,33305
2017-11-22,0.001554,0.001646,0.001550,0.001646,157,31457
2017-11-20,0.001528,0.001570,0.001510,0.001561,2,30940
2017-11-19,0.001471,0.001541,0.001469,0.001529,26,29772
2017-11-17,0.001255,0.001285,0.001211,0.001264,22,25411
2017-11-16,0.001168,0.001280,0.001142,0.001257,22,23657
2017-11-15,0.001107,0.001172,0.001102,0.001162,240,22412
2017-11-14,0.001045,0.001075,0.001028,0.001048,10,21155
2017-11-13,0.000939,0.001076,0.000932,0.001043,13,19017
2017-11-12,0.001209,0.001218,0.000906,0.000938,1,24469
2017-11-11,0.001249,0.001294,0.000997,0.001210,2,25291
2017-11-10,0.001212,0.001389,0.001080,0.001254,8,24536
2017-11-09,0.001419,0.001419,0.001199,0.001208,26,28725
2017-11-08,0.001404,0.001490,0.001361,0.001420,3,28425
2017-11-07,0.001183,0.001224,0.001183,0.001214,46,23951
2017-11-06,0.001257,0.001262,0.001181,0.001185,45,25446
2017-11-05,0.001284,0.001285,0.001240,0.001254,106,25990
2017-11-04,0.001218,0.001262,0.001190,0.001247,1,24667
2017-11-03,0.001264,0.001344,0.001209,0.001222,1,25594
2017-11-02,0.001211,0.001316,0.001211,0.001266,127,24520
2017-11-01,0.001200,0.001212,0.001195,0.001210,1,24297
2017-10-30,0.001231,0.001243,0.001207,0.001222,13,24930
2017-10-29,0.001088,0.001264,0.001085,0.001239,27,22032
2017-10-28,0.000980,0.000998,0.000964,0.000976,7,19836
2017-10-27,0.001001,0.001019,0.000976,0.000977,7,20261
2017-10-26,0.001032,0.001042,0.000968,0.001001,166,20897
2017-10-25,0.001020,0.001034,0.001017,0.001032,31,20644
2017-10-24,0.000997,0.000997,0.000946,0.000973,6,20188
2017-10-23,0.001016,0.001031,0.000963,0.000999,52,20579
2017-10-22,0.001022,0.001149,0.000977,0.001018,62,20698
2017-10-21,0.001021,0.001164,0.001003,0.001022,258,20668
2017-10-20,0.000959,0.001039,0.000958,0.001023,98,19418
2017-10-19,0.000950,0.000976,0.000941,0.000969,7,19230
2017-10-18,0.000952,0.000954,0.000873,0.000949,46,19276
2017-10-17,0.000950,0.000961,0.000946,0.000952,19,19236
2017-10-16,0.000968,0.000979,0.000946,0.000969,1,19590
2017-10-15,0.001006,0.001006,0.000931,0.000967,12,20360
2017-10-11,0.000810,0.000821,0.000803,0.000812,129,16392
2017-10-10,0.001005,0.001021,0.000804,0.000810,130,20349
2017-10-09,0.000829,0.001023,0.000820,0.001005,7,16773
2017-10-08,0.000978,0.000982,0.000823,0.000828,60,19792
2017-10-07,0.000787,0.000983,0.000786,0.000980,1,15939
2017-10-06,0.000778,0.000793,0.000777,0.000787,9,15756
2017-10-05,0.000750,0.000786,0.000747,0.000778,4,15193
2017-10-04,0.000778,0.000782,0.000764,0.000765,22,15742
