Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.008278,0.009158,0.007365,0.009049,234065,-
2017-11-23,0.009623,0.010042,0.007977,0.008611,221210,-
2017-11-22,0.007399,0.010454,0.007174,0.009297,608587,-
2017-11-02,0.007269,0.007269,0.007269,0.007269,14068,-
2017-11-01,0.007235,0.007268,0.007235,0.007268,14065,-
2017-10-31,0.006922,0.007373,0.006621,0.007237,426065,-
2017-10-30,0.007202,0.007802,0.006769,0.006919,818742,-
2017-10-29,0.007519,0.007519,0.007067,0.007217,262614,-
2017-10-28,0.007218,0.007519,0.007218,0.007369,176734,-
2017-10-27,0.007677,0.007677,0.007065,0.007216,443601,-
2017-10-26,0.007230,0.007992,0.007079,0.007534,921784,-
2017-10-25,0.007084,0.007235,0.006921,0.007071,182532,-
2017-10-24,0.007078,0.007392,0.006928,0.007085,282268,-
2017-10-23,0.007387,0.007391,0.006777,0.006938,297605,-
2017-10-22,0.008003,0.008003,0.007247,0.007398,253585,-
2017-10-21,0.008002,0.008153,0.007851,0.008002,1117330,-
2017-10-20,0.007862,0.008006,0.007257,0.007855,1071160,-
2017-10-19,0.007393,0.008304,0.006936,0.007845,1231300,-
2017-10-18,0.007701,0.007852,0.006654,0.007250,964348,-
2017-10-17,0.008042,0.008042,0.007401,0.007708,707586,-
2017-10-16,0.007742,0.008491,0.007590,0.008039,1554980,-
2017-10-15,0.008056,0.008360,0.007448,0.007751,855524,-
2017-10-14,0.008056,0.008360,0.007296,0.008056,1335140,-
2017-10-13,0.007893,0.009563,0.007742,0.008046,3421980,-
2017-10-12,0.006676,0.008654,0.006525,0.007893,3117390,-
2017-10-11,0.006697,0.007001,0.006528,0.006680,257800,-
2017-10-10,0.006641,0.006990,0.006339,0.006680,610126,-
2017-10-09,0.007367,0.007517,0.006338,0.006338,964874,-
2017-10-08,0.007814,0.007966,0.007365,0.007513,836762,-
2017-10-07,0.007513,0.007814,0.007213,0.007665,463742,-
2017-10-06,0.007365,0.008118,0.007214,0.007531,1022660,-
2017-10-05,0.007666,0.007820,0.006614,0.007375,1630660,-
2017-10-04,0.008569,0.008719,0.007367,0.007678,1663990,-
2017-10-03,0.009920,0.009920,0.007218,0.008581,4660800,-
