Date,Open,High,Low,Close,Volume,Market_cap
2017-08-16,0.074850,0.085538,0.071239,0.078828,286,1372960
2017-08-15,0.109982,0.119126,0.070850,0.072942,672,2017380
2017-08-14,0.112922,0.128983,0.102423,0.109687,441,2071310
2017-08-13,0.111430,0.122497,0.110086,0.112851,145,2043930
2017-08-12,0.119512,0.122987,0.108264,0.111533,526,2192180
2017-08-11,0.092401,0.171332,0.092401,0.119611,5435,1694890
2017-08-10,0.176963,0.209320,0.060331,0.092407,67106,3245990
2017-08-09,0.196714,0.197185,0.173475,0.176946,91,3608270
2017-08-08,0.221818,0.239294,0.174435,0.196847,296,4068740
2017-08-07,0.195006,0.230868,0.185771,0.221595,42,3576930
2017-08-06,0.135954,0.312248,0.133558,0.195443,6860,2493760
2017-08-05,0.147837,0.187304,0.130548,0.135818,675,2711720
2017-08-04,0.135241,0.158730,0.134673,0.147903,76,2480670
2017-08-03,0.131163,0.162781,0.131079,0.135275,26,2405860
2017-08-02,0.164333,0.165714,0.128907,0.130928,277,3014280
2017-08-01,0.153335,0.167985,0.151869,0.164364,140,2812550
2017-07-31,0.174011,0.179034,0.144206,0.153261,47,3191790
2017-07-30,0.167827,0.177491,0.155305,0.173832,35,3078360
2017-07-29,0.177674,0.178160,0.160208,0.167850,106,3258980
2017-07-28,0.168257,0.180027,0.168257,0.178351,44,3086240
2017-07-27,0.181826,0.186589,0.161025,0.167748,38,3335120
2017-07-26,0.152253,0.182495,0.142407,0.181311,907,2792670
2017-07-25,0.203744,0.217293,0.146113,0.152184,93,3737140
2017-07-24,0.144249,0.204080,0.143071,0.203766,41,2645860
2017-07-23,0.168873,0.170463,0.142684,0.144416,139,3097520
2017-07-22,0.300201,0.305019,0.161813,0.168873,213,5506370
2017-07-21,0.173065,0.300261,0.161149,0.300261,457,3174410
2017-07-20,0.136169,0.200579,0.136169,0.171791,1592,2497640
2017-07-19,0.197961,0.206354,0.134640,0.136579,548,3631040
2017-07-18,0.152359,0.216640,0.148089,0.197656,670,2794600
2017-07-17,0.140044,0.158845,0.135597,0.151967,1996,2568720
2017-07-16,0.184755,0.194341,0.127747,0.140200,1105,3388810
2017-07-15,0.217308,0.220226,0.185313,0.185313,468,3985890
2017-07-14,0.201117,0.267327,0.164418,0.217681,11341,3688910
2017-07-13,0.137894,0.210361,0.133644,0.201265,6336,2529270
2017-07-12,0.140295,0.147621,0.134430,0.137791,24,2573290
