Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,2.03,2.37,1.85,2.23,18631,1277680
2017-11-23,1.83,2.30,1.83,2.03,6589,1151170
2017-11-22,2.11,2.41,1.83,1.83,14989,1329770
2017-11-21,2.35,2.42,2.08,2.11,7812,1480340
2017-11-20,2.54,2.73,2.08,2.35,24342,1599040
2017-11-19,2.46,2.74,2.31,2.54,16853,1546630
2017-11-18,2.26,2.50,1.94,2.46,3259,1425870
2017-11-17,1.81,2.37,1.81,2.22,4192,1137080
2017-11-16,2.02,2.44,1.74,1.81,7495,1273390
2017-11-15,2.24,2.34,1.98,2.01,4156,1410270
2017-11-14,2.35,2.42,1.84,2.24,18115,1480440
2017-11-13,2.08,2.36,1.91,2.15,5561,1308690
2017-11-12,2.24,2.54,1.50,2.08,11372,1412710
2017-11-11,2.29,2.37,2.00,2.25,1785,1444200
2017-11-10,2.67,2.74,2.05,2.30,4511,1680110
2017-11-09,3.54,3.54,2.41,2.66,4328,2228360
2017-11-08,2.14,3.54,2.13,3.54,26688,1345730
2017-11-07,2.37,2.99,1.78,2.14,27384,1491380
2017-11-06,2.42,2.56,2.23,2.37,9682,1524220
2017-11-05,2.28,2.78,2.28,2.42,25241,1435840
2017-11-04,1.98,2.59,1.69,2.28,48324,1246990
2017-11-03,1.83,2.14,1.47,1.98,11450,1149850
2017-11-02,1.95,2.14,1.69,1.83,19104,1229300
2017-11-01,2.13,2.57,1.94,1.95,22227,1343860
2017-10-31,2.35,2.62,2.11,2.14,36440,1482000
2017-10-30,1.83,3.26,1.25,2.36,205643,1153820
2017-10-29,1.85,2.15,1.84,1.84,13255,1162190
2017-10-28,2.12,2.24,1.84,1.85,9900,1337170
2017-10-27,2.24,2.28,1.91,2.12,3720,1408900
2017-10-26,2.86,2.86,1.82,2.24,23146,1799720
2017-10-25,2.38,3.04,1.89,2.86,24385,1498030
2017-10-24,2.40,2.69,2.20,2.38,8856,1509890
2017-10-23,2.07,2.59,1.83,2.40,10967,1300410
2017-10-22,2.25,2.43,1.88,2.07,13503,1417160
2017-10-21,2.55,2.55,2.14,2.25,5480,1605950
2017-10-20,3.64,3.64,2.17,2.56,42894,2289120
2017-10-19,2.21,4.24,2.19,3.55,98774,1390140
2017-10-18,2.16,3.04,1.91,2.21,36158,1359360
2017-10-17,2.25,2.39,1.79,2.16,36474,1419330
2017-10-16,2.13,2.29,1.84,2.25,26658,1341680
2017-10-15,2.04,3.47,1.97,2.13,29776,1282720
2017-10-14,1.92,2.62,1.77,2.03,22968,1210470
2017-10-13,2.51,2.73,1.87,1.92,32213,1581030
2017-10-12,1.85,2.96,1.63,2.50,55908,1166550
2017-10-11,1.55,1.86,1.31,1.85,28461,973380
2017-10-10,1.87,2.10,1.31,1.54,28363,1174790
2017-10-09,1.79,2.55,1.67,1.86,33085,1128330
2017-10-08,3.15,3.31,1.40,1.79,118846,1982240
2017-10-07,1.74,3.88,1.21,3.16,294867,1093480
