Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.004903,0.005087,0.004809,0.005018,8,48283
2017-11-23,0.005100,0.005125,0.004132,0.004909,6,50224
2017-11-22,0.008763,0.008964,0.005024,0.005101,8,86304
2017-11-21,0.008903,0.009040,0.008617,0.008742,4,87684
2017-11-20,0.014317,0.014350,0.014146,0.014325,5,141003
2017-11-19,0.006400,0.014439,0.006157,0.014324,16,63028
2017-11-17,0.012159,0.012445,0.011729,0.012001,24,119750
2017-11-16,0.004966,0.012219,0.004855,0.012179,91,48908
2017-11-15,0.004728,0.004980,0.004685,0.004940,30,46560
2017-11-13,0.002818,0.003026,0.002796,0.003015,6,27753
2017-11-12,0.002768,0.003089,0.002658,0.002814,6,27258
2017-11-10,0.012437,0.012796,0.003083,0.003103,51,122485
2017-11-09,0.002539,0.013300,0.002478,0.012400,362,25005
2017-11-08,0.002557,0.002667,0.002435,0.002542,15,25181
2017-11-07,0.004175,0.004320,0.004175,0.004310,44,41121
2017-11-06,0.004367,0.004670,0.004167,0.004182,42,43011
2017-11-05,0.014026,0.014026,0.004265,0.004358,171,138131
2017-11-04,0.013546,0.013720,0.013235,0.013476,13,133402
2017-11-03,0.013800,0.013883,0.013442,0.013581,14,135907
2017-11-02,0.006258,0.006480,0.006258,0.006463,7,61628
2017-11-01,0.005950,0.006262,0.005936,0.006251,7,58596
2017-10-31,0.012256,0.012470,0.012191,0.012446,44,120699
2017-10-30,0.012314,0.012434,0.012071,0.012297,43,121273
2017-10-29,0.010826,0.012645,0.010797,0.012386,12,106617
2017-10-28,0.019933,0.020153,0.010783,0.010841,175,196314
2017-10-27,0.020427,0.020807,0.019776,0.019951,5,201177
2017-10-26,0.019898,0.020766,0.019768,0.020422,24,195968
2017-10-25,0.010430,0.019936,0.010171,0.019901,70,102716
2017-10-24,0.011731,0.011731,0.010382,0.010425,20,115534
2017-10-23,0.013572,0.013772,0.011612,0.011757,29,133667
2017-10-22,0.020988,0.021172,0.013328,0.013594,103,206698
2017-10-21,0.016042,0.021341,0.011199,0.020982,209,157987
2017-10-20,0.016771,0.016880,0.014881,0.016076,140,165173
2017-10-19,0.011175,0.016933,0.011072,0.016767,93,110052
2017-10-18,0.011201,0.011222,0.010269,0.011169,17,110317
2017-10-17,0.011558,0.011591,0.011072,0.011201,31,113830
2017-10-16,0.016848,0.016934,0.011134,0.011556,18,165927
