Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.000004,0.000081,0.000004,0.000078,21,-
2017-11-23,0.000004,0.000005,0.000004,0.000004,0,-
2017-11-22,0.000022,0.000022,0.000003,0.000004,1,-
2017-11-21,0.000082,0.000084,0.000021,0.000022,1,-
2017-11-20,0.000077,0.000083,0.000076,0.000082,1,-
2017-11-19,0.000019,0.000078,0.000019,0.000077,22,-
2017-11-18,0.000018,0.000020,0.000018,0.000019,0,-
2017-11-17,0.000002,0.000019,0.000002,0.000018,1,-
2017-11-16,0.000017,0.000020,0.000017,0.000020,0,-
2017-11-15,0.000008,0.000022,0.000002,0.000017,0,-
2017-11-14,0.000065,0.000067,0.000009,0.000009,2,-
2017-11-13,0.000008,0.000066,0.000005,0.000065,16,-
2017-11-12,0.000064,0.000064,0.000008,0.000008,0,-
2017-11-11,0.000012,0.000064,0.000008,0.000064,19,-
2017-11-10,0.000019,0.000020,0.000017,0.000018,0,-
2017-11-09,0.000020,0.000022,0.000019,0.000019,0,-
2017-11-08,0.000020,0.000021,0.000019,0.000020,2,-
2017-11-07,0.000026,0.000042,0.000015,0.000020,6,-
2017-11-06,0.000056,0.000066,0.000026,0.000026,5,-
2017-11-05,0.000017,0.000057,0.000016,0.000057,42,-
2017-11-04,0.000013,0.000019,0.000011,0.000017,9,-
2017-11-03,0.000016,0.000016,0.000008,0.000013,1,-
2017-11-02,0.000016,0.000017,0.000012,0.000016,14,-
2017-11-01,0.000017,0.000017,0.000016,0.000016,4,-
2017-10-31,0.000036,0.000052,0.000009,0.000017,19,-
2017-10-30,0.000062,0.000062,0.000036,0.000036,16,-
2017-10-29,0.000058,0.000063,0.000058,0.000062,56,-
2017-10-28,0.000054,0.000055,0.000047,0.000047,1,-
2017-10-27,0.000095,0.000097,0.000053,0.000054,20,-
2017-10-26,0.000055,0.000115,0.000040,0.000095,9,-
2017-10-25,0.000055,0.000055,0.000048,0.000055,9,-
2017-10-24,0.000060,0.000060,0.000055,0.000055,6,-
2017-10-23,0.000060,0.000067,0.000057,0.000060,22,-
2017-10-22,0.000065,0.000069,0.000058,0.000060,21,-
2017-10-21,0.000068,0.000069,0.000062,0.000065,0,-
2017-10-20,0.000114,0.000114,0.000064,0.000067,0,-
2017-10-19,0.000111,0.000115,0.000056,0.000114,57,-
2017-10-18,0.000056,0.000112,0.000051,0.000111,6,-
2017-10-17,0.000056,0.000057,0.000055,0.000056,280,-
2017-10-16,0.000074,0.000077,0.000074,0.000074,1,-
2017-10-15,0.000059,0.000074,0.000057,0.000074,1,-
2017-10-14,0.000065,0.000072,0.000058,0.000059,6,-
2017-10-12,0.000048,0.000052,0.000048,0.000052,5,-
2017-10-11,0.000048,0.000049,0.000048,0.000048,5,-
2017-10-10,0.000048,0.000079,0.000048,0.000079,0,-
2017-10-09,0.000072,0.000090,0.000047,0.000048,5,-
2017-10-08,0.000142,0.000143,0.000046,0.000072,1,-
2017-10-07,0.000143,0.000144,0.000142,0.000142,0,-
2017-10-06,0.000086,0.000088,0.000065,0.000067,0,-
2017-10-05,0.000087,0.000115,0.000080,0.000086,13,-
2017-10-04,0.000068,0.000103,0.000056,0.000087,10,-
2017-10-03,0.000087,0.000088,0.000062,0.000068,7,-
2017-10-02,0.000075,0.000088,0.000072,0.000087,123,-
2017-10-01,0.000065,0.000075,0.000046,0.000075,7,-
2017-09-30,0.000133,0.000138,0.000043,0.000065,19,-
2017-09-29,0.000171,0.000177,0.000110,0.000133,276,-
2017-09-28,0.000102,0.000190,0.000043,0.000171,280,-
2017-09-27,0.000041,0.000102,0.000039,0.000102,4,-
2017-09-26,0.000080,0.000101,0.000042,0.000042,131,-
2017-09-25,0.000070,0.000081,0.000070,0.000079,35,-
2017-09-24,0.000072,0.000075,0.000069,0.000070,32,-
2017-09-23,0.000072,0.000076,0.000037,0.000072,4,-
2017-09-22,0.000070,0.000073,0.000035,0.000072,4,-
2017-09-21,0.000039,0.000105,0.000039,0.000070,12,-
2017-09-20,0.000075,0.000075,0.000039,0.000039,6,-
2017-09-19,0.000071,0.000076,0.000040,0.000075,4,-
2017-09-18,0.000056,0.000081,0.000044,0.000071,40,-
2017-09-17,0.000078,0.000078,0.000046,0.000056,9,-
2017-09-16,0.000078,0.000113,0.000047,0.000078,238,-
2017-09-15,0.000043,0.000136,0.000043,0.000077,602,-
2017-09-14,0.000039,0.000090,0.000038,0.000043,32,-
2017-09-13,0.000049,0.000071,0.000038,0.000039,0,-
2017-09-12,0.000062,0.000062,0.000048,0.000050,66,-
2017-09-11,0.000098,0.000101,0.000049,0.000062,111,-
2017-09-10,0.000045,0.000127,0.000041,0.000098,542,-
2017-09-09,0.000043,0.000046,0.000042,0.000045,50,-
2017-09-08,0.000083,0.000085,0.000042,0.000043,44,-
2017-09-07,0.000046,0.000086,0.000045,0.000083,109,-
2017-09-06,0.000045,0.000048,0.000045,0.000046,79,-
2017-09-05,0.000043,0.000047,0.000041,0.000045,59,-
2017-09-04,0.000048,0.000082,0.000042,0.000043,4,-
2017-09-03,0.000077,0.000092,0.000046,0.000048,120,-
2017-09-02,0.000088,0.000097,0.000045,0.000077,42,-
2017-09-01,0.000047,0.000141,0.000047,0.000088,299,-
2017-08-31,0.000046,0.000069,0.000046,0.000047,26,-
2017-08-30,0.000090,0.000090,0.000045,0.000046,298,-
2017-08-29,0.000060,0.000096,0.000059,0.000090,48,-
2017-08-28,0.000086,0.000086,0.000043,0.000060,15,-
2017-08-27,0.000086,0.000129,0.000085,0.000086,54,-
2017-08-26,0.000055,0.000086,0.000054,0.000086,32,-
2017-08-25,0.000043,0.000076,0.000043,0.000055,102,-
2017-08-24,0.000082,0.000084,0.000041,0.000043,20,-
2017-08-23,0.000121,0.000121,0.000041,0.000082,72,-
2017-08-22,0.000079,0.000121,0.000040,0.000121,0,-
2017-08-21,0.000067,0.000115,0.000040,0.000078,35,-
2017-08-20,0.000083,0.000106,0.000041,0.000068,216,-
2017-08-19,0.000080,0.000083,0.000079,0.000083,150,-
2017-08-18,0.000075,0.000087,0.000072,0.000080,9,-
2017-08-17,0.000093,0.000096,0.000066,0.000075,35,-
2017-08-16,0.000074,0.000117,0.000065,0.000093,63,-
2017-08-15,0.000077,0.000078,0.000056,0.000073,22,-
2017-08-14,0.000077,0.000120,0.000073,0.000077,35,-
2017-08-13,0.000103,0.000125,0.000074,0.000077,104,-
2017-08-12,0.000096,0.000106,0.000066,0.000103,47,-
2017-08-11,0.000088,0.000104,0.000078,0.000096,62,-
2017-08-10,0.000089,0.000114,0.000058,0.000088,551,-
2017-08-09,0.000061,0.000095,0.000041,0.000091,68,-
2017-08-08,0.000037,0.000075,0.000036,0.000061,184,-
2017-08-07,0.000037,0.000047,0.000035,0.000037,1504,-
2017-08-06,0.000049,0.000053,0.000033,0.000037,3114,-
2017-08-05,0.000040,0.000056,0.000032,0.000049,806,-
2017-08-04,0.000039,0.000044,0.000033,0.000040,2152,-
2017-08-03,0.000087,0.000088,0.000033,0.000039,8348,-
2017-08-02,0.000154,0.000185,0.000063,0.000087,2845,-
2017-08-01,0.000156,0.000190,0.000139,0.000154,996,-
2017-07-31,0.000124,0.000188,0.000123,0.000156,2130,-
2017-07-30,0.000226,0.000240,0.000124,0.000124,1693,-
2017-07-29,0.000268,0.000275,0.000197,0.000226,1975,-
2017-07-28,0.000266,0.000385,0.000208,0.000269,4279,-
2017-07-27,0.000252,0.000268,0.000177,0.000265,1237,-
2017-07-26,0.000256,0.000274,0.000147,0.000252,2003,-
2017-07-25,0.000441,0.000444,0.000133,0.000256,2803,-
2017-07-24,0.000463,0.000468,0.000353,0.000441,1808,-
2017-07-23,0.000572,0.000596,0.000424,0.000464,6973,-
2017-07-22,0.000533,0.000720,0.000478,0.000572,11764,-
2017-07-21,0.000411,0.000606,0.000379,0.000533,8142,-
2017-07-20,0.000324,0.000435,0.000319,0.000407,3726,-
2017-07-19,0.000335,0.000392,0.000308,0.000325,7326,-
2017-07-18,0.000378,0.000394,0.000308,0.000335,5761,-
2017-07-17,0.000311,0.000394,0.000278,0.000378,13183,-
2017-07-16,0.000289,0.000368,0.000232,0.000311,4003,-
2017-07-15,0.000406,0.000420,0.000280,0.000290,7666,-
2017-07-14,0.000406,0.000449,0.000380,0.000407,3749,-
2017-07-13,0.000473,0.000491,0.000320,0.000404,6418,-
2017-07-12,0.000585,0.000585,0.000469,0.000472,3508,-
2017-07-11,0.000548,0.000654,0.000444,0.000586,4649,-
2017-07-10,0.000806,0.000810,0.000533,0.000550,5643,-
2017-07-09,0.000910,0.001047,0.000786,0.000805,11805,-
2017-07-08,0.000939,0.000987,0.000819,0.000909,1288,-
2017-07-07,0.000860,0.001100,0.000860,0.000938,4163,-
2017-07-06,0.000984,0.001028,0.000854,0.000860,3164,-
