Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.002505,0.004925,0.002502,0.004408,23,36823
2017-11-23,0.003577,0.003852,0.002500,0.002500,27,52589
2017-11-22,0.004398,0.005213,0.001943,0.003580,2,64659
2017-11-21,0.002624,0.007286,0.001524,0.004377,2,38580
2017-11-20,0.001631,0.002644,0.000937,0.002622,16,23981
2017-11-19,0.002665,0.005612,0.001544,0.001620,11,39172
2017-11-18,0.001657,0.005687,0.001657,0.002673,34,24356
2017-11-17,0.002523,0.017776,0.001699,0.001699,7,37096
2017-11-16,0.025853,0.036035,0.002324,0.002524,53,380063
2017-11-15,0.005385,0.034376,0.003153,0.025825,26,79161
2017-11-14,0.002966,0.006419,0.001900,0.005385,1,43608
2017-11-13,0.004691,0.006291,0.002246,0.002961,131,68962
2017-11-12,0.002723,0.005276,0.001679,0.004663,5,40026
2017-11-11,0.002523,0.003544,0.002109,0.002718,11,37092
2017-11-10,0.045353,0.047240,0.002104,0.002531,143,666737
2017-11-09,0.010264,0.066486,0.010264,0.045160,72,150895
2017-11-08,0.001610,0.010494,0.001544,0.010220,26,23665
2017-11-07,0.003229,0.004112,0.001611,0.001611,175,47472
2017-11-06,0.003740,0.007254,0.002996,0.003235,114,54978
2017-11-05,0.004463,0.004884,0.002519,0.003737,91,65604
2017-11-04,0.003846,0.004641,0.002352,0.004492,73,56538
2017-11-03,0.001973,0.004278,0.001959,0.003856,194,29008
2017-11-02,0.004721,0.005663,0.001953,0.001977,99,69401
2017-11-01,0.004692,0.005563,0.001989,0.004741,73,68980
2017-10-31,0.004061,0.008449,0.001636,0.004676,423,59698
2017-10-30,0.005610,0.006168,0.001735,0.002067,230,82472
2017-10-29,0.007141,0.007436,0.005365,0.005579,249,104974
2017-10-28,0.004766,0.007420,0.004732,0.007138,26,70066
2017-10-27,0.006536,0.006627,0.004647,0.004759,245,96091
2017-10-26,0.006122,0.006597,0.004803,0.006586,156,89996
2017-10-25,0.006320,0.006329,0.005255,0.006124,111,92918
2017-10-24,0.006008,0.006943,0.005671,0.006475,359,88318
2017-10-23,0.009545,0.009548,0.005576,0.006020,135,140320
2017-10-22,0.007001,0.009607,0.006458,0.009560,249,102918
2017-10-21,0.007310,0.007831,0.006816,0.006999,123,107467
2017-10-20,0.007021,0.007575,0.006299,0.007328,40,103216
2017-10-19,0.005989,0.007307,0.005943,0.007019,73,88040
2017-10-18,0.007506,0.007798,0.005459,0.005986,790,110343
2017-10-17,0.005409,0.015250,0.005409,0.007505,2038,79522
2017-10-16,0.006780,0.017846,0.005397,0.005408,2970,99677
2017-10-15,0.007373,0.008681,0.006412,0.006779,343,108387
2017-10-14,0.005559,0.009659,0.005458,0.007355,267,81717
2017-10-13,0.007213,0.007340,0.005447,0.005555,158,106044
2017-10-12,0.007572,0.007599,0.005941,0.007190,33,111317
2017-10-11,0.007390,0.007912,0.005166,0.007567,63,108647
2017-10-10,0.004499,0.007864,0.004499,0.007389,245,66140
2017-10-09,0.006698,0.008572,0.004431,0.004499,392,98471
2017-10-08,0.005688,0.007124,0.005468,0.006697,157,83614
2017-10-07,0.007181,0.007211,0.005456,0.005702,39,105562
2017-10-06,0.007368,0.007605,0.005307,0.007178,317,108323
2017-10-05,0.007140,0.007653,0.004734,0.007369,359,104968
2017-10-04,0.007488,0.007493,0.004719,0.007134,60,110078
2017-10-03,0.007570,0.007803,0.004525,0.007471,126,111285
