Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.000493,0.000502,0.000489,0.000494,152,153840
2017-11-23,0.000419,0.000508,0.000415,0.000493,534,130610
2017-11-22,0.000485,0.000506,0.000419,0.000420,688,151091
2017-11-21,0.000413,0.000501,0.000391,0.000484,238,128674
2017-11-20,0.000387,0.000497,0.000322,0.000413,456,120418
2017-11-19,0.000376,0.000439,0.000338,0.000387,194,116792
2017-11-18,0.000341,0.000381,0.000312,0.000374,97,105979
2017-11-17,0.000327,0.000412,0.000319,0.000342,62,101594
2017-11-16,0.000298,0.000328,0.000291,0.000328,81,92422
2017-11-15,0.000359,0.000397,0.000292,0.000296,62,111233
2017-11-14,0.000399,0.000411,0.000358,0.000358,135,123577
2017-11-13,0.000233,0.000399,0.000231,0.000399,520,72146
2017-11-12,0.000255,0.000257,0.000221,0.000233,229,78804
2017-11-11,0.000263,0.000272,0.000250,0.000255,177,81224
2017-11-10,0.000285,0.000292,0.000258,0.000264,61,88014
2017-11-09,0.000299,0.000299,0.000282,0.000284,50,92328
2017-11-08,0.000283,0.000311,0.000281,0.000300,100,87193
2017-11-07,0.000278,0.000287,0.000278,0.000284,96,85550
2017-11-06,0.000295,0.000296,0.000277,0.000278,87,90794
2017-11-05,0.000360,0.000377,0.000291,0.000294,454,110597
2017-11-04,0.000360,0.000372,0.000352,0.000360,156,110547
2017-11-03,0.000351,0.000373,0.000347,0.000361,312,107575
2017-11-02,0.000336,0.000366,0.000336,0.000352,478,102809
2017-11-01,0.000322,0.000336,0.000318,0.000335,113,98541
2017-10-31,0.000306,0.000380,0.000305,0.000322,890,93560
2017-10-30,0.000369,0.000372,0.000304,0.000307,360,112554
2017-10-29,0.000343,0.000379,0.000342,0.000371,171,104658
2017-10-28,0.000349,0.000461,0.000343,0.000344,1221,106360
2017-10-27,0.000353,0.000360,0.000341,0.000348,199,107393
2017-10-26,0.000339,0.000454,0.000337,0.000353,730,102983
2017-10-25,0.000430,0.000467,0.000305,0.000339,943,130244
2017-10-24,0.000233,0.000484,0.000221,0.000429,6535,70462
2017-10-23,0.000120,0.000238,0.000115,0.000233,2795,36167
2017-10-22,0.000120,0.000121,0.000116,0.000120,36,36346
2017-10-21,0.000119,0.000124,0.000118,0.000120,179,35936
2017-10-20,0.000114,0.000121,0.000112,0.000119,36,34391
2017-10-19,0.000111,0.000115,0.000108,0.000114,12,33301
2017-10-18,0.000112,0.000156,0.000103,0.000111,128,33714
2017-10-17,0.000109,0.000113,0.000106,0.000112,49,32804
2017-10-16,0.000109,0.000165,0.000102,0.000109,10,32640
2017-10-15,0.000092,0.000112,0.000092,0.000109,56,27600
2017-10-14,0.000113,0.000113,0.000076,0.000092,55,33832
2017-10-13,0.000109,0.000118,0.000107,0.000113,8,32686
2017-10-12,0.000097,0.000161,0.000096,0.000108,12,28996
2017-10-11,0.000095,0.000098,0.000095,0.000096,31,28639
2017-10-10,0.000088,0.000100,0.000088,0.000095,4,26349
2017-10-09,0.000094,0.000095,0.000086,0.000088,6,28196
2017-10-08,0.000097,0.000132,0.000093,0.000094,48,29050
2017-10-07,0.000088,0.000098,0.000087,0.000097,29,26241
2017-10-06,0.000090,0.000092,0.000087,0.000088,17,26990
2017-10-05,0.000127,0.000127,0.000083,0.000090,21,37865
2017-10-04,0.000086,0.000127,0.000084,0.000127,18,25811
2017-10-03,0.000088,0.000132,0.000085,0.000086,86,26304
2017-10-02,0.000091,0.000091,0.000087,0.000088,29,27212
2017-10-01,0.000088,0.000095,0.000088,0.000091,32,26274
2017-09-30,0.000083,0.000092,0.000083,0.000088,11,24825
2017-09-29,0.000084,0.000127,0.000081,0.000083,9,24957
2017-09-28,0.000084,0.000085,0.000082,0.000084,10,24854
2017-09-27,0.000077,0.000084,0.000077,0.000084,14,23006
2017-09-26,0.000156,0.000159,0.000078,0.000078,9,46354
2017-09-25,0.000110,0.000160,0.000110,0.000152,9,32780
2017-09-24,0.000114,0.000114,0.000109,0.000110,5,33785
2017-09-23,0.000108,0.000151,0.000075,0.000114,26,32098
2017-09-22,0.000109,0.000113,0.000106,0.000109,20,32183
2017-09-21,0.000119,0.000122,0.000108,0.000109,52,35103
2017-09-20,0.000117,0.000121,0.000115,0.000119,18,34720
2017-09-19,0.000123,0.000123,0.000116,0.000117,44,36359
2017-09-18,0.000097,0.000124,0.000097,0.000123,36,28602
2017-09-17,0.000090,0.000111,0.000085,0.000097,115,26576
2017-09-16,0.000108,0.000116,0.000067,0.000090,45,31776
2017-09-15,0.000065,0.000111,0.000065,0.000108,69,19118
2017-09-14,0.000116,0.000118,0.000064,0.000064,155,34225
2017-09-13,0.000085,0.000123,0.000084,0.000116,43,25058
2017-09-12,0.000168,0.000172,0.000085,0.000086,18,49440
2017-09-11,0.000127,0.000169,0.000124,0.000168,2,37374
2017-09-10,0.000130,0.000130,0.000121,0.000128,32,38229
2017-09-09,0.000134,0.000134,0.000126,0.000130,33,39356
2017-09-08,0.000139,0.000185,0.000127,0.000134,15,40729
2017-09-07,0.000093,0.000144,0.000091,0.000139,34,27269
2017-09-06,0.000090,0.000192,0.000089,0.000093,415,26221
2017-09-05,0.000126,0.000145,0.000087,0.000089,320,36980
2017-09-04,0.000114,0.000134,0.000102,0.000127,34,33358
2017-09-03,0.000170,0.000176,0.000114,0.000114,49,49548
2017-09-02,0.000099,0.000205,0.000092,0.000170,84,28916
2017-09-01,0.000095,0.000099,0.000094,0.000099,9,27661
2017-08-31,0.000138,0.000189,0.000094,0.000095,23,40314
2017-08-30,0.000139,0.000140,0.000136,0.000139,7,40396
2017-08-29,0.000131,0.000158,0.000129,0.000139,38,38171
2017-08-28,0.000146,0.000181,0.000130,0.000131,679,42521
2017-08-27,0.000133,0.000181,0.000089,0.000146,225,38600
2017-08-26,0.000173,0.000175,0.000132,0.000133,64,50152
2017-08-25,0.000131,0.000174,0.000130,0.000173,104,38125
2017-08-24,0.000112,0.000170,0.000094,0.000132,69,32471
2017-08-23,0.000121,0.000121,0.000083,0.000112,42,34985
2017-08-22,0.000120,0.000121,0.000078,0.000121,69,34660
2017-08-21,0.000081,0.000121,0.000079,0.000120,10,23405
2017-08-20,0.000150,0.000151,0.000081,0.000081,13,43369
2017-08-19,0.000123,0.000170,0.000115,0.000150,4,35515
2017-08-18,0.000086,0.000131,0.000084,0.000123,1,24690
2017-08-17,0.000088,0.000090,0.000084,0.000086,21,25480
2017-08-16,0.000084,0.000089,0.000081,0.000088,15,24300
2017-08-15,0.000148,0.000151,0.000082,0.000084,36,42550
2017-08-14,0.000126,0.000150,0.000124,0.000148,67,36055
2017-08-13,0.000126,0.000164,0.000116,0.000125,82,36253
2017-08-12,0.000110,0.000134,0.000108,0.000126,2,31436
2017-08-11,0.000137,0.000139,0.000104,0.000110,9,39256
2017-08-10,0.000134,0.000139,0.000133,0.000137,15,38479
2017-08-09,0.000156,0.000156,0.000101,0.000134,29,44886
2017-08-08,0.000118,0.000157,0.000102,0.000156,4,33973
2017-08-07,0.000097,0.000130,0.000096,0.000119,6,27719
