Date,Open,High,Low,Close,Volume,Market_cap
2017-11-24,0.000643,0.000743,0.000631,0.000740,39,23315
2017-11-23,0.000740,0.000744,0.000644,0.000644,26,26842
2017-11-22,0.000649,0.000744,0.000646,0.000741,300,23546
2017-11-21,0.000659,0.000661,0.000624,0.000657,82,23904
2017-11-20,0.000643,0.000663,0.000636,0.000659,83,23328
2017-11-19,0.000545,0.000703,0.000539,0.000644,382,19760
2017-11-18,0.000615,0.000617,0.000460,0.000546,16,22292
2017-11-17,0.000471,0.000629,0.000454,0.000617,223,17060
2017-11-16,0.000511,0.000527,0.000444,0.000471,173,18527
2017-11-15,0.000463,0.000513,0.000463,0.000509,7,16771
2017-11-14,0.000457,0.000470,0.000450,0.000462,5,16563
2017-11-13,0.000411,0.000538,0.000408,0.000456,5,14888
2017-11-12,0.000445,0.000450,0.000388,0.000410,5,16131
2017-11-11,0.000460,0.000477,0.000436,0.000446,2,16672
2017-11-10,0.000499,0.000585,0.000452,0.000462,13,18076
2017-11-09,0.000597,0.000597,0.000496,0.000498,5,21638
2017-11-08,0.000498,0.000627,0.000495,0.000598,11,18042
2017-11-07,0.000567,0.000577,0.000495,0.000500,3,20542
2017-11-06,0.000518,0.000520,0.000490,0.000490,49,18743
2017-11-05,0.000590,0.000592,0.000511,0.000516,136,21369
2017-11-04,0.000502,0.000604,0.000490,0.000591,34,18163
2017-11-03,0.000492,0.000523,0.000486,0.000503,16,17796
2017-11-02,0.000471,0.000565,0.000471,0.000492,31,17046
2017-11-01,0.000516,0.000527,0.000453,0.000470,45,18654
2017-10-31,0.000490,0.000516,0.000441,0.000516,70,17736
2017-10-30,0.000493,0.000497,0.000424,0.000492,6,17817
2017-10-29,0.000458,0.000506,0.000404,0.000495,199,16573
2017-10-28,0.000409,0.000461,0.000397,0.000459,48,14774
2017-10-27,0.000412,0.000420,0.000399,0.000402,1,14898
2017-10-26,0.000344,0.000479,0.000342,0.000412,9,12441
2017-10-25,0.000441,0.000454,0.000431,0.000454,1,15956
2017-10-24,0.000469,0.000469,0.000390,0.000441,4,16957
2017-10-23,0.000478,0.000485,0.000340,0.000470,44,17283
2017-10-22,0.000421,0.000485,0.000421,0.000479,5,15207
2017-10-21,0.000420,0.000492,0.000413,0.000421,3,15182
2017-10-20,0.000456,0.000458,0.000393,0.000421,11,16480
2017-10-19,0.000391,0.000459,0.000388,0.000456,5,14121
2017-10-18,0.000392,0.000393,0.000359,0.000391,3,14153
2017-10-17,0.000462,0.000521,0.000389,0.000392,77,16687
2017-10-16,0.000455,0.000465,0.000399,0.000462,24,16432
2017-10-15,0.000468,0.000528,0.000436,0.000455,2,16889
2017-10-14,0.000566,0.000579,0.000455,0.000467,58,20403
2017-10-13,0.000490,0.000585,0.000445,0.000565,232,17661
2017-10-12,0.000531,0.000573,0.000467,0.000488,259,19145
2017-10-11,0.000429,0.000536,0.000425,0.000530,7,15455
2017-10-10,0.000526,0.000535,0.000426,0.000429,1496,18980
2017-10-09,0.000460,0.000536,0.000456,0.000527,136,16590
2017-10-08,0.000444,0.000461,0.000364,0.000460,20,16014
2017-10-07,0.000350,0.000447,0.000349,0.000446,7,12608
2017-10-06,0.000476,0.000486,0.000346,0.000350,1419,17134
2017-10-05,0.000380,0.000476,0.000333,0.000476,187,13685
2017-10-04,0.000475,0.000478,0.000378,0.000380,42,17112
2017-10-03,0.000484,0.000487,0.000467,0.000474,18,17439
2017-10-02,0.000483,0.000536,0.000480,0.000484,12,17401
2017-10-01,0.000345,0.000484,0.000341,0.000484,11,12434
2017-09-29,0.000545,0.000551,0.000526,0.000548,0,19617
2017-09-28,0.000421,0.000547,0.000418,0.000546,4,15137
2017-09-27,0.000467,0.000470,0.000312,0.000421,35,16785
2017-09-26,0.000436,0.000476,0.000436,0.000468,15,15693
2017-09-25,0.000514,0.000555,0.000514,0.000549,0,18487
2017-09-24,0.000483,0.000518,0.000476,0.000515,2,17362
2017-09-22,0.000435,0.000451,0.000424,0.000433,15,15616
2017-09-21,0.000504,0.000508,0.000430,0.000435,48,18122
